Longitude,Latitude,species
-116.1667,52.4333,Alces alces
-4.216667,48.333332,Alces alces
-96.35776,48.36273,Alces alces
-110.725746,43.718344,Alces alces
-100.211884,50.801563,Alces alces
-110.610352,44.480831,Alces alces
-122.12219,52.129524,Alces alces
-127.485352,54.726208,Alces alces
-117.456207,55.077091,Alces alces
-68.945114,46.00973,Alces alces
-117.544098,53.413624,Alces alces
-120.640869,56.096558,Alces alces
-115.69513,51.171,Alces alces
-150.7433,63.099693,Alces alces
-149.1044,60.32852,Alces alces
-145.88884,63.63039,Alces alces
-138.365417,64.735176,Alces alces
-149.73228,61.01925,Alces alces
-88.26632,49.01427,Alces alces
-57.466667,49.183334,Alces alces
-91.3,49.25,Alces alces
-94.1,49.466667,Alces alces
-94.35,49.716667,Alces alces
-94.98333,49.733334,Alces alces
-87.19652,49.72058,Alces alces
-86.95,49.733334,Alces alces
-83.183333,49.766667,Alces alces
-83.766667,49.766667,Alces alces
-86.536064,49.773594,Alces alces
-94.833336,49.8,Alces alces
-83.166664,49.9,Alces alces
-92.933334,50.016666,Alces alces
-93.133333,50.15,Alces alces
-91.533333,50.166667,Alces alces
-91.75,50.183333,Alces alces
-93.13333,50.3,Alces alces
-94.666664,49.15,Alces alces
-93,50.5,Alces alces
-92.78333,51.216667,Alces alces
-87.88333,52.233334,Alces alces
-88,54,Alces alces
-127.683334,55.35,Alces alces
-121.25,61.766667,Alces alces
-132.83333,61.566666,Alces alces
-94.176167,49.34246,Alces alces
-93.359642,49.958882,Alces alces
-77.733333,45.633333,Alces alces
-77.566667,45.683333,Alces alces
-77.633333,46.133333,Alces alces
-81.65,46.15,Alces alces
-78.066666,46.166668,Alces alces
-81.716667,47.066667,Alces alces
-82,47.166667,Alces alces
-81.61667,47.55,Alces alces
-83.683333,47.716667,Alces alces
-83.05,47.716667,Alces alces
-83.433334,47.8,Alces alces
-81.96667,48.066666,Alces alces
-83.55,48.15,Alces alces
-80.333336,48.233334,Alces alces
-82.9037716221321,48.5203547337031,Alces alces
-81.783333,48.5,Alces alces
-90.4476079227136,48.6525155379372,Alces alces
-87.1065893186119,48.7836317523083,Alces alces
-157.333333,65.466667,Alces alces
-136.9461,61.265278,Alces alces
-129.182,60.2672,Alces alces
-133.62389,62.354168,Alces alces
-136.71,63.8499999992545,Alces alces
-132.88055,62.191666,Alces alces
-134.39065,61.338933,Alces alces
-133.639722,60.4777779991918,Alces alces
-132.981817,60.804817,Alces alces
-133.79,60.9299999991996,Alces alces
