Longitude,Latitude,species
-76.464127,-0.475934,Alouatta seniculus
-71.303374,6.008123,Alouatta seniculus
-73.383978,3.938534,Alouatta seniculus
-76.148955,-0.637698,Alouatta seniculus
-78.34333,-1.501408,Alouatta seniculus
-74.656487,5.913502,Alouatta seniculus
-77.519767,-1.092167,Alouatta seniculus
-64.849322,-3.055017,Alouatta seniculus
-74.720355,6.001881,Alouatta seniculus
-72.768086,4.367916,Alouatta seniculus
-73.245675,2.93231,Alouatta seniculus
-71.794727,5.240031,Alouatta seniculus
-76.052087,-0.547683,Alouatta seniculus
-74.111335,-5.028817,Alouatta seniculus
-76.182429,-0.009496,Alouatta seniculus
-70.101178,-12.569389,Alouatta seniculus
-70.722647,-12.337933,Alouatta seniculus
-71.399327,-12.903207,Alouatta seniculus
-72.95462,4.092852,Alouatta seniculus
-61.776978,-11.61767,Alouatta seniculus
-72.405175,4.893697,Alouatta seniculus
-71.24291,-12.650653,Alouatta seniculus
-72.540917,11.137028,Alouatta seniculus
-61.988625,-10.852317,Alouatta seniculus
-75.690601,4.808717,Alouatta seniculus
-75.352222,9.534167,Alouatta seniculus
-75.889799,8.755204,Alouatta seniculus
-74.099135,11.128484,Alouatta seniculus
-75.207247,8.559567,Alouatta seniculus
-76.328806,4.265611,Alouatta seniculus
-76.737002,7.911917,Alouatta seniculus
-71.002083,0.021917,Alouatta seniculus
-70.946389,0.137806,Alouatta seniculus
-75.029304,9.19003,Alouatta seniculus
-76.314168,-0.508289,Alouatta seniculus
-72.350717,5.542361,Alouatta seniculus
-74.858196,5.896022,Alouatta seniculus
-73.308027,-4.300752,Alouatta seniculus
-72.246369,5.614192,Alouatta seniculus
-74.211359,6.803897,Alouatta seniculus
-75.02348,5.45985,Alouatta seniculus
-60.056308,-3.271409,Alouatta seniculus
-76.731723,-1.104238,Alouatta seniculus
-75.11446,5.50487,Alouatta seniculus
-73.219877,4.075529,Alouatta seniculus
-74.669702,6.077141,Alouatta seniculus
-75.968505,8.664438,Alouatta seniculus
-75.099925,8.5517,Alouatta seniculus
-75.155297,10.760428,Alouatta seniculus
-70.1954,6.717417,Alouatta seniculus
-70.511933,6.628983,Alouatta seniculus
-76.396561,-0.675257,Alouatta seniculus
-72.583572,10.9563,Alouatta seniculus
-61.031113,10.398845,Alouatta seniculus
-75.025433,10.748794,Alouatta seniculus
-68.484399,5.618332,Alouatta seniculus
-75.564056,4.061778,Alouatta seniculus
-75.131,6.2225,Alouatta seniculus
-75.113889,9.930278,Alouatta seniculus
-75.397239,10.338579,Alouatta seniculus
-73.759735,3.993492,Alouatta seniculus
-67.669718,-9.753939,Alouatta seniculus
-76.38463,3.860273,Alouatta seniculus
-77.730749,-0.694949,Alouatta seniculus
-71.555324,4.421197,Alouatta seniculus
-73.755278,10.2175,Alouatta seniculus
-71.509553,4.520301,Alouatta seniculus
-74.620632,5.996207,Alouatta seniculus
-76.674639,7.775333,Alouatta seniculus
-77.21018,-5.970148,Alouatta seniculus
-77.171417,7.412861,Alouatta seniculus
-57.022133,-19.579847,Alouatta seniculus
-73.793,2.261,Alouatta seniculus
-75.24737,10.633143,Alouatta seniculus
-73.33606,6.33355,Alouatta seniculus
-76.232455,8.707229,Alouatta seniculus
-71.535267,6.016133,Alouatta seniculus
-71.491183,5.9191,Alouatta seniculus
-70.199631,-3.776927,Alouatta seniculus
-74.77189,5.67169,Alouatta seniculus
-68.085022,8.933913,Alouatta seniculus
-73.41959,4.26903,Alouatta seniculus
-73.02851,4.19726,Alouatta seniculus
-73.830222,9.231548,Alouatta seniculus
-73.2141,4.31746,Alouatta seniculus
-73.1377,4.17914,Alouatta seniculus
-73.16303,3.53243,Alouatta seniculus
-73.26527,3.88516,Alouatta seniculus
-73.47166,3.8764,Alouatta seniculus
-73.89739,7.483398,Alouatta seniculus
-69.7516,6.45385,Alouatta seniculus
-75.634082,4.689859,Alouatta seniculus
-75.854722,4.601667,Alouatta seniculus
-75.794444,4.41,Alouatta seniculus
-75.620556,4.356111,Alouatta seniculus
-72.45806,8.11246,Alouatta seniculus
-73.587306,3.885528,Alouatta seniculus
-73.036917,4.744139,Alouatta seniculus
-76.898128,3.813655,Alouatta seniculus
-71.754314,-4.459214,Alouatta seniculus
-70.622861,-3.725019,Alouatta seniculus
-73.393263,4.076424,Alouatta seniculus
-73.890361,7.209017,Alouatta seniculus
-73.78622,7.158517,Alouatta seniculus
-75.29367,9.842516,Alouatta seniculus
-75.020611,9.937472,Alouatta seniculus
-74.424496,9.240146,Alouatta seniculus
-73.441823,11.186736,Alouatta seniculus
-73.44908,9.68953,Alouatta seniculus
-73.3696,4.187759,Alouatta seniculus
-74.085716,6.781485,Alouatta seniculus
-76.857747,-2.543544,Alouatta seniculus
-75.430833,5.187444,Alouatta seniculus
-75.026801,9.843,Alouatta seniculus
-73.350139,11.140056,Alouatta seniculus
-73.614806,11.029472,Alouatta seniculus
-75.468972,-5.208333,Alouatta seniculus
-76.52237,7.22453,Alouatta seniculus
-76.917889,-6.467056,Alouatta seniculus
-73.68305,3.655133,Alouatta seniculus
-73.2906,3.54955,Alouatta seniculus
-73.575136,7.436566,Alouatta seniculus
-72.647009,7.841838,Alouatta seniculus
-73.431417,3.6676,Alouatta seniculus
-73.603583,3.7274,Alouatta seniculus
-76.85709,8.61304,Alouatta seniculus
-76.83481,8.05427,Alouatta seniculus
-73.496233,3.452667,Alouatta seniculus
-73.602683,3.538567,Alouatta seniculus
-75.55579,10.000286,Alouatta seniculus
-76.392361,-7.069139,Alouatta seniculus
-76.173442,3.396753,Alouatta seniculus
-76.369042,3.960656,Alouatta seniculus
-76.211369,3.820861,Alouatta seniculus
-74.225901,6.546934,Alouatta seniculus
-76.165208,3.240692,Alouatta seniculus
-76.548636,3.843453,Alouatta seniculus
-76.12805,3.869506,Alouatta seniculus
-74.127875,6.679607,Alouatta seniculus
-74.28629,10.75676,Alouatta seniculus
-64.997993,-2.588396,Alouatta seniculus
-75.431894,-8.532076,Alouatta seniculus
-76.0652,3.546531,Alouatta seniculus
-74.39442,10.17978,Alouatta seniculus
-74.10258,10.32252,Alouatta seniculus
-74.16896,10.46258,Alouatta seniculus
-72.104486,4.151558,Alouatta seniculus
-69.7,6.25,Alouatta seniculus
-67.12389,10.35317,Alouatta seniculus
-73.413408,7.438409,Alouatta seniculus
-73.836933,7.558283,Alouatta seniculus
-73.82152,7.318398,Alouatta seniculus
-70.991861,6.812,Alouatta seniculus
-73.917633,7.379683,Alouatta seniculus
-73.836075,7.992088,Alouatta seniculus
-73.772164,8.100222,Alouatta seniculus
-73.551964,7.708017,Alouatta seniculus
-75.525934,-2.815038,Alouatta seniculus
-75.341679,-2.935305,Alouatta seniculus
-75.439953,-2.681669,Alouatta seniculus
-72.564365,-4.020178,Alouatta seniculus
-73.556727,7.561727,Alouatta seniculus
-73.73149,7.641434,Alouatta seniculus
-73.708796,7.306184,Alouatta seniculus
-73.745048,7.547345,Alouatta seniculus
-73.614639,7.297776,Alouatta seniculus
-73.652333,7.535453,Alouatta seniculus
-76.136,8.59,Alouatta seniculus
-76.013,8.906,Alouatta seniculus
-76.327,8.745,Alouatta seniculus
-76.122,8.959,Alouatta seniculus
-76.273,8.54,Alouatta seniculus
-74.678862,5.707121,Alouatta seniculus
-74.76173,5.576315,Alouatta seniculus
-75.395585,-2.014337,Alouatta seniculus
-74.858331,-0.337726,Alouatta seniculus
-73.948671,-2.584571,Alouatta seniculus
-73.351063,-2.299544,Alouatta seniculus
-72.314819,-2.722592,Alouatta seniculus
-72.589413,-2.720265,Alouatta seniculus
-73.273948,-2.422646,Alouatta seniculus
