Longitude,Latitude,species
-115.834638,51.259577,Callospermophilus lateralis
-121.53383,40.438423,Callospermophilus lateralis
-113.930283,46.766878,Callospermophilus lateralis
-121.756395,44.407047,Callospermophilus lateralis
-111.83613,35.34224,Callospermophilus lateralis
-122.21329,41.39484,Callospermophilus lateralis
-115.085,41.02667,Callospermophilus lateralis
-118.850912271829,37.6005082527744,Callospermophilus lateralis
-112.166453,37.622313,Callospermophilus lateralis
-118.73337,36.73118,Callospermophilus lateralis
-106.15111,41.08056,Callospermophilus lateralis
-106.001962,39.224713,Callospermophilus lateralis
-115.07,51.04,Callospermophilus lateralis
-123.04688,41.011627,Callospermophilus lateralis
-117.831849,34.304643,Callospermophilus lateralis
-119.91442,38.4809,Callospermophilus lateralis
-111.735894,35.159446,Callospermophilus lateralis
-120.96883,42.97693,Callospermophilus lateralis
-121.557473,42.595524,Callospermophilus lateralis
-115.574681,51.144676,Callospermophilus lateralis
-118.515444,36.414583,Callospermophilus lateralis
-113.916107,49.051284,Callospermophilus lateralis
-119.54927,37.61737,Callospermophilus lateralis
-118.914734,42.826374,Callospermophilus lateralis
-119.753685,38.171425,Callospermophilus lateralis
-113.189492,37.45192,Callospermophilus lateralis
-118.596229,35.978744,Callospermophilus lateralis
-115.28128,44.59502,Callospermophilus lateralis
-107.22931,39.24227,Callospermophilus lateralis
-111.582534,40.586794,Callospermophilus lateralis
-119.1982,37.690212,Callospermophilus lateralis
-122.167611,41.642676,Callospermophilus lateralis
-121.74095,44.013682,Callospermophilus lateralis
-118.894043,43.09998,Callospermophilus lateralis
-110.586703,44.422574,Callospermophilus lateralis
-105.49651,39.841953,Callospermophilus lateralis
-118.825712,36.491812,Callospermophilus lateralis
-120.227196,39.319595,Callospermophilus lateralis
-110.434364,44.797714,Callospermophilus lateralis
-113.065414,37.666897,Callospermophilus lateralis
-115.76749972677,49.4997784812111,Callospermophilus lateralis
-118.861404,38.317837,Callospermophilus lateralis
-106.566,38.498,Callospermophilus lateralis
-114.059023,49.046175,Callospermophilus lateralis
-113.103747,45.486432,Callospermophilus lateralis
-110.748645,43.766755,Callospermophilus lateralis
-106.534447,39.564999,Callospermophilus lateralis
-109.759,33.9947,Callospermophilus lateralis
-107.09915,38.908936,Callospermophilus lateralis
-118.574167,36.563333,Callospermophilus lateralis
-123.476112,41.931667,Callospermophilus lateralis
-115.88509,47.347694,Callospermophilus lateralis
-122.74167,39.64722,Callospermophilus lateralis
-119.820833,38.777778,Callospermophilus lateralis
-119.738333,38.621667,Callospermophilus lateralis
-121.64617,42.68376,Callospermophilus lateralis
-114.914462,44.159409,Callospermophilus lateralis
-105.084668,36.403027,Callospermophilus lateralis
-121.722978,45.336169,Callospermophilus lateralis
-108.64043,33.398052,Callospermophilus lateralis
-111.21609,44.571426,Callospermophilus lateralis
-121.532465,40.532715,Callospermophilus lateralis
-107.76362,38.201614,Callospermophilus lateralis
-107.744536,38.571689,Callospermophilus lateralis
-105.654287,35.842279,Callospermophilus lateralis
-110.656475,39.561983,Callospermophilus lateralis
-105.666156,39.974163,Callospermophilus lateralis
-105.505104,40.433018,Callospermophilus lateralis
-119.60286,37.503513,Callospermophilus lateralis
-119.989718,38.860571,Callospermophilus lateralis
-120.987632,37.509071,Callospermophilus lateralis
-120.866776,35.40584,Callospermophilus lateralis
-119.01489,37.991833,Callospermophilus lateralis
-106.914625,40.451168,Callospermophilus lateralis
-105.697504,39.706098,Callospermophilus lateralis
-112.040744,37.563947,Callospermophilus lateralis
-112.8302,37.681965,Callospermophilus lateralis
-107.001274,38.971436,Callospermophilus lateralis
-116.510528,51.712167,Callospermophilus lateralis
-119.485153,37.81076,Callospermophilus lateralis
-116.17725,51.42537,Callospermophilus lateralis
-109.142328,33.791879,Callospermophilus lateralis
-106.92515,38.49824,Callospermophilus lateralis
-105.62523,36.58281,Callospermophilus lateralis
-105.5725,36.40722,Callospermophilus lateralis
-109.139403,39.524234,Callospermophilus lateralis
-111.327781,40.158044,Callospermophilus lateralis
-106.867454,39.022018,Callospermophilus lateralis
-122.73756,42.078285,Callospermophilus lateralis
-110.140686,44.49014,Callospermophilus lateralis
-112.195816,36.718513,Callospermophilus lateralis
-107.1916,39.601635,Callospermophilus lateralis
-117.40393,36.561977,Callospermophilus lateralis
-105.90611,40.370003,Callospermophilus lateralis
-105.56612,40.208645,Callospermophilus lateralis
-120.830383,49.124218,Callospermophilus lateralis
-106.88847,37.454216,Callospermophilus lateralis
-105.501976,39.513397,Callospermophilus lateralis
-121.16422,40.49747,Callospermophilus lateralis
-107.14909,38.0288,Callospermophilus lateralis
-118.38009,36.73995,Callospermophilus lateralis
-106.72479,35.88571,Callospermophilus lateralis
-113.569622,43.448214,Callospermophilus lateralis
-120.09088,38.674236,Callospermophilus lateralis
-119.245605,37.953945,Callospermophilus lateralis
-113.50299,43.31593,Callospermophilus lateralis
-120.032351,39.096849,Callospermophilus lateralis
-105.20849,38.80129,Callospermophilus lateralis
-115.647318,36.252534,Callospermophilus lateralis
-118.97324,37.381763,Callospermophilus lateralis
-121.466064,40.633774,Callospermophilus lateralis
-121.577877,42.946953,Callospermophilus lateralis
-119.25858,38.048325,Callospermophilus lateralis
-122.08799,42.97702,Callospermophilus lateralis
-120.619371,39.692646,Callospermophilus lateralis
-118.68805,36.60216,Callospermophilus lateralis
-119.08321,37.602184,Callospermophilus lateralis
-120.34054,39.340237,Callospermophilus lateralis
-116.99353,39.45823,Callospermophilus lateralis
-119.59982,37.758774,Callospermophilus lateralis
-115.995995,51.253944,Callospermophilus lateralis
-115.65016,41.771183,Callospermophilus lateralis
-116.155281,51.318054,Callospermophilus lateralis
-118.066666,52.7,Callospermophilus lateralis
-105.23699,36.37613,Callospermophilus lateralis
-106.063084,38.74901,Callospermophilus lateralis
-112.052294,36.200864,Callospermophilus lateralis
-117.693812,52.706808,Callospermophilus lateralis
-120.203514,39.432823,Callospermophilus lateralis
-106.5791,37.649933,Callospermophilus lateralis
-106.61706,40.423466,Callospermophilus lateralis
-106.04649,39.58947,Callospermophilus lateralis
-122.12454,43.177204,Callospermophilus lateralis
-118.969445,37.73086,Callospermophilus lateralis
-119.26456,38.15186,Callospermophilus lateralis
-116.879074,34.087646,Callospermophilus lateralis
-106.234795,36.705215,Callospermophilus lateralis
-110.9423,34.331528,Callospermophilus lateralis
-117.21367,45.282017,Callospermophilus lateralis
-109.4409,43.6484,Callospermophilus lateralis
-114.3857,51.160206,Callospermophilus lateralis
-116.127111,51.189917,Callospermophilus lateralis
-106.10085,41.224586,Callospermophilus lateralis
-106.25516,41.16652,Callospermophilus lateralis
-107.00306,41.16345,Callospermophilus lateralis
-106.018456,41.122166,Callospermophilus lateralis
-108.966,41.96301,Callospermophilus lateralis
-115.647804,50.915066,Callospermophilus lateralis
-113.91833,48.14861,Callospermophilus lateralis
-115.44444,36.29472,Callospermophilus lateralis
-109.037834,41.464432,Callospermophilus lateralis
-114.25028,48.33333,Callospermophilus lateralis
-105.3425,40.57278,Callospermophilus lateralis
-112.36116,38.3167,Callospermophilus lateralis
-106.2747,37.0731,Callospermophilus lateralis
-110.769842,43.879721,Callospermophilus lateralis
-121.611689,40.346421,Callospermophilus lateralis
-115.68833,48.22306,Callospermophilus lateralis
-122.19647,39.928478,Callospermophilus lateralis
-105.636795,39.584873,Callospermophilus lateralis
-114.054136,43.718984,Callospermophilus lateralis
-120.094448,38.973449,Callospermophilus lateralis
-106.376363,37.811912,Callospermophilus lateralis
-106.66656,37.583,Callospermophilus lateralis
-122.119195,43.311172,Callospermophilus lateralis
-106.802731,37.541549,Callospermophilus lateralis
-120.022261,41.834563,Callospermophilus lateralis
-105.37778,39.56812,Callospermophilus lateralis
-115.4955,51.249905,Callospermophilus lateralis
-111.492775,34.943424,Callospermophilus lateralis
-119.069161,37.800695,Callospermophilus lateralis
-107.106571,37.273534,Callospermophilus lateralis
-111.698228,40.534778,Callospermophilus lateralis
-106.47803,37.307628,Callospermophilus lateralis
-114.46667,49.63333,Callospermophilus lateralis
-113.85,50.733333,Callospermophilus lateralis
-117.98333,51.35,Callospermophilus lateralis
-116.616667,51.833333,Callospermophilus lateralis
-109.88333,41.03333,Callospermophilus lateralis
-108.38151,32.732086,Callospermophilus lateralis
-109.393616,44.752585,Callospermophilus lateralis
-113.916664,45.183334,Callospermophilus lateralis
-107.871087,38.09885,Callospermophilus lateralis
-117.76667,52.85,Callospermophilus lateralis
-122.31057,41.309875,Callospermophilus lateralis
-121.341676,43.938263,Callospermophilus lateralis
-112.11,36.06,Callospermophilus lateralis
-120.142273,45.014484,Callospermophilus lateralis
-116.126205,44.453384,Callospermophilus lateralis
-118.962364,44.507279,Callospermophilus lateralis
-121.422358,40.490435,Callospermophilus lateralis
-118.73285,37.45759,Callospermophilus lateralis
-120.47688,39.726566,Callospermophilus lateralis
-122.21589,46.277252,Callospermophilus lateralis
-112.130817872823,36.4235464778983,Callospermophilus lateralis
-118.682224,44.308833,Callospermophilus lateralis
-118.124743,52.837566,Callospermophilus lateralis
-105.5072,38.143196,Callospermophilus lateralis
-121.76732,43.914313,Callospermophilus lateralis
-115.08977,44.17669,Callospermophilus lateralis
-111.197906,43.332041,Callospermophilus lateralis
-120.68546,44.301323,Callospermophilus lateralis
-120.07542,39.42657,Callospermophilus lateralis
-114.207207,48.868134,Callospermophilus lateralis
-112.314837,37.743666,Callospermophilus lateralis
-105.64575,39.831177,Callospermophilus lateralis
-121.815337,44.170356,Callospermophilus lateralis
-119.73297,38.295532,Callospermophilus lateralis
-120.288062,41.276678,Callospermophilus lateralis
-110.813047,44.508134,Callospermophilus lateralis
-107.98735,39.039107,Callospermophilus lateralis
-107.367731,39.945196,Callospermophilus lateralis
-118.236639,37.583747,Callospermophilus lateralis
-112.954462,45.552565,Callospermophilus lateralis
-107.48604,37.458496,Callospermophilus lateralis
-121.062489,43.489935,Callospermophilus lateralis
-110.771425,44.65424,Callospermophilus lateralis
-116.459045,37.966377,Callospermophilus lateralis
-106.882614,35.685074,Callospermophilus lateralis
-115.416664,38.703335,Callospermophilus lateralis
-115.161667,39.058333,Callospermophilus lateralis
-122.53329,41.587986,Callospermophilus lateralis
-123.1144,40.647724,Callospermophilus lateralis
-112.89287,45.13386,Callospermophilus lateralis
-122.31417,43.841946,Callospermophilus lateralis
-108.664784,33.574225,Callospermophilus lateralis
-106.49,35.27667,Callospermophilus lateralis
-117.705666,38.744987,Callospermophilus lateralis
-106.512909,35.768478,Callospermophilus lateralis
-116.832855,39.043922,Callospermophilus lateralis
-105.65875,35.745017,Callospermophilus lateralis
-105.557267,35.780983,Callospermophilus lateralis
-117.04679465901,34.2662486820286,Callospermophilus lateralis
-122.142746,52.14143,Callospermophilus lateralis
-121.01905,39.883312,Callospermophilus lateralis
-114.466667,49,Callospermophilus lateralis
-114.78333,50.86667,Callospermophilus lateralis
-115.85,52.25,Callospermophilus lateralis
-120.516667,49.45,Callospermophilus lateralis
-105.251564,39.517857,Callospermophilus lateralis
-106.4109,37.3902,Callospermophilus lateralis
-120.792749266767,44.9674476817088,Callospermophilus lateralis
-114.054431,45.081943,Callospermophilus lateralis
-117.125,48.8,Callospermophilus lateralis
-117.883333,46.083333,Callospermophilus lateralis
-121.54896,44.23295,Callospermophilus lateralis
-106.68302254054,38.4505525940178,Callospermophilus lateralis
-122.84493,39.72731,Callospermophilus lateralis
-113.838638274693,46.9766358487644,Callospermophilus lateralis
