Longitude,Latitude,species
-117.728195,33.83438,Canis latrans
-117.33419,33.499477,Canis latrans
-117.21858,33.50987,Canis latrans
-116.8303,32.68167,Canis latrans
-79.518663,43.955362,Canis latrans
-101.17028,31.345509,Canis latrans
-100.954456,31.312348,Canis latrans
-84.16381,30.6682,Canis latrans
-94,38,Canis latrans
-110.6667,43.55,Canis latrans
-119.63612,37.67305,Canis latrans
-103.4797,29.304117,Canis latrans
-86.8333,40.5,Canis latrans
-113.418142,48.759106,Canis latrans
-115.471849,40.214391,Canis latrans
-110.679016,43.796872,Canis latrans
-73.801912,41.21309,Canis latrans
-93.617656,48.603101,Canis latrans
-110.7,32.3333,Canis latrans
-82.6667,39.6667,Canis latrans
-97.5333,26,Canis latrans
-89.67861,40.86167,Canis latrans
-116.67752,33.11944,Canis latrans
-110.45586,44.777447,Canis latrans
-118.27042,39.5257,Canis latrans
-120.62993,40.72109,Canis latrans
-105.621667,35.125,Canis latrans
-106.882614,35.685074,Canis latrans
-124.27906,48.06998,Canis latrans
-92.515976,35.58296,Canis latrans
-120.44754,35.385227,Canis latrans
-108.35599,32.395123,Canis latrans
-119.4903,47.39142,Canis latrans
-92.68925,35.2657,Canis latrans
-123.92582,40.706673,Canis latrans
-119.385509,37.87404,Canis latrans
-121.884243691856,46.8830561034917,Canis latrans
-118.707222,34.4025,Canis latrans
-98.67827,33.158787,Canis latrans
-93.99093,34.083065,Canis latrans
-108.32458,36.511623,Canis latrans
-98.07835,37.948185,Canis latrans
-93.720566,35.218548,Canis latrans
-116.1812,34.85722,Canis latrans
-119.579444,34.449167,Canis latrans
-151.060448810333,60.4872099819984,Canis latrans
-93.466324,35.57336,Canis latrans
-150.3243,61.257988,Canis latrans
-92.059975,35.566288,Canis latrans
-90.56524,36.119923,Canis latrans
-92.16916,33.46655,Canis latrans
-119.614167,34.935278,Canis latrans
-93.30507,33.6667,Canis latrans
-94.218414,35.97121,Canis latrans
-108.20068,39.972606999999996,Canis latrans
-92.944145,34.315178,Canis latrans
-93.88767,35.50857,Canis latrans
-98.51857,34.68145,Canis latrans
-91.02844,36.341297,Canis latrans
-93.17621,34.053318,Canis latrans
-94.23622,35.583042,Canis latrans
-93.4083,34.997715,Canis latrans
-93.66581,33.72861,Canis latrans
-99.66284,36.800457,Canis latrans
-91.10115,36.0411,Canis latrans
-101.78294,36.505028,Canis latrans
-93.72405,36.012547,Canis latrans
-93.541664,36.337772,Canis latrans
