Longitude,Latitude,species
-140.64,60.15,Canis lupus
-143.77,62.47,Canis lupus
-143.68,62.35,Canis lupus
-151.95,63.08,Canis lupus
-145.13,62.23,Canis lupus
-144.94,62.06,Canis lupus
-144.82,62.15,Canis lupus
-144.04,62.61,Canis lupus
-144.79,61,Canis lupus
-144.78,62.5,Canis lupus
-144.6,62.22,Canis lupus
-144.56,62.57,Canis lupus
-144.26,62.47,Canis lupus
-144.35,62.24,Canis lupus
-144.21,62.36,Canis lupus
-143.85,62.29,Canis lupus
-143.53,62.57,Canis lupus
-143.32,61.34,Canis lupus
-141.84,62.6,Canis lupus
-141.25,59.98,Canis lupus
-136.83,58.45,Canis lupus
-136.6,58.57,Canis lupus
-136.6,58.78,Canis lupus
-135.94,58.85,Canis lupus
-135.83,58.5,Canis lupus
-117.720375,33.83183,Canis lupus
-117.339485,33.50367,Canis lupus
-117.273224,33.408615,Canis lupus
-117.19027,33.506348,Canis lupus
-117.11705,33.42701,Canis lupus
-116.83954,32.68951,Canis lupus
-116.71553,33.12367,Canis lupus
-144.92,62.27,Canis lupus
-151.16,63.27,Canis lupus
-149.72,60.18,Canis lupus
-149.67,60.27,Canis lupus
-156.93,64.73,Canis lupus
-151.72,63.11,Canis lupus
-144.44,62.32,Canis lupus
-144.44,62.43,Canis lupus
-144.42,62.06,Canis lupus
-144.41,62.7,Canis lupus
-136.82,58.86,Canis lupus
-136.2,58.58,Canis lupus
-136.1,58.95,Canis lupus
-150.72711,63.557323,Canis lupus
-91.361515,47.411943,Canis lupus
-133.76816,59.379387,Canis lupus
-125.689772,49.031391,Canis lupus
-110.309525,46.959121,Canis lupus
-91.288697,47.277064,Canis lupus
-110.606055,44.477835,Canis lupus
-114.87733,43.90041,Canis lupus
-110.744503,43.795382,Canis lupus
-110.203448,43.551678,Canis lupus
-101.31688,55.74204,Canis lupus
-99.9997,59.0497,Canis lupus
-112.433334,62.533333,Canis lupus
-121.683334,63.75,Canis lupus
-117,65,Canis lupus
-118,64,Canis lupus
-116,64,Canis lupus
-111.916664,67.71667,Canis lupus
-133.383333,68.766667,Canis lupus
-85.949722,79.983056,Canis lupus
-93.63333,61.86667,Canis lupus
-94.083336,61.11667,Canis lupus
-108.416664,67.416664,Canis lupus
-86.666664,67.53333,Canis lupus
-79.966667,70.216667,Canis lupus
-85,66.866667,Canis lupus
-83.75,77.5,Canis lupus
-66.083336,82.916664,Canis lupus
-93.65,63,Canis lupus
-99.4,75.05,Canis lupus
-86.5,76.46667,Canis lupus
-94.05,61.283333,Canis lupus
-114.147949,75.643404,Canis lupus
-110.70853,42.072498,Canis lupus
-91.796425,45.892464,Canis lupus
-91.89258,46.463314,Canis lupus
-120.23333,55.766666,Canis lupus
-156.64,58.67,Canis lupus
-148.68666,63.78,Canis lupus
-111.295984,40.08648,Canis lupus
-120.927552,47.257995,Canis lupus
-78.02121,44.931934,Canis lupus
-99.849301,54.649396,Canis lupus
-110.0503,44.400694,Canis lupus
-91.148651,47.211628,Canis lupus
-117.869225,52.893963,Canis lupus
-89.05361,45.678246,Canis lupus
-87.656509,46.611347,Canis lupus
-135.950317,67.146499,Canis lupus
-89.92648,42.059086,Canis lupus
-87.43612,42.326443,Canis lupus
-117.99914,45.304047,Canis lupus
-110.605142,44.97344,Canis lupus
-91.380913,47.205778,Canis lupus
-125.546344,48.9416,Canis lupus
-95.26118,47.350662,Canis lupus
-94.218414,35.97121,Canis lupus
-92.67859,36.266655,Canis lupus
-92.140495,35.856987,Canis lupus
-92.68925,35.2657,Canis lupus
-90.77929,34.77975,Canis lupus
-93.03153,35.455296,Canis lupus
-94.25619,36.337826,Canis lupus
-91.72278,33.587242,Canis lupus
-93.4083,34.997715,Canis lupus
-93.720566,35.218548,Canis lupus
-91.203316,34.679512,Canis lupus
-91.10115,36.0411,Canis lupus
-94.808205,36.393368,Canis lupus
-92.515976,35.58296,Canis lupus
-94.13721,58.69291,Canis lupus
-130.64804,60.09208,Canis lupus
-149.70213,68.49109,Canis lupus
-91.014978,47.315358,Canis lupus
-100.77978,50.81962,Canis lupus
-110.40098,44.414173,Canis lupus
-90.66515,46.54629,Canis lupus
-90.2613,46.32655,Canis lupus
-92.37574,45.86688,Canis lupus
-89.75782,44.898037,Canis lupus
-91.89772,44.947742,Canis lupus
-92.453156,45.46803,Canis lupus
