Longitude,Latitude,species
-85.550058,10.789077,Cebus capucinus
-86.9059,15.696,Cebus capucinus
-83.278908,8.475614,Cebus capucinus
-84.93106,9.787311,Cebus capucinus
-84.604524,9.779677,Cebus capucinus
-83.306983,8.38688,Cebus capucinus
-83.698124000000007,9.471054,Cebus capucinus
-84.873628,10.428879,Cebus capucinus
-85.355072,10.771179,Cebus capucinus
-84.317231,10.204023,Cebus capucinus
-85.748897,10.529333,Cebus capucinus
-85.407929,10.360368,Cebus capucinus
-83.491439,8.451266,Cebus capucinus
-83.772118,9.828155,Cebus capucinus
-77.732189,8.125628,Cebus capucinus
-79.696513,9.116464,Cebus capucinus
-83.330803,8.697507,Cebus capucinus
-80.10567,8.620228,Cebus capucinus
-86.723975,15.730945,Cebus capucinus
-83.506923,10.448877,Cebus capucinus
-86.336013,11.98632,Cebus capucinus
-83.505875,10.547559,Cebus capucinus
-87.545451,15.803975,Cebus capucinus
-83.331206,10.278677,Cebus capucinus
-82.328355,8.362899,Cebus capucinus
-83.682464,8.666176,Cebus capucinus
-84.732803,10.983895,Cebus capucinus
-85.646579,11.546265,Cebus capucinus
-84.641174,10.454708,Cebus capucinus
-85.048108,9.670776,Cebus capucinus
-83.4870175120886,8.6986488806157,Cebus capucinus
-87.451236,15.726481,Cebus capucinus
-83.876351,9.317557,Cebus capucinus
-83.823067,9.219603,Cebus capucinus
-73.812784,6.913541,Cebus capucinus
-84.66867,10.347346,Cebus capucinus
-84.006979,10.430628,Cebus capucinus
-87.061433,15.592451,Cebus capucinus
-84.980337,10.709323,Cebus capucinus
-77.702095,7.763699,Cebus capucinus
-84.790456,10.307022,Cebus capucinus
-85.158808,10.425248,Cebus capucinus
-82.839583,9.735253,Cebus capucinus
-85.631743,11.07002,Cebus capucinus
-85.731755,11.038345,Cebus capucinus
-83.564944,8.552327,Cebus capucinus
-83.345927,8.542958,Cebus capucinus
-76.672875,7.776392,Cebus capucinus
-83.185947,8.624187,Cebus capucinus
-84.587615,9.869944,Cebus capucinus
-83.680751,10.06257,Cebus capucinus
-84.158611,9.417274,Cebus capucinus
-84.005801,9.372277,Cebus capucinus
-84.659196,9.700635,Cebus capucinus
-76.58858,3.88183,Cebus capucinus
-83.741507,10.612275,Cebus capucinus
-82.971152,8.821819,Cebus capucinus
-82.674027,8.886123,Cebus capucinus
-84.325654,9.80652,Cebus capucinus
-82.975796,9.883484,Cebus capucinus
-84.781517,10.876984,Cebus capucinus
-83.90036,9.524555,Cebus capucinus
-79.859269,9.154983,Cebus capucinus
-85.676518,10.636826,Cebus capucinus
-82.580795,9.574007,Cebus capucinus
-85.110205,9.564405,Cebus capucinus
-85.909815,12.99912,Cebus capucinus
-84.712977,9.923574,Cebus capucinus
-85.222016,10.189744,Cebus capucinus
-75.544921,9.984616,Cebus capucinus
-85.053133,11.0336,Cebus capucinus
-77.171417,7.412861,Cebus capucinus
-75.10519,8.05011,Cebus capucinus
-75.499334,9.567066,Cebus capucinus
-83.750568,9.319076,Cebus capucinus
-85.537846,11.495303,Cebus capucinus
-85.90313,11.892213,Cebus capucinus
-84.924316,10.087854,Cebus capucinus
-75.157297,10.764119,Cebus capucinus
-83.720187,9.135974,Cebus capucinus
-76.973044,6.932186,Cebus capucinus
-76.867677,3.831083,Cebus capucinus
-84.754135,10.487833,Cebus capucinus
-76.54669,7.2291,Cebus capucinus
-83.920161,10.181947,Cebus capucinus
-77.169762,2.480638,Cebus capucinus
-76.81268,8.57522,Cebus capucinus
-77.11072,8.35249,Cebus capucinus
-76.4412,7.31658,Cebus capucinus
-76.675806,3.740244,Cebus capucinus
-76.428381,3.849119,Cebus capucinus
-76.369042,3.960656,Cebus capucinus
-84.355528,10.385888,Cebus capucinus
-83.499916,8.812118,Cebus capucinus
-84.338096,10.102942,Cebus capucinus
-84.048801,10.34069,Cebus capucinus
-77.346278,2.770167,Cebus capucinus
-77.248056,5.6805,Cebus capucinus
-85.153122,9.672495,Cebus capucinus
-83.764453,10.436658,Cebus capucinus
-84.28376,9.916182,Cebus capucinus
-76.026,8.493,Cebus capucinus
-74.01899,4.83264,Cebus capucinus
-85.131577,10.140558,Cebus capucinus
-85.291672,10.299044,Cebus capucinus
-77.156717,7.826912,Cebus capucinus
-83.460217,10.345064,Cebus capucinus
-75.050075,9.157265,Cebus capucinus
-77.271111,6.092778,Cebus capucinus
-72.55323,5.20128,Cebus capucinus
-76.5605,6.699083,Cebus capucinus
-82.239039,8.746955,Cebus capucinus
-80.779381,7.355146,Cebus capucinus
-77.289167,8.171667,Cebus capucinus
-78.761845,9.182092,Cebus capucinus
-76.513056,4.073611,Cebus capucinus
-79.938927,9.294765,Cebus capucinus
-84.380371,9.98159,Cebus capucinus
-76.9525,2.715028,Cebus capucinus
-87.134852,15.782116,Cebus capucinus
-85.593796,10.880511,Cebus capucinus
-76.779083,6.016472,Cebus capucinus
-83.602524,8.797547,Cebus capucinus
-76.111667,7.851389,Cebus capucinus
-78.783333,0.316667,Cebus capucinus
-82.753769,9.655817,Cebus capucinus
-76.2,3.833333,Cebus capucinus
-75.924444,9.179722,Cebus capucinus
-75.283333,8.4,Cebus capucinus
-82.833333,8.945278,Cebus capucinus
-84.7167,10.25,Cebus capucinus
-79.617,-0.9,Cebus capucinus
-85.717555,10.84147,Cebus capucinus
-84.3180515345051,12.1715924579926,Cebus capucinus
-84.96037,12.05904,Cebus capucinus
-83.347,8.864,Cebus capucinus
-85.66997,11.27712,Cebus capucinus
-83.9997273093338,12.2695800340167,Cebus capucinus
-84.4830658990278,11.0344034417321,Cebus capucinus
-86.0528341856102,11.7565923170503,Cebus capucinus
-85.95,11.76667,Cebus capucinus
-85.58333,10.26667,Cebus capucinus
-78.4375,8.47833,Cebus capucinus
-86.6456195670922,12.4176667103421,Cebus capucinus
-86.3551320732548,12.1150630257408,Cebus capucinus
-85.76667,11.29392,Cebus capucinus
-77.213341,8.097215,Cebus capucinus
