Longitude,Latitude,species
29.387827,-9.542715,Cercopithecus mitis
32.678648,-18.937818,Cercopithecus mitis
38.1639,-0.1173,Cercopithecus mitis
36.598667,-0.942507,Cercopithecus mitis
13.36834,-9.173953,Cercopithecus mitis
37.9825,-0.3096,Cercopithecus mitis
38.5858,-0.1723,Cercopithecus mitis
37.9393,0.2624,Cercopithecus mitis
37.7027,-0.5721,Cercopithecus mitis
28.576705,1.400864,Cercopithecus mitis
13.165483,-9.324707,Cercopithecus mitis
36.926752,-3.302098,Cercopithecus mitis
37.035472,-0.103582,Cercopithecus mitis
31.650294,-28.853292,Cercopithecus mitis
35.520005,-16.018094,Cercopithecus mitis
38.344058,-3.367697,Cercopithecus mitis
36.742101,-3.352872,Cercopithecus mitis
37.337036,-3.047268,Cercopithecus mitis
36.849905,-3.233517,Cercopithecus mitis
34.78372,-16.221205,Cercopithecus mitis
35.59196,-3.302697,Cercopithecus mitis
37.907061,-2.931923,Cercopithecus mitis
31.599315,-0.942898,Cercopithecus mitis
34.861719,0.353578,Cercopithecus mitis
30.712022,-24.938548,Cercopithecus mitis
30.215519,-12.546451,Cercopithecus mitis
37.132257,-0.037835,Cercopithecus mitis
35.20787,-1.092343,Cercopithecus mitis
34.899445,0.219726,Cercopithecus mitis
37.17574,-0.34025,Cercopithecus mitis
30.041006,-0.28471,Cercopithecus mitis
35.63663,-3.969125,Cercopithecus mitis
37.066143,0.101649,Cercopithecus mitis
36.602759,-1.05614,Cercopithecus mitis
37.00217,-3.014407,Cercopithecus mitis
37.814105,-7.01187,Cercopithecus mitis
31.5775,1.787222,Cercopithecus mitis
36.838738,-3.37033,Cercopithecus mitis
35.833333,-3.5,Cercopithecus mitis
35.303772,-15.358844,Cercopithecus mitis
30.029303,-23.814192,Cercopithecus mitis
40.1386,-1.9349,Cercopithecus mitis
36.6463,-0.4324,Cercopithecus mitis
38.0231,-0.0588,Cercopithecus mitis
29.103813,-2.447833,Cercopithecus mitis
34.005905,-13.383206,Cercopithecus mitis
37.070231,-1.025035,Cercopithecus mitis
38.231964,-7.760878,Cercopithecus mitis
29.363,-1.34,Cercopithecus mitis
13.59,-9.68,Cercopithecus mitis
32.773912,-19.137489,Cercopithecus mitis
36.732867,-0.391845,Cercopithecus mitis
37.641254000000004,-7.509705,Cercopithecus mitis
38.085823,-7.672205,Cercopithecus mitis
35.725939,-3.553337,Cercopithecus mitis
37.258282,-1.141075,Cercopithecus mitis
35.834632,-3.375155,Cercopithecus mitis
36.876826,-1.406013,Cercopithecus mitis
29.985064,0.360214,Cercopithecus mitis
35.53633,-0.29867,Cercopithecus mitis
36.448333,-0.68536,Cercopithecus mitis
39.594696,-4.279763,Cercopithecus mitis
37.933333,-4.2,Cercopithecus mitis
39.831297,-3.623341,Cercopithecus mitis
35.585403,-3.169312,Cercopithecus mitis
29.807829,-1.251488,Cercopithecus mitis
36.850891,-7.743651,Cercopithecus mitis
29.89897,-0.300114,Cercopithecus mitis
36.764449,-1.376785,Cercopithecus mitis
36.75,-3.25,Cercopithecus mitis
34.033063,-9.483073,Cercopithecus mitis
37.695122,-3.315333,Cercopithecus mitis
37.613325,-3.446597,Cercopithecus mitis
35.733465,-3.667817,Cercopithecus mitis
35.203671,-18.040197,Cercopithecus mitis
39.38736,-4.256029,Cercopithecus mitis
29.449314,-23.03925,Cercopithecus mitis
29.262731,-2.469288,Cercopithecus mitis
39.878483,-3.330056,Cercopithecus mitis
37.513588,-3.193221,Cercopithecus mitis
37.310684,3.125175,Cercopithecus mitis
37.813919,-12.279181,Cercopithecus mitis
25.03699,1.38666,Cercopithecus mitis
37.360725,-3.368115,Cercopithecus mitis
37.357807,-3.170683,Cercopithecus mitis
31.9733,-28.2013,Cercopithecus mitis
32.041477,-28.078139,Cercopithecus mitis
31.033333,-24.55,Cercopithecus mitis
37.425461,-2.939235,Cercopithecus mitis
37.419605,-3.258435,Cercopithecus mitis
-2.48521,29.148115,Cercopithecus mitis
-2.292512,30.312071,Cercopithecus mitis
31.577601,2.10536,Cercopithecus mitis
37.236313,-3.166869,Cercopithecus mitis
37.120056,-2.943041,Cercopithecus mitis
21.875772,-18.414619,Cercopithecus mitis
29.220693,-15.764708,Cercopithecus mitis
29.470793,-1.536295,Cercopithecus mitis
31.573097,-11.596571,Cercopithecus mitis
35.010394,-1.251096,Cercopithecus mitis
23.20453,-4.48926,Cercopithecus mitis
23.47752,-4.73562,Cercopithecus mitis
31.9965,2.421,Cercopithecus mitis
32.2153,2.2881,Cercopithecus mitis
34.595947,1.043643,Cercopithecus mitis
24.9827,-1.58545,Cercopithecus mitis
24.42368,-1.02237,Cercopithecus mitis
33.70599,-9.11739,Cercopithecus mitis
24.47884,-1.51843,Cercopithecus mitis
30.2702,-0.1584,Cercopithecus mitis
40.027416,-3.342546,Cercopithecus mitis
30.1012,-0.3667,Cercopithecus mitis
38.715331,-8.09725,Cercopithecus mitis
35.202942,-1.573594,Cercopithecus mitis
37.093964,-0.476526,Cercopithecus mitis
34.506683,0.333021,Cercopithecus mitis
37.236786,-0.205993,Cercopithecus mitis
37.754517,-3.554541,Cercopithecus mitis
37.07433,-15.4135,Cercopithecus mitis
