Longitude,Latitude,species
-116.1667,52.4333,Cervus elaphus
-105.590556,41.311389,Cervus elaphus
-78.5,41.5083,Cervus elaphus
-110.461883,44.473723,Cervus elaphus
-111.8814,38.9639,Cervus elaphus
-120.488602,49.465332,Cervus elaphus
-111.915,35.56798,Cervus elaphus
-91.39836,37.15198,Cervus elaphus
-93.042816,36.649826,Cervus elaphus
-90.945625,36.944782,Cervus elaphus
-106.54489,41.36045,Cervus elaphus
-105.79361,42.43472,Cervus elaphus
-106,41.20667,Cervus elaphus
-106.52222,42.22278,Cervus elaphus
-106.1,41.145,Cervus elaphus
-106.296433,41.067883,Cervus elaphus
-111.8275,44.8608,Cervus elaphus
-111.91733,45.319286,Cervus elaphus
-81.41776,42.91059,Cervus elaphus
-80.6,42.983334,Cervus elaphus
-82.316666,43.016666,Cervus elaphus
-79.066667,43.05,Cervus elaphus
-79.76667,44.233334,Cervus elaphus
-76.53333,44.55,Cervus elaphus
-76.983333,44.9,Cervus elaphus
-109.49017,35.385082,Cervus elaphus
-108.3921,33.901814,Cervus elaphus
-123.92582,40.706673,Cervus elaphus
-106.98529,40.48316,Cervus elaphus
-122.53329,41.587986,Cervus elaphus
-116.24438,43.451477,Cervus elaphus
-121.097,47.384,Cervus elaphus
-121.1224,46.7155,Cervus elaphus
-99.55556,50.683334,Cervus elaphus
-109.8575,49.593333,Cervus elaphus
-121.474504159456,46.9353297787096,Cervus elaphus
-121.566501858035,46.7018378982632,Cervus elaphus
-123.713598913997,46.334394076181,Cervus elaphus
-123.6436,47.2359999990598,Cervus elaphus
-123.382835,46.26093,Cervus elaphus
-122.30697,46.36138,Cervus elaphus
-122.07721,46.21202,Cervus elaphus
-122.077576,46.33228,Cervus elaphus
-121.651665,46.986168,Cervus elaphus
-121.88425,46.883057,Cervus elaphus
-104.5673,44.589264,Cervus elaphus
-111.32444,35.101315,Cervus elaphus
-109.7627,33.7845,Cervus elaphus
-111.641914,34.90937,Cervus elaphus
-111.50917,34.96806,Cervus elaphus
-108.27167,33.22722,Cervus elaphus
-111.4075,35.205,Cervus elaphus
-107.46658,39.92176,Cervus elaphus
-110.740128,44.799378,Cervus elaphus
-117.983333,45.95,Cervus elaphus
-124.215546396056,40.5022864208126,Cervus elaphus
-107.1719,39.7027,Cervus elaphus
-107.533486,40.127306,Cervus elaphus
-107.23056,39.98611,Cervus elaphus
-106.211952,40.328893,Cervus elaphus
-108.056564,39.732788,Cervus elaphus
-86.63474,42.595787,Cervus elaphus
-84.146355,42.951546,Cervus elaphus
-113.4878,37.26253,Cervus elaphus
-118.000786,45.499767,Cervus elaphus
-118.78831,45.67196,Cervus elaphus
-119.466515,35.40012,Cervus elaphus
-123.289022753519,47.5052701974302,Cervus elaphus
-123.82704,47.142784,Cervus elaphus
-122.37744000000001,46.58007,Cervus elaphus
-107.3547,37.2313,Cervus elaphus
-111.560036,35.098595,Cervus elaphus
-105.449066,32.67032,Cervus elaphus
-105.827766,33.454244,Cervus elaphus
-105.788205,32.841795,Cervus elaphus
-121.54985,47.3514999990601,Cervus elaphus
-107.9222,34.79881,Cervus elaphus
-117.629444,52.723056,Cervus elaphus
-109.70183,47.045143,Cervus elaphus
-118.22052,37.06412,Cervus elaphus
-111.77373,35.829693,Cervus elaphus
-111.45089,37.831623,Cervus elaphus
-84.8068,41.81636,Cervus elaphus
-117.77359,45.97767,Cervus elaphus
-111.20899,45.014027,Cervus elaphus
-111.818305683309,44.6151232558255,Cervus elaphus
-111.179791935244,44.8959258198441,Cervus elaphus
-111.80102,45.600018,Cervus elaphus
-107.2036,40.106007,Cervus elaphus
-103.310997,30.409,Cervus elaphus
-105.345581,36.905716,Cervus elaphus
-105.78108,32.588776,Cervus elaphus
-100.21,29.84,Cervus elaphus
9.201039,63.29318,Cervus elaphus
8.490247,62.957262,Cervus elaphus
11.416851,63.967102,Cervus elaphus
10.879991,59.583837,Cervus elaphus
15.80557,58.532767,Cervus elaphus
11.481071,60.878573,Cervus elaphus
7.502981,59.230953,Cervus elaphus
14.281515,66.458779,Cervus elaphus
83.071139,51.132972,Cervus elaphus
92.74913,55.954968,Cervus elaphus
82.916815,51.135366,Cervus elaphus
-123.950297,45.958538,Cervus elaphus
-104.432897,37.000339,Cervus elaphus
-124.128075,43.047889,Cervus elaphus
-122.438958,42.909455,Cervus elaphus
17.295947,60.071564,Cervus elaphus
5.389793,60.319344,Cervus elaphus
5.508996,60.025691,Cervus elaphus
9.890715,59.791561,Cervus elaphus
-2.631665,42.862032,Cervus elaphus
5.979193,50.021002,Cervus elaphus
-117.884791,45.255748,Cervus elaphus
-114.295726,52.472817,Cervus elaphus
152.250014,-27.495256,Cervus elaphus
-113.865494,49.081903,Cervus elaphus
-118.886916,46.064001,Cervus elaphus
-78.204573,41.424986,Cervus elaphus
19.743102,49.301714,Cervus elaphus
-105.994188,39.206292,Cervus elaphus
-105.219019,39.888933,Cervus elaphus
-123.137947,45.428333,Cervus elaphus
17.163445,59.052358,Cervus elaphus
16.102158,58.753125,Cervus elaphus
-124.073724,41.575614,Cervus elaphus
9.916675,48.998055,Cervus elaphus
9.429681,46.187338,Cervus elaphus
169.420271,-46.58187,Cervus elaphus
-124.081044,43.915017,Cervus elaphus
-111.091152,34.718038,Cervus elaphus
13.521848,53.366451,Cervus elaphus
10.720519,53.485466,Cervus elaphus
11.641624,54.012291,Cervus elaphus
9.567375,50.899136,Cervus elaphus
-123.349477,39.424244,Cervus elaphus
-121.587389,45.643982,Cervus elaphus
6.594829,60.592467,Cervus elaphus
11.617058,59.253133,Cervus elaphus
11.201084,60.743235,Cervus elaphus
9.08176,55.87489,Cervus elaphus
-110.36883,44.908277,Cervus elaphus
11.56685,55.5785,Cervus elaphus
6.634993,58.474623,Cervus elaphus
10.013318,59.425047,Cervus elaphus
10.459233,62.907304,Cervus elaphus
6.152209,62.325348,Cervus elaphus
6.274691,62.428261,Cervus elaphus
10.30319,56.61349,Cervus elaphus
-123.969909,39.949686,Cervus elaphus
13.397286,57.768217,Cervus elaphus
15.200618,59.15716,Cervus elaphus
16.797597,59.84891,Cervus elaphus
13.108585,57.834298,Cervus elaphus
148.97074,-33.361179,Cervus elaphus
-113.99607,36.112764,Cervus elaphus
6.76606,45.31103,Cervus elaphus
138.67997,-35.11861,Cervus elaphus
6.05525,46.32397,Cervus elaphus
-107.25038,39.400266,Cervus elaphus
-122.195012,47.125612,Cervus elaphus
-110.708503,45.029334,Cervus elaphus
-110.484639,44.95772,Cervus elaphus
-112.035461,41.358547,Cervus elaphus
13.809259,53.184151,Cervus elaphus
-112.200604,36.063572,Cervus elaphus
-111.458654,44.242308,Cervus elaphus
-114.257052,47.370617,Cervus elaphus
-124.200011,48.866702,Cervus elaphus
-117.238431,49.580619,Cervus elaphus
8.234003,62.923032,Cervus elaphus
6.344442,59.57525,Cervus elaphus
11.456916,51.073742,Cervus elaphus
11.563204,63.805984,Cervus elaphus
10.725534,60.675787,Cervus elaphus
5.059001,61.60291,Cervus elaphus
8.94319,56.37255,Cervus elaphus
11.78503,55.30973,Cervus elaphus
8.43875,55.86175,Cervus elaphus
16.921376,59.199629,Cervus elaphus
15.768209,57.77809,Cervus elaphus
13.346531,55.485451,Cervus elaphus
16.75711,58.881498,Cervus elaphus
15.057363,59.304678,Cervus elaphus
26.2,59.2,Cervus elaphus
-123.334539,44.437157,Cervus elaphus
7.095518,52.250038,Cervus elaphus
11.276711,47.490719,Cervus elaphus
-123.609803,45.440962,Cervus elaphus
10.46063,63.255415,Cervus elaphus
11.493809,58.943254,Cervus elaphus
