Longitude,Latitude,species
40.010214,8.844629,Chlorocebus aethiops
33.584637,4.777452,Chlorocebus aethiops
38.906939,9.839212,Chlorocebus aethiops
32.410648,-28.377861,Chlorocebus aethiops
37.981843,8.533194,Chlorocebus aethiops
37.349449,11.700574,Chlorocebus aethiops
37.396372,11.605823000000001,Chlorocebus aethiops
38.443543,6.749603,Chlorocebus aethiops
34.050888,-12.911019,Chlorocebus aethiops
35.290573,-14.844231,Chlorocebus aethiops
38.640613,7.077951,Chlorocebus aethiops
37.593498,5.939119,Chlorocebus aethiops
37.733917,10.316271,Chlorocebus aethiops
37.592249,11.486835,Chlorocebus aethiops
-1.7592,30.7979,Chlorocebus aethiops
1.5645,11.4593,Chlorocebus aethiops
38.458672,7.04856,Chlorocebus aethiops
1.50572,11.20375,Chlorocebus aethiops
39.04763,12.030899,Chlorocebus aethiops
1.48732,11.29936,Chlorocebus aethiops
1.34814,11.3437,Chlorocebus aethiops
39.595863,-4.279088,Chlorocebus aethiops
1.18649,11.25426,Chlorocebus aethiops
3.026898,9.634771,Chlorocebus aethiops
2.964669,9.897223,Chlorocebus aethiops
3.107006,9.848476,Chlorocebus aethiops
39.394184,8.40218,Chlorocebus aethiops
2.69602,9.674407,Chlorocebus aethiops
2.64827,9.454187,Chlorocebus aethiops
3.00143,9.778053,Chlorocebus aethiops
1.86361,11.27881,Chlorocebus aethiops
1.86775,11.06171,Chlorocebus aethiops
1.26203,10.86599,Chlorocebus aethiops
2.383257,12.443288,Chlorocebus aethiops
2.246973,12.417102,Chlorocebus aethiops
1.52825,10.98,Chlorocebus aethiops
1.424774,11.02484,Chlorocebus aethiops
1.20983,11.12812,Chlorocebus aethiops
1.74669,11.38535,Chlorocebus aethiops
2.51295,11.764783,Chlorocebus aethiops
2.710483,11.6018,Chlorocebus aethiops
2.37268,11.8156,Chlorocebus aethiops
2.742778,11.77875,Chlorocebus aethiops
2.45489,12.03515,Chlorocebus aethiops
2.839222,11.601167,Chlorocebus aethiops
2.600417,11.844583,Chlorocebus aethiops
2.31131,11.66284,Chlorocebus aethiops
2.52592,11.94554,Chlorocebus aethiops
2.48964,12.19915,Chlorocebus aethiops
35.202942,-1.573594,Chlorocebus aethiops
36.348267,-0.753915,Chlorocebus aethiops
37.987289,-3.225529,Chlorocebus aethiops
3.089937,9.415267,Chlorocebus aethiops
30.537872,-24.155525,Chlorocebus aethiops
3.06685,11.5311,Chlorocebus aethiops
3.104664,9.726445,Chlorocebus aethiops
38.760378,9.185278,Chlorocebus aethiops
1.36271,11.23718,Chlorocebus aethiops
1.46543,11.46389,Chlorocebus aethiops
1.64724,11.39669,Chlorocebus aethiops
1.1199,11.0211,Chlorocebus aethiops
-16.649094,13.393126,Chlorocebus aethiops
1.5848,11.2964,Chlorocebus aethiops
29.10271,-22.68246,Chlorocebus aethiops
33.195961,0.422197,Chlorocebus aethiops
29.659996,-0.612133,Chlorocebus aethiops
34.600029,8.230783,Chlorocebus aethiops
37.285164,11.903894,Chlorocebus aethiops
2.370111,11.293039,Chlorocebus aethiops
2.39173,11.024231,Chlorocebus aethiops
2.257929,11.341661,Chlorocebus aethiops
2.899295,11.266886,Chlorocebus aethiops
2.52256,11.112371,Chlorocebus aethiops
2.231266,11.091443,Chlorocebus aethiops
22.206802,-19.377228,Chlorocebus aethiops
1.833611,7.903889,Chlorocebus aethiops
2.6166,9.7666,Chlorocebus aethiops
1.7248000000000001,9.0072,Chlorocebus aethiops
2.6573,10.2197,Chlorocebus aethiops
2.1265,10.7378,Chlorocebus aethiops
2.8904,10.8044,Chlorocebus aethiops
1.2841,10.5221,Chlorocebus aethiops
1.7356,9.6431,Chlorocebus aethiops
1.9088,8.1715,Chlorocebus aethiops
0.8458,10.5098,Chlorocebus aethiops
40,9.083333,Chlorocebus aethiops
1.4369,9.3405,Chlorocebus aethiops
2.3,8.05,Chlorocebus aethiops
-2.292512,30.312071,Chlorocebus aethiops
36.825737,7.682221,Chlorocebus aethiops
25.26379,-17.814398,Chlorocebus aethiops
25.836733,-17.922495,Chlorocebus aethiops
21.670189,-18.209133,Chlorocebus aethiops
20.761328,-18.505737,Chlorocebus aethiops
24.862919,-17.9237,Chlorocebus aethiops
37.695122,-3.315333,Chlorocebus aethiops
37.925232,-3.931947,Chlorocebus aethiops
36.044769,-4.077973,Chlorocebus aethiops
31.760471,-25.085604,Chlorocebus aethiops
23.418726,-33.558701,Chlorocebus aethiops
32.072,1.8772,Chlorocebus aethiops
32.0383,1.5621,Chlorocebus aethiops
31.9905,2.419,Chlorocebus aethiops
32.0253,1.7611,Chlorocebus aethiops
32.2533,2.2606,Chlorocebus aethiops
31.62,-13.37,Chlorocebus aethiops
3.191864,12.076329,Chlorocebus aethiops
31.486816,-13.03667,Chlorocebus aethiops
28.223877,-15.02637,Chlorocebus aethiops
32.25174,-11.926477,Chlorocebus aethiops
28.413048,-15.489084,Chlorocebus aethiops
34.820568,-2.436428,Chlorocebus aethiops
34.747009,-2.619326,Chlorocebus aethiops
31.52207,-25.09963,Chlorocebus aethiops
37.608948,0.57128,Chlorocebus aethiops
1.549487,9.266933,Chlorocebus aethiops
2.166667,6.916667,Chlorocebus aethiops
2.03212,8.756808,Chlorocebus aethiops
27.410889,-15.903225,Chlorocebus aethiops
24.00555,-33.56977,Chlorocebus aethiops
1.758022,6.303553,Chlorocebus aethiops
31.835632,-28.326141,Chlorocebus aethiops
-8.906,8.531,Chlorocebus aethiops
1.62571,11.03612,Chlorocebus aethiops
36.053223,-0.372414,Chlorocebus aethiops
2.158931,6.664319,Chlorocebus aethiops
36.091374,-0.47657,Chlorocebus aethiops
6.433333,4.983333,Chlorocebus aethiops
30.0353,0.8103,Chlorocebus aethiops
32.1541,2.2362,Chlorocebus aethiops
30.9127,0.472,Chlorocebus aethiops
27,-18,Chlorocebus aethiops
30.8493,0.2565,Chlorocebus aethiops
31.8121,1.6603,Chlorocebus aethiops
31.6502,1.6513,Chlorocebus aethiops
31.8391,3.649,Chlorocebus aethiops
31.2452,3.667,Chlorocebus aethiops
30.383333,0.435,Chlorocebus aethiops
29.910965,-0.214233,Chlorocebus aethiops
31.7181,1.9325,Chlorocebus aethiops
37.228546,-2.628243,Chlorocebus aethiops
31.5,-8.483333,Chlorocebus aethiops
35.38333,-1.1,Chlorocebus aethiops
12.5833,-16.6667,Chlorocebus aethiops
23.416667,-19.837961,Chlorocebus aethiops
23.41804,-19.427726,Chlorocebus aethiops
25.15,-17.816667,Chlorocebus aethiops
21.85,-18.366667,Chlorocebus aethiops
10.7667,6.4,Chlorocebus aethiops
2.02,7.92,Chlorocebus aethiops
36.85,2.13333,Chlorocebus aethiops
36.1,1.9667,Chlorocebus aethiops
-15.77,16.55,Chlorocebus aethiops
35.5,-1.06667,Chlorocebus aethiops
37.6667,6,Chlorocebus aethiops
37.8333,6,Chlorocebus aethiops
37.6,0.1667,Chlorocebus aethiops
35.4667,-1.2167,Chlorocebus aethiops
36.5333,0.2667,Chlorocebus aethiops
37.8333,6.5,Chlorocebus aethiops
23.7,12.9833,Chlorocebus aethiops
37.1,-1.25,Chlorocebus aethiops
39.1667,-4.1667,Chlorocebus aethiops
35.1667,-0.1667,Chlorocebus aethiops
35.5,-3.3667,Chlorocebus aethiops
22.26667,-19.66667,Chlorocebus aethiops
32.299999,10.133333,Chlorocebus aethiops
32.533329,10.64242,Chlorocebus aethiops
37,11.3333,Chlorocebus aethiops
35,-0.8333,Chlorocebus aethiops
2.45,6.433333,Chlorocebus aethiops
21.41667,12.21667,Chlorocebus aethiops
35.6,-0.1667,Chlorocebus aethiops
29.733333,0.866667,Chlorocebus aethiops
-2.0167,8.15,Chlorocebus aethiops
30.466667,1.233333,Chlorocebus aethiops
23.1833,-13.7333,Chlorocebus aethiops
34.9,-16.0333,Chlorocebus aethiops
23.2167,-13.8333,Chlorocebus aethiops
-2.5833,9.0167,Chlorocebus aethiops
31.9333,-8.0667,Chlorocebus aethiops
0.3333,7.45,Chlorocebus aethiops
37.6,-6.9,Chlorocebus aethiops
-0.5167,8.55,Chlorocebus aethiops
39,-11,Chlorocebus aethiops
-11.65,9.8167,Chlorocebus aethiops
29.333333,4.166667,Chlorocebus aethiops
39.3333,-0.15,Chlorocebus aethiops
36.78333,-2.55,Chlorocebus aethiops
40.7,4.25,Chlorocebus aethiops
31.4833,-7.8,Chlorocebus aethiops
32.400002,4.316667,Chlorocebus aethiops
30.9667,3.4,Chlorocebus aethiops
-12.416667,8.783333,Chlorocebus aethiops
