Longitude,Latitude,species
7.641506,50.301292,Clethrionomys rufocanus
25.883729,69.523262,Clethrionomys rufocanus
27.213322,69.182379,Clethrionomys rufocanus
12.65728,61.636829,Clethrionomys rufocanus
24.859752,66.107433,Clethrionomys rufocanus
100.155278,50.508889,Clethrionomys rufocanus
107.383333,47.883333,Clethrionomys rufocanus
101.963056,46.786944,Clethrionomys rufocanus
143,63.466667,Clethrionomys rufocanus
142.45,64.266667,Clethrionomys rufocanus
104.416667,49.333333,Clethrionomys rufocanus
137.45,50.93333,Clethrionomys rufocanus
10.17605,61.80385,Clethrionomys rufocanus
20.866667,69.066667,Clethrionomys rufocanus
29.133333,66.166667,Clethrionomys rufocanus
142.02389,44.99488,Clethrionomys rufocanus
27.03029,68.90505,Clethrionomys rufocanus
18.83139,68.34944,Clethrionomys rufocanus
15.46944,66.07222,Clethrionomys rufocanus
127.833333,51.5,Clethrionomys rufocanus
29.15,69.066667,Clethrionomys rufocanus
-66.17,0.85,Clethrionomys rufocanus
17.26666,59.11666,Clethrionomys rufocanus
25.07825,69.83977,Clethrionomys rufocanus
12.845,62.11417,Clethrionomys rufocanus
17.72,66.95194,Clethrionomys rufocanus
128.46207,38.10448,Clethrionomys rufocanus
-71.585264,18.6758,Clethrionomys rufocanus
