Longitude,Latitude,species
32.3942,-28.252,Connochaetes taurinus
20.706274,-25.775698,Connochaetes taurinus
17.328889,-22.788333,Connochaetes taurinus
31.488905,-24.438502,Connochaetes taurinus
31.299803,-27.535024,Connochaetes taurinus
36.4044,-0.77211,Connochaetes taurinus
35.083642,-1.421957,Connochaetes taurinus
32.367336,-28.340391,Connochaetes taurinus
37.331706,-2.710828,Connochaetes taurinus
28.489008,-15.145686,Connochaetes taurinus
34.208679,-2.181632,Connochaetes taurinus
28.360083,-25.423536,Connochaetes taurinus
16.347661,-19.030982,Connochaetes taurinus
20.698601,-26.36313,Connochaetes taurinus
20.52973,-25.29939,Connochaetes taurinus
16.804098,-18.851162,Connochaetes taurinus
28.3,-25.3,Connochaetes taurinus
23.896369,-19.126628,Connochaetes taurinus
24.402109,-18.751725,Connochaetes taurinus
17.098293,-20.069413,Connochaetes taurinus
26.260331,-20.345967,Connochaetes taurinus
32.23763,-20.439249,Connochaetes taurinus
27.429761,-19.084067,Connochaetes taurinus
17.645819,-24.089282999999998,Connochaetes taurinus
23.061388,-17.968137,Connochaetes taurinus
13.262787,-9.20431,Connochaetes taurinus
31.43294,-25.23656,Connochaetes taurinus
31.339343,-23.415682,Connochaetes taurinus
35.573346,-3.173721,Connochaetes taurinus
27.05019,-19.044974,Connochaetes taurinus
32.064783,-27.788346,Connochaetes taurinus
30.783456,-17.935143,Connochaetes taurinus
34.773517,-2.690359,Connochaetes taurinus
32.129932,-28.07992,Connochaetes taurinus
16.193713,-19.052211,Connochaetes taurinus
35.866126,-3.950674,Connochaetes taurinus
31.871161,-24.386886,Connochaetes taurinus
22.163628,-34.011658,Connochaetes taurinus
32.333978,-27.876093,Connochaetes taurinus
35.356042,-1.622814,Connochaetes taurinus
31.785112,-13.054462,Connochaetes taurinus
35.863288,-3.700063,Connochaetes taurinus
26.7628,-18.766426,Connochaetes taurinus
32.817026,-18.27491,Connochaetes taurinus
33.897669,-2.171042,Connochaetes taurinus
15.512701,-21.787323,Connochaetes taurinus
23.534633,-18.415293,Connochaetes taurinus
15.487528,-18.9814,Connochaetes taurinus
16.235115,-24.918419,Connochaetes taurinus
19.08407,-18.754888,Connochaetes taurinus
32.1801,-28.4865,Connochaetes taurinus
29.296407,-25.455953,Connochaetes taurinus
31.926772,-12.909024,Connochaetes taurinus
25.433885,-33.635832,Connochaetes taurinus
35.204953,-1.093003,Connochaetes taurinus
28.188953,-24.369383,Connochaetes taurinus
30.761693,-24.330633,Connochaetes taurinus
30.3,-29.5,Connochaetes taurinus
32.19681,-20.297288000000002,Connochaetes taurinus
27.829747,-25.978495,Connochaetes taurinus
28.420537,-15.540423,Connochaetes taurinus
32.752304,-26.485982,Connochaetes taurinus
25.79886,-17.875939,Connochaetes taurinus
34.992997,-2.964483,Connochaetes taurinus
31.031384,-24.431921,Connochaetes taurinus
37.9554,-0.2295,Connochaetes taurinus
31.435832,-23.437477,Connochaetes taurinus
31.88447,-25.252847,Connochaetes taurinus
31.528698,-23.298925,Connochaetes taurinus
35.121231,-1.195363,Connochaetes taurinus
31.138661,-29.448881,Connochaetes taurinus
31.748152,-24.898288,Connochaetes taurinus
28.560553,-20.24845,Connochaetes taurinus
31.168026,-24.411603,Connochaetes taurinus
36.987708,-3.006215,Connochaetes taurinus
32.34935,-27.777501,Connochaetes taurinus
35.064857,-2.658932,Connochaetes taurinus
35.084072,-2.959943,Connochaetes taurinus
25.242476,-17.866732,Connochaetes taurinus
29.069849,-22.180649,Connochaetes taurinus
24.345864,-29.175497,Connochaetes taurinus
37.158923,-7.274222,Connochaetes taurinus
37.113315,-7.362405,Connochaetes taurinus
17.490131,-22.931938,Connochaetes taurinus
17.994447,-24.192065,Connochaetes taurinus
19.881783,-25.648678,Connochaetes taurinus
20.561567,-26.223421,Connochaetes taurinus
30.1813,-30.7054,Connochaetes taurinus
16.957167,-18.842133,Connochaetes taurinus
30.6053,-30.2661,Connochaetes taurinus
34.463248,-2.284693,Connochaetes taurinus
31.30083,-25.15071,Connochaetes taurinus
35.57385,-3.264333,Connochaetes taurinus
34.823705,-2.308036,Connochaetes taurinus
35.267978,-1.587766,Connochaetes taurinus
23.773204,-19.114148,Connochaetes taurinus
31.245781,-22.872587,Connochaetes taurinus
31.704048,-24.127643,Connochaetes taurinus
21.909124,-34.079172,Connochaetes taurinus
15.713217,-19.013561,Connochaetes taurinus
16.248827,-21.998812,Connochaetes taurinus
32.050059,-20.68004,Connochaetes taurinus
32.100223,-20.239216,Connochaetes taurinus
35.014085,-1.530654,Connochaetes taurinus
31.924617,-28.214699,Connochaetes taurinus
28.385102,-24.116635,Connochaetes taurinus
34.351348,-18.899925,Connochaetes taurinus
31.957023,-24.557951,Connochaetes taurinus
31.883755,-24.895956,Connochaetes taurinus
35.57491,-1.451239,Connochaetes taurinus
35.146016,-1.553074,Connochaetes taurinus
34.443874,-13.694692,Connochaetes taurinus
35.44666,-3.226167,Connochaetes taurinus
32.245199,-27.933824,Connochaetes taurinus
36.058965,-3.808625,Connochaetes taurinus
24.070355,-18.559873,Connochaetes taurinus
34.826942,-1.573938,Connochaetes taurinus
31.918459,-25.117595,Connochaetes taurinus
31.763738,-24.352021,Connochaetes taurinus
36.213862,-4.287704,Connochaetes taurinus
27.19,-25.256,Connochaetes taurinus
29.463336,-23.948573,Connochaetes taurinus
17.208111,-22.776379,Connochaetes taurinus
24.809269,-20.095491,Connochaetes taurinus
31.566679,-25.195608,Connochaetes taurinus
38.19,-0.0881,Connochaetes taurinus
34.558525,-2.330839,Connochaetes taurinus
35.337356,-1.399661,Connochaetes taurinus
31.768492,-24.500425,Connochaetes taurinus
31.394837,-24.475892,Connochaetes taurinus
20.612453,-26.467808,Connochaetes taurinus
27.50229,-24.526498,Connochaetes taurinus
29.2186,-22.1893,Connochaetes taurinus
24.845421,-28.597923,Connochaetes taurinus
28.70614,-24.44928,Connochaetes taurinus
18.389986,-23.237738,Connochaetes taurinus
17.685242,-22.802516,Connochaetes taurinus
22.386189,-27.315197,Connochaetes taurinus
16.059458,-20.121231,Connochaetes taurinus
23.200102,-21.774287,Connochaetes taurinus
16.660151,-18.759207,Connochaetes taurinus
15.904991,-19.145243,Connochaetes taurinus
14.764226,-18.964838,Connochaetes taurinus
16.50316,-21.43184,Connochaetes taurinus
20.103008,-25.865424,Connochaetes taurinus
20.218136,-25.946003,Connochaetes taurinus
13.59,-9.68,Connochaetes taurinus
38.057453,-7.634497,Connochaetes taurinus
37.199364,-2.639218,Connochaetes taurinus
23.836212,-21.505342,Connochaetes taurinus
27.702747,-25.987472,Connochaetes taurinus
23.394012,-19.29222,Connochaetes taurinus
23.7329,-18.3598,Connochaetes taurinus
24.083633,-18.649017,Connochaetes taurinus
16.195797,-20.118109,Connochaetes taurinus
31.59668,-24.978589,Connochaetes taurinus
28.676361,-24.221206,Connochaetes taurinus
36.125648,-4.083253,Connochaetes taurinus
35.967363,-3.777507,Connochaetes taurinus
35.193385,-1.892422,Connochaetes taurinus
35.137798,-1.675322,Connochaetes taurinus
22.60849,-14.609,Connochaetes taurinus
38.15114,-7.671255,Connochaetes taurinus
37.841718,-7.589602,Connochaetes taurinus
31.519775,-23.845022,Connochaetes taurinus
34.722326,-2.368922,Connochaetes taurinus
35.054202,-2.86229,Connochaetes taurinus
36.146015,-3.910095,Connochaetes taurinus
35.224945,-2.877641,Connochaetes taurinus
36.98277,-1.668742,Connochaetes taurinus
15.904947,-24.116777,Connochaetes taurinus
27.101067,-18.954072,Connochaetes taurinus
37.987289,-3.225529,Connochaetes taurinus
27.9297,-25.6746,Connochaetes taurinus
15.865421,-19.004525,Connochaetes taurinus
21.684417,-18.188222,Connochaetes taurinus
16.993645,-18.73054,Connochaetes taurinus
25.2169,-20.4772,Connochaetes taurinus
37.1507,-1.710353,Connochaetes taurinus
24.766525,-19.917677,Connochaetes taurinus
35.382865,-2.978645,Connochaetes taurinus
31.22246,-22.439771,Connochaetes taurinus
32.4166,-28.0617,Connochaetes taurinus
34.612587,-2.486907,Connochaetes taurinus
16.006115,-25.672653,Connochaetes taurinus
35.748138,-3.565506,Connochaetes taurinus
16.772315,-18.52074,Connochaetes taurinus
17.196281,-22.543019,Connochaetes taurinus
26.694635,-26.71542,Connochaetes taurinus
28.482557,-25.424878,Connochaetes taurinus
31.668502,-25.133482,Connochaetes taurinus
23.205764,-19.595028,Connochaetes taurinus
31.287845,-24.52131,Connochaetes taurinus
37.080917,-1.539274,Connochaetes taurinus
34.928799,-1.616836,Connochaetes taurinus
16.425518,-21.018326,Connochaetes taurinus
31.9253,-28.3573,Connochaetes taurinus
23.54815,-19.495019,Connochaetes taurinus
34.904014,-1.407951,Connochaetes taurinus
