Longitude,Latitude,species
-98.748116,26.621517,Dasypus novemcinctus
-97.567825,32.12359,Dasypus novemcinctus
-86.557203,34.576526,Dasypus novemcinctus
-95.677528,33.79419,Dasypus novemcinctus
-81.531662,27.47568,Dasypus novemcinctus
-81.41075,28.245937,Dasypus novemcinctus
-97.21512,30.50901,Dasypus novemcinctus
-81.416491,27.521971,Dasypus novemcinctus
-82.588987,28.622715,Dasypus novemcinctus
-80.80075,28.532267,Dasypus novemcinctus
-98.249853,30.382759,Dasypus novemcinctus
-81.89353,29.507292,Dasypus novemcinctus
-97.399616,29.161486,Dasypus novemcinctus
-97.740285,29.723814,Dasypus novemcinctus
-91.02704,38.01065,Dasypus novemcinctus
-97.91353,30.269735,Dasypus novemcinctus
-81.68514,28.662695,Dasypus novemcinctus
-97.21469,36.128407,Dasypus novemcinctus
-93.935959,36.449158,Dasypus novemcinctus
-82.63892,28.953405,Dasypus novemcinctus
-87.274512,30.324071,Dasypus novemcinctus
-86.41448,36.940697,Dasypus novemcinctus
-86.878,33.10449,Dasypus novemcinctus
-97.175147,30.140297,Dasypus novemcinctus
-97.646439,32.385727,Dasypus novemcinctus
-81.89116,26.973858,Dasypus novemcinctus
-82.358646,28.191964,Dasypus novemcinctus
-99.759786,28.256389,Dasypus novemcinctus
-98.04147,34.229404,Dasypus novemcinctus
-82.139441,27.779877,Dasypus novemcinctus
-98.12571,29.162552,Dasypus novemcinctus
-82.312057,28.098452,Dasypus novemcinctus
-98.343373,28.488598,Dasypus novemcinctus
-97.403738,30.653959,Dasypus novemcinctus
-96.792558,28.252955,Dasypus novemcinctus
-90.60192,32.81379,Dasypus novemcinctus
-100.11867,30.878,Dasypus novemcinctus
-81.46225,27.388352,Dasypus novemcinctus
-98.69977,29.809113,Dasypus novemcinctus
-89.29276,37.466087,Dasypus novemcinctus
-82.023133,34.146873,Dasypus novemcinctus
-94.11511,30.866774,Dasypus novemcinctus
-95.89704,31.914966,Dasypus novemcinctus
-95.960127,30.240326,Dasypus novemcinctus
-96.89417,29.914194,Dasypus novemcinctus
