Longitude,Latitude,species
-43.371769,-23.001216,Didelphis aurita
-46.728548,-22.941938,Didelphis aurita
-47.067225,-23.443094,Didelphis aurita
-42.881302,-20.788884,Didelphis aurita
-43.179451,-22.790243,Didelphis aurita
-44.856498,-23.152728,Didelphis aurita
-45.700964,-23.766997,Didelphis aurita
-48.412094,-24.280824,Didelphis aurita
-44.589038,-22.318426,Didelphis aurita
-44.763063,-23.216023,Didelphis aurita
-47.07127,-24.437593,Didelphis aurita
-40.071111,-19.862778,Didelphis aurita
-40.596944,-19.934444,Didelphis aurita
-42.914592,-22.485405,Didelphis aurita
-53.960773,-25.859412,Didelphis aurita
-39.982274,-19.528574,Didelphis aurita
-54.308853,-25.690419,Didelphis aurita
-45.066667,-23.55,Didelphis aurita
-54.07399,-25.57542,Didelphis aurita
-54.43199,-25.71745,Didelphis aurita
-39.760833,-18.741667,Didelphis aurita
-55.568600000000004,-26.7211,Didelphis aurita
-54.45267,-25.11495,Didelphis aurita
-38.6375,-12.672778,Didelphis aurita
-47.628056,-23.435278,Didelphis aurita
-54.461667,-25.627778,Didelphis aurita
-42.65,-19.716667,Didelphis aurita
-45.9,-23.65,Didelphis aurita
-48.916667,-25.75,Didelphis aurita
-48.083333,-24.216667,Didelphis aurita
-40.477778,-20.272778,Didelphis aurita
-58.33333,-27.25,Didelphis aurita
-56.934,-25.509,Didelphis aurita
-57.05,-26.01667,Didelphis aurita
-57.0888,-25.2933,Didelphis aurita
-56.41867,-27.3333,Didelphis aurita
-55.65,-24.45,Didelphis aurita
-56.52444,-24.9665,Didelphis aurita
-57.73494,-24.9468,Didelphis aurita
-56.1843,-22.6645,Didelphis aurita
-56.80331,-27.34943,Didelphis aurita
-56.45,-25.21359,Didelphis aurita
-57.65,-27.15893,Didelphis aurita
-55.92021,-27.3333,Didelphis aurita
-40.072222,-19.391111,Didelphis aurita
-39.732222,-18.593333,Didelphis aurita
-76.074,-9.705,Didelphis aurita
-59.8575,-36.7798,Didelphis aurita
