Longitude,Latitude,species
-109.49017,35.385082,Dipodomys spectabilis
-113.413486,32.073156,Dipodomys spectabilis
-102.962545,31.172572,Dipodomys spectabilis
-111.78139,31.540209,Dipodomys spectabilis
-111.325278,32.090278,Dipodomys spectabilis
-107.217124,33.749948,Dipodomys spectabilis
-102.975006,32.404957,Dipodomys spectabilis
-104.187874,30.617275,Dipodomys spectabilis
-107.28136,34.00094,Dipodomys spectabilis
-108.899033,31.948857,Dipodomys spectabilis
-106.076997,31.831874,Dipodomys spectabilis
-110.48655,31.98873,Dipodomys spectabilis
-102.83588,31.140512,Dipodomys spectabilis
-109.087497,31.913693,Dipodomys spectabilis
-109.0309,31.7343,Dipodomys spectabilis
-110.76667,32.6,Dipodomys spectabilis
-108.38151,32.732086,Dipodomys spectabilis
-110.74288,31.714475,Dipodomys spectabilis
-108.32458,36.511623,Dipodomys spectabilis
-106.939,33.991615,Dipodomys spectabilis
-107.163333,31.861389,Dipodomys spectabilis
-108.95722,31.870556,Dipodomys spectabilis
-106.882614,35.685074,Dipodomys spectabilis
-109.369225,31.772444,Dipodomys spectabilis
-112.75935,32.24381,Dipodomys spectabilis
-107.746635,32.184483,Dipodomys spectabilis
-106.858163,32.608598,Dipodomys spectabilis
-110.85793,31.869165,Dipodomys spectabilis
-109.576366,31.876021,Dipodomys spectabilis
-101.838,32.242,Dipodomys spectabilis
-108.700556,32.5075,Dipodomys spectabilis
-106.61399,34.704174,Dipodomys spectabilis
-107.974815,36.58907,Dipodomys spectabilis
-108.21869,36.467022,Dipodomys spectabilis
-108.369318,32.380986,Dipodomys spectabilis
-106.832184,32.35091,Dipodomys spectabilis
-106.75278,32.094666,Dipodomys spectabilis
-109.77739,31.41857,Dipodomys spectabilis
-109.2084,31.619,Dipodomys spectabilis
-109.92833,31.87056,Dipodomys spectabilis
-110.162322,31.831603,Dipodomys spectabilis
-111.155304,32.133324,Dipodomys spectabilis
-110.933454571143,32.5410563872867,Dipodomys spectabilis
-109.20402,31.891378,Dipodomys spectabilis
-111.33639,33.172378,Dipodomys spectabilis
-112.86,32.37167,Dipodomys spectabilis
-110.045453,31.522047,Dipodomys spectabilis
-110.229539,31.574142,Dipodomys spectabilis
-111.78139,31.734699,Dipodomys spectabilis
-110.763,32.2021,Dipodomys spectabilis
-110.74692,31.963061,Dipodomys spectabilis
-111.60559,31.5211,Dipodomys spectabilis
-110.6101,32.116,Dipodomys spectabilis
-109.5331,31.9705,Dipodomys spectabilis
-109.441,32.159,Dipodomys spectabilis
-110.8662,32.0832,Dipodomys spectabilis
-109.0948,31.8233,Dipodomys spectabilis
-111.33167,31.57472,Dipodomys spectabilis
-110.9689,32.4315,Dipodomys spectabilis
-109.13167,31.69028,Dipodomys spectabilis
-111.6322,31.6888,Dipodomys spectabilis
-111.2936,32.9508,Dipodomys spectabilis
-111.16637,32.846504,Dipodomys spectabilis
-112.87472,32.04167,Dipodomys spectabilis
-111.4786,31.6596,Dipodomys spectabilis
-101.96184,32.30983,Dipodomys spectabilis
-104.46984,33.361603,Dipodomys spectabilis
-104.102337,30.30778,Dipodomys spectabilis
-104.26162,30.005892,Dipodomys spectabilis
-106.94677,34.134136,Dipodomys spectabilis
-108.92082,31.521284,Dipodomys spectabilis
-108.862898503566,31.3339937161073,Dipodomys spectabilis
-106.585652121369,33.5130519427117,Dipodomys spectabilis
-108.113623,35.674102,Dipodomys spectabilis
-106.93056,33.19386,Dipodomys spectabilis
-106.93,34.29,Dipodomys spectabilis
-106.720344,34.336205,Dipodomys spectabilis
-103.44037,32.217106,Dipodomys spectabilis
-106.84366817499,34.3976258185236,Dipodomys spectabilis
-108.6031,32.629566,Dipodomys spectabilis
-108.86328,31.690237,Dipodomys spectabilis
-104.40031,34.655632,Dipodomys spectabilis
-109.75517,31.904566,Dipodomys spectabilis
-111.017961,31.412223,Dipodomys spectabilis
-110.793637,31.391433,Dipodomys spectabilis
-107.053583040945,35.6177971275685,Dipodomys spectabilis
-106.84127253712,35.3550026226446,Dipodomys spectabilis
-107.46668,33.874237,Dipodomys spectabilis
-107.472284988383,34.3976215028715,Dipodomys spectabilis
-107.90591,35.96508,Dipodomys spectabilis
-106.948174173184,34.8349150081869,Dipodomys spectabilis
-106.612175,34.80066,Dipodomys spectabilis
-108.73623,32.594986,Dipodomys spectabilis
-105.857735499418,34.5667835039618,Dipodomys spectabilis
-107.489967,33.002433,Dipodomys spectabilis
-103.9405,34.3245,Dipodomys spectabilis
-107.581313,33.705796,Dipodomys spectabilis
-108.236980416184,31.773120290172,Dipodomys spectabilis
-110.631454,31.77242,Dipodomys spectabilis
-106.80622,35.490833,Dipodomys spectabilis
-106.7395,35.2376,Dipodomys spectabilis
-108.27285,32.83531,Dipodomys spectabilis
-106.946263610274,33.44105509179,Dipodomys spectabilis
-106.090826090241,34.2533974797713,Dipodomys spectabilis
-107.214394487168,33.4666989917142,Dipodomys spectabilis
-106.92442,35.238014,Dipodomys spectabilis
-106.803479280889,34.8051045270673,Dipodomys spectabilis
-106.776201496026,34.6627973039601,Dipodomys spectabilis
-106.126464232892,35.4744484749437,Dipodomys spectabilis
-108.155716,36.255875,Dipodomys spectabilis
-108.946918204919,31.4276373257751,Dipodomys spectabilis
-107.245888295527,35.9068862293662,Dipodomys spectabilis
-107.08817,34.30993,Dipodomys spectabilis
-107.375474827226,33.6445462340124,Dipodomys spectabilis
-104.419850674607,32.1608453094295,Dipodomys spectabilis
-107.44899,33.711987,Dipodomys spectabilis
-104.547034393484,32.0886228747075,Dipodomys spectabilis
-106.613816,34.3048009991212,Dipodomys spectabilis
-103.74086,34.34617,Dipodomys spectabilis
-103.657104,34.001705,Dipodomys spectabilis
-103.70741,34.094128,Dipodomys spectabilis
-107.896866,32.123398,Dipodomys spectabilis
-108.633,31.38465,Dipodomys spectabilis
-108.25362,34.57641,Dipodomys spectabilis
-108.3287,33.930637,Dipodomys spectabilis
-107.001236,34.408073,Dipodomys spectabilis
-105.875534,32.250435,Dipodomys spectabilis
-104.6515,30.531595,Dipodomys spectabilis
-102.640205,32.31226,Dipodomys spectabilis
-102.823677,31.917202,Dipodomys spectabilis
-108.28286,31.415318,Dipodomys spectabilis
-107.45362,34.11649,Dipodomys spectabilis
-108.343,32.626,Dipodomys spectabilis
-103.37502,32.30512,Dipodomys spectabilis
-107.85468,32.378292,Dipodomys spectabilis
-108.78,31.59,Dipodomys spectabilis
-106.039,31.92,Dipodomys spectabilis
-105.855,32.349,Dipodomys spectabilis
-105.769,32.407,Dipodomys spectabilis
-108.43,31.47,Dipodomys spectabilis
-104.780802,40.703592,Dipodomys spectabilis
-107.9348,32.5625899991437,Dipodomys spectabilis
-108.793106,31.416868,Dipodomys spectabilis
-106.949474,33.714377,Dipodomys spectabilis
-110.875682,32.715912,Dipodomys spectabilis
-107.9347,34.78378,Dipodomys spectabilis
-103.87938,30.29284,Dipodomys spectabilis
-108.74573,31.899658,Dipodomys spectabilis
-104.544228,34.049286,Dipodomys spectabilis
-103.10511,31.51307,Dipodomys spectabilis
-108.11812,36.57457,Dipodomys spectabilis
-107.9708,36.045372,Dipodomys spectabilis
-109.9986,32.9467,Dipodomys spectabilis
-107.09229621317,33.9730407795894,Dipodomys spectabilis
-108.137912099117,36.1540745466399,Dipodomys spectabilis
-109.23239,37.11471,Dipodomys spectabilis
-107.650103,31.94558,Dipodomys spectabilis
-111.537236,31.760906,Dipodomys spectabilis
-109.671829,34.892952,Dipodomys spectabilis
-104.312135,30.455626,Dipodomys spectabilis
-104.002876,30.253833,Dipodomys spectabilis
-103.776228,28.90697,Dipodomys spectabilis
-107.425347,33.50377,Dipodomys spectabilis
-110.003959,32.323986,Dipodomys spectabilis
-105.023447,31.205281,Dipodomys spectabilis
-103.862881,32.941398,Dipodomys spectabilis
-106.3364,29.729021,Dipodomys spectabilis
-111.920833,30.1025,Dipodomys spectabilis
-110.079167,30.1025,Dipodomys spectabilis
-105.361985,26.899436,Dipodomys spectabilis
-104.664778,26.908444,Dipodomys spectabilis
-101.910795,22.685126,Dipodomys spectabilis
-106.12908,27.631852,Dipodomys spectabilis
-107.767222,30.258056,Dipodomys spectabilis
-105.928333,27.686667,Dipodomys spectabilis
-100.046667,22.666667,Dipodomys spectabilis
-108.494722,31.168611,Dipodomys spectabilis
-102.822222,24.019444,Dipodomys spectabilis
-108.538333,30.755,Dipodomys spectabilis
-108.45,30.826667,Dipodomys spectabilis
-108.293333,30.695,Dipodomys spectabilis
-104.816667,26.35,Dipodomys spectabilis
-108.403333,30.941667,Dipodomys spectabilis
-106.52972,32.62675,Dipodomys spectabilis
-107.529272580809,32.6846716340216,Dipodomys spectabilis
-108.645215,30.802346,Dipodomys spectabilis
-111.098074773189,30.1925450380955,Dipodomys spectabilis
-102.175,22.165556,Dipodomys spectabilis
-101.835,22.751667,Dipodomys spectabilis
-110.194144,31.18745,Dipodomys spectabilis
-104.256001261821,31.1496030154358,Dipodomys spectabilis
-107.485572,32.499298,Dipodomys spectabilis
-105.435328019799,26.9816337321301,Dipodomys spectabilis
-102.242726436473,23.3648583408337,Dipodomys spectabilis
-102.264553263444,23.2033441538323,Dipodomys spectabilis
-106.454544,26.95045,Dipodomys spectabilis
-104.554741,31.069134,Dipodomys spectabilis
-104.386108,31.257841,Dipodomys spectabilis
-109.127437,31.453839,Dipodomys spectabilis
-104.979713,35.3335,Dipodomys spectabilis
-104.472267,31.167902,Dipodomys spectabilis
-106.778663,33.581768,Dipodomys spectabilis
-104.551361,31.356529,Dipodomys spectabilis
-105.141945,32.382675,Dipodomys spectabilis
-105.608292,32.163807,Dipodomys spectabilis
-107.141174,33.590038,Dipodomys spectabilis
-107.262459,33.587875,Dipodomys spectabilis
-107.770752,33.103477,Dipodomys spectabilis
-103.197998,31.775,Dipodomys spectabilis
-106.720495405127,34.0430448337738,Dipodomys spectabilis
-106.813452812683,33.918597695647,Dipodomys spectabilis
-106.583177,32.197676,Dipodomys spectabilis
-107.6048,34.0331,Dipodomys spectabilis
-108.4148,34.2956,Dipodomys spectabilis
-107.154405454717,34.4568456414691,Dipodomys spectabilis
-102.244206883842,23.6917804830288,Dipodomys spectabilis
-103.756338132842,23.3247023930862,Dipodomys spectabilis
-104.82347,27.03037,Dipodomys spectabilis
-102.172172518753,24.2290052806022,Dipodomys spectabilis
-108.997116,32.036888,Dipodomys spectabilis
-106.103092078504,29.0918598294814,Dipodomys spectabilis
-108.982048,32.22979,Dipodomys spectabilis
-104.887001,31.844,Dipodomys spectabilis
-103.2538,32.06187,Dipodomys spectabilis
-106.758314,34.892364,Dipodomys spectabilis
-108.452461,31.887368,Dipodomys spectabilis
-106.741173,32.617313,Dipodomys spectabilis
-103.740997,30.966,Dipodomys spectabilis
-104.212997,30.989,Dipodomys spectabilis
-103.939003,30.943001,Dipodomys spectabilis
-103.721001,30.830999,Dipodomys spectabilis
-109.545345,31.47518,Dipodomys spectabilis
-106.468292,32.7934,Dipodomys spectabilis
-102.475197172259,23.1815483153953,Dipodomys spectabilis
-109.162307419015,31.9776831438912,Dipodomys spectabilis
-102.934531743557,23.3373159573253,Dipodomys spectabilis
-105.612665490151,26.8391963884066,Dipodomys spectabilis
-107.25718,33.27283,Dipodomys spectabilis
-104.987053,26.631216,Dipodomys spectabilis
-104.38415,34.226479,Dipodomys spectabilis
-103.149002,31.634001,Dipodomys spectabilis
-103.662357,30.434649,Dipodomys spectabilis
-107.23838,34.87467,Dipodomys spectabilis
-103.675,24.608611,Dipodomys spectabilis
-106.978427,32.072871,Dipodomys spectabilis
-104.885651,32.252571,Dipodomys spectabilis
-104.849991,32.135002,Dipodomys spectabilis
-104.870117,32.034348,Dipodomys spectabilis
-102.115997,32.304001,Dipodomys spectabilis
-104.270352050049,34.2860725956032,Dipodomys spectabilis
-102.533997,31.818001,Dipodomys spectabilis
-102.498001,31.709,Dipodomys spectabilis
-102.109001,32.112999,Dipodomys spectabilis
-102.290001,32.055,Dipodomys spectabilis
-106.83103,32.18178,Dipodomys spectabilis
-102.892998,32.037998,Dipodomys spectabilis
-105.9602,33.71477,Dipodomys spectabilis
-109,27.05,Dipodomys spectabilis
-111.269722,32.244167,Dipodomys spectabilis
-108.807278,31.798041,Dipodomys spectabilis
-103.781723,33.392391,Dipodomys spectabilis
-101.866997,34.043999,Dipodomys spectabilis
-111.544167,32.244444,Dipodomys spectabilis
-102.883263428712,22.3831844042915,Dipodomys spectabilis
-101.616220202713,23.99494706316,Dipodomys spectabilis
-102.06256908988,23.5839427036322,Dipodomys spectabilis
-102.575478420299,22.9176342917061,Dipodomys spectabilis
-102.691892556298,22.7721251572036,Dipodomys spectabilis
-108.68964,32.39746,Dipodomys spectabilis
-110.9725,31.813333,Dipodomys spectabilis
-107.573996,30.065326,Dipodomys spectabilis
-110.872787,31.779738,Dipodomys spectabilis
-106.04301,28.58996,Dipodomys spectabilis
-108.490556,32.546389,Dipodomys spectabilis
-109.240927,31.344546,Dipodomys spectabilis
-106.739771580641,32.4780697140678,Dipodomys spectabilis
-105.299354,27.017079,Dipodomys spectabilis
-107.758159,33.88944,Dipodomys spectabilis
-106.402007667507,29.4803819976828,Dipodomys spectabilis
-106.736238898129,29.8240547133268,Dipodomys spectabilis
-105.1338,27.04591,Dipodomys spectabilis
-105.17443,27.28407,Dipodomys spectabilis
-105.93175,28.30842,Dipodomys spectabilis
-105.79529,28.2584,Dipodomys spectabilis
-110.156513,32.281898,Dipodomys spectabilis
-110.002807,32.223847,Dipodomys spectabilis
-109.184855,32.311393,Dipodomys spectabilis
-104.1,29.2,Dipodomys spectabilis
-111.89485,31.93285,Dipodomys spectabilis
-102.802222904645,23.1759973468159,Dipodomys spectabilis
-103.793333,25.118333,Dipodomys spectabilis
-110.182328064698,31.438394377301,Dipodomys spectabilis
-111.106257040982,30.0634703548489,Dipodomys spectabilis
-106.664815435754,29.5462495013779,Dipodomys spectabilis
-104.41474,29.54823,Dipodomys spectabilis
-105.26642,27.9909,Dipodomys spectabilis
-107.983333,30.75,Dipodomys spectabilis
-107.939822,27.399493,Dipodomys spectabilis
-107.998028,27.297632,Dipodomys spectabilis
-108.085337,27.195772,Dipodomys spectabilis
-105.664306,27.004623,Dipodomys spectabilis
-106.973505839384,32.2602739922869,Dipodomys spectabilis
-104.373771396971,32.2975474684241,Dipodomys spectabilis
-111.318255753167,31.2456662379911,Dipodomys spectabilis
-102.968659574308,22.6490694834479,Dipodomys spectabilis
-105.519078783524,34.9586492682658,Dipodomys spectabilis
-102.351864718321,23.2921040421014,Dipodomys spectabilis
-101.798130246409,22.9831792852364,Dipodomys spectabilis
-101.998764038214,22.7500186285973,Dipodomys spectabilis
-111.055153917841,32.0853694471842,Dipodomys spectabilis
-107.977799830196,30.273563590656,Dipodomys spectabilis
-103.50456,31.11073,Dipodomys spectabilis
