Longitude,Latitude,species
39.666134,-4.060974,Eidolon helvum
-2.590027,5.312501,Eidolon helvum
36.742877,-3.200057,Eidolon helvum
37.312261,-3.260433,Eidolon helvum
37.220931,-3.292202,Eidolon helvum
39.212131,-4.617319,Eidolon helvum
-2.387518,7.326756,Eidolon helvum
39.967222,-3.316111,Eidolon helvum
40.064722,-3.255,Eidolon helvum
28.81408,-2.23903,Eidolon helvum
-2.324677,7.208197,Eidolon helvum
-2.235859,7.229319,Eidolon helvum
-2.21322,7.343897,Eidolon helvum
1.289722,10.383569,Eidolon helvum
1.399451,10.284137,Eidolon helvum
30.262655,-12.544518,Eidolon helvum
30.280689,-12.41695,Eidolon helvum
34.87043,0.34873,Eidolon helvum
9.404213,0.473558,Eidolon helvum
12.883601,10.315055,Eidolon helvum
0.633573,6.905901,Eidolon helvum
-1.869802,7.611348,Eidolon helvum
4.452652,8.422145,Eidolon helvum
30.42243,-1.94395,Eidolon helvum
30.494654,-1.845897,Eidolon helvum
20.92603,0.16764,Eidolon helvum
29.284615,-2.091202,Eidolon helvum
29.397374,-2.142181,Eidolon helvum
1.833611,7.903889,Eidolon helvum
1.9538,7.037,Eidolon helvum
2.3918,6.575,Eidolon helvum
1.6358,6.8192,Eidolon helvum
1.696667,7.523889,Eidolon helvum
-16.789786,13.305352,Eidolon helvum
-16.722242,13.375154,Eidolon helvum
32.515644,-25.825453,Eidolon helvum
-1.838419,12.221769,Eidolon helvum
0.8458,10.5098,Eidolon helvum
1.9763,9.5007,Eidolon helvum
1.3176,10.6433,Eidolon helvum
36.938407,-17.92266,Eidolon helvum
32.404349,-25.920131,Eidolon helvum
0.52277,7.151671,Eidolon helvum
30.355095,-12.519053,Eidolon helvum
-5.832724,14.260363,Eidolon helvum
9.603161,1.984288,Eidolon helvum
0.551328,7.017919,Eidolon helvum
10.227614,-0.70661,Eidolon helvum
30.174565,-1.998732,Eidolon helvum
-0.40956,6.2053,Eidolon helvum
29.322661,-1.664543,Eidolon helvum
33.483867,-3.649266,Eidolon helvum
1.4369,9.3405,Eidolon helvum
35.380185,-9.478198,Eidolon helvum
9.561756,0.437909,Eidolon helvum
9.411298,0.577051,Eidolon helvum
29.236691,-1.741157,Eidolon helvum
-1.781494,6.775039,Eidolon helvum
28.66367,-2.90322,Eidolon helvum
0.63538,7.191522,Eidolon helvum
-1.811097,7.776454,Eidolon helvum
34.756483,0.140793,Eidolon helvum
11.903145,-4.600018,Eidolon helvum
-1.590889,12.279706,Eidolon helvum
38.626255,-5.043597,Eidolon helvum
27.744,-10.475,Eidolon helvum
27.724669,-10.579533,Eidolon helvum
1.390843,6.135836,Eidolon helvum
1.389265,6.04563,Eidolon helvum
37.772844,-6.820914,Eidolon helvum
1.267699,10.202698,Eidolon helvum
38.777335,-5.014533,Eidolon helvum
38.617139,-5.196961,Eidolon helvum
34.6,-0.01,Eidolon helvum
34.41,-0.04,Eidolon helvum
-16.647097,13.546377,Eidolon helvum
10.045,2.397,Eidolon helvum
30.92296,3.162779,Eidolon helvum
34.68,0.07,Eidolon helvum
34.188806,1.125553,Eidolon helvum
2.25,7.6,Eidolon helvum
1.973898,7.207578,Eidolon helvum
2.55558,9.347058,Eidolon helvum
1.782248,6.81561,Eidolon helvum
1.644779,9.669391,Eidolon helvum
11.533333,4.166667,Eidolon helvum
9.82,1.85,Eidolon helvum
19.35,3.03,Eidolon helvum
7.1,13.48333,Eidolon helvum
32,15.5,Eidolon helvum
36.15,9.03,Eidolon helvum
25.857,-17.85,Eidolon helvum
38.18,6.45,Eidolon helvum
10.466667,3.383333,Eidolon helvum
-1.5,6.733333,Eidolon helvum
33.666667,-10.583333,Eidolon helvum
34.58,8.25,Eidolon helvum
-4.985527,6.526034,Eidolon helvum
-4.583333,6.266667,Eidolon helvum
-1.366667,5.083333,Eidolon helvum
29.1856,-2.6986,Eidolon helvum
9.433333,4.65,Eidolon helvum
-3.47,7.43,Eidolon helvum
-4.25,10.67,Eidolon helvum
-4.52,11.88,Eidolon helvum
-4.88,10.32,Eidolon helvum
-5.63333,9.38333,Eidolon helvum
9.216667,4.15,Eidolon helvum
9.933333,2.933333,Eidolon helvum
9.166667,4.016667,Eidolon helvum
9.233333,3.95,Eidolon helvum
10.63,9.77,Eidolon helvum
-1.8,8.07,Eidolon helvum
29.7389,-2.5972,Eidolon helvum
-0.47,10.52,Eidolon helvum
-0.87,7.72,Eidolon helvum
0.22,10.87,Eidolon helvum
0.93,7.48,Eidolon helvum
-1,5.87,Eidolon helvum
47.083333,-21.45,Eidolon helvum
46.15,-22.383333,Eidolon helvum
40.48,11.57,Eidolon helvum
0.42,6.08,Eidolon helvum
-1.35,5.25,Eidolon helvum
-0.73,6.55,Eidolon helvum
-8.5,7.65,Eidolon helvum
31.58333,1.75,Eidolon helvum
24.816667,-27.766667,Eidolon helvum
9.333333,4.25,Eidolon helvum
-0.85,6.133333,Eidolon helvum
-16.95393,14.60176,Eidolon helvum
9.666667,4.75,Eidolon helvum
32.483333,0.083333,Eidolon helvum
35.233333,1,Eidolon helvum
35.016998,1.016667,Eidolon helvum
36.683333,-8.68333,Eidolon helvum
31.75,9.533334,Eidolon helvum
20.5,1,Eidolon helvum
15.18333,-8.31667,Eidolon helvum
29.78314,-1.64526,Eidolon helvum
11.96667,2.98333,Eidolon helvum
-12.395,8.671667,Eidolon helvum
-6.67281,7.96014,Eidolon helvum
2.34003,7.19692,Eidolon helvum
33,12,Eidolon helvum
-5.01778,14.13806,Eidolon helvum
