Longitude,Latitude,species
-84.37381,42.603535,Elephas maximus
-114.83789,32.816372,Elephas maximus
98.6,18.8,Elephas maximus
98.772659,8.820366,Elephas maximus
93.294525,26.608788,Elephas maximus
80.9263,7.704604,Elephas maximus
81.204636,6.45396,Elephas maximus
81.5,6.4,Elephas maximus
81.3,6.5,Elephas maximus
118.3,5.4,Elephas maximus
80.90066,6.46139,Elephas maximus
81.5,6.6,Elephas maximus
81.4,6.4,Elephas maximus
80.8,8,Elephas maximus
80.149467,8.304509,Elephas maximus
106.9,12.27,Elephas maximus
76.24,11.36,Elephas maximus
98.608185,9.226318,Elephas maximus
76.60466,11.529343,Elephas maximus
105.21,14.23,Elephas maximus
105.19,14.13,Elephas maximus
98.52581,8.913903,Elephas maximus
92.853699,26.937222,Elephas maximus
117.689499,4.965772,Elephas maximus
118.38324,5.678296,Elephas maximus
105.28,14.01,Elephas maximus
118.215042,5.485974,Elephas maximus
101.372223,14.409078,Elephas maximus
101.569809,16.738304,Elephas maximus
76.436691,11.485408,Elephas maximus
76.49231,25.996315,Elephas maximus
80.382675,7.291128,Elephas maximus
98.677826,18.444113,Elephas maximus
103.349,11.612,Elephas maximus
84.33333,27.5,Elephas maximus
107.1,12.22,Elephas maximus
107,12.14,Elephas maximus
84.47963,27.468269,Elephas maximus
78.828278,29.528658,Elephas maximus
118.083328,5.53333,Elephas maximus
