Longitude,Latitude,species
-80.49905,25.610495,Erythrocebus patas
-16.691763,15.4613,Erythrocebus patas
19.892986,10.914283,Erythrocebus patas
-16.353739,16.052542,Erythrocebus patas
-16.19469,16.402547,Erythrocebus patas
32.476448,0.052827,Erythrocebus patas
-3.810001,8.767315,Erythrocebus patas
2.309066,11.710278,Erythrocebus patas
2.6144,9.337412,Erythrocebus patas
21.724766,17.076369,Erythrocebus patas
-1.826859,9.2444210000000009,Erythrocebus patas
21.478479,17.223259,Erythrocebus patas
9.23378,6.714278,Erythrocebus patas
-13.868737,13.307694,Erythrocebus patas
-13.175354,12.964413,Erythrocebus patas
21.775761,16.879437,Erythrocebus patas
-13.582535,13.600609,Erythrocebus patas
2.571474,12.48932,Erythrocebus patas
2.737153,12.488395,Erythrocebus patas
1.00393,11.62944,Erythrocebus patas
1.37473,11.52979,Erythrocebus patas
2.21139,11.99247,Erythrocebus patas
1.5546,11.52588,Erythrocebus patas
2.500019,11.808681,Erythrocebus patas
2.3934,11.8223,Erythrocebus patas
2.89198,11.483761,Erythrocebus patas
2.66925,12.14833,Erythrocebus patas
-16.986197,14.57135,Erythrocebus patas
29.519398,3.751588,Erythrocebus patas
-12.525861,12.9917,Erythrocebus patas
-13.001802,13.164497,Erythrocebus patas
33.728287,3.735135,Erythrocebus patas
6.819022,15.145841,Erythrocebus patas
19.65521,10.836955,Erythrocebus patas
2.388611,11.923806,Erythrocebus patas
2.457167,11.999972,Erythrocebus patas
1.67802,11.18857,Erythrocebus patas
1.483,11.4491,Erythrocebus patas
2.375139,12.212083,Erythrocebus patas
2.312389,12.143583,Erythrocebus patas
1.465472,11.577333,Erythrocebus patas
31.853,2.175,Erythrocebus patas
-14.151972,10.905556,Erythrocebus patas
31.593738,2.331028,Erythrocebus patas
31.4153,2.26564,Erythrocebus patas
2.292225,12.271935,Erythrocebus patas
1.6766,11.4012,Erythrocebus patas
1.529752,11.253906,Erythrocebus patas
22.595787,17.915265,Erythrocebus patas
21.352959,17.155013,Erythrocebus patas
1.49478,11.07526,Erythrocebus patas
2.494717,12.429043,Erythrocebus patas
31.581259,1.745745,Erythrocebus patas
-12.648689,13.036107,Erythrocebus patas
-14.05386,11.07758,Erythrocebus patas
2.996771,9.891188,Erythrocebus patas
3.078749,9.686823,Erythrocebus patas
3.194432,9.830281,Erythrocebus patas
3.098581,9.855915,Erythrocebus patas
2.14579,11.6149,Erythrocebus patas
2.82578,12.06751,Erythrocebus patas
1.750584,11.099723,Erythrocebus patas
2.619267,9.440381,Erythrocebus patas
2.875407,9.752103,Erythrocebus patas
3.316801,9.854627,Erythrocebus patas
2.698636,9.614965,Erythrocebus patas
2.920666,9.830706,Erythrocebus patas
2.958129,9.658999,Erythrocebus patas
2.995929,9.776228,Erythrocebus patas
3.035397,9.580927,Erythrocebus patas
2.61724,11.83773,Erythrocebus patas
1.55068,10.98082,Erythrocebus patas
3.046506,9.482421,Erythrocebus patas
1.882165,11.29804,Erythrocebus patas
1.07298,10.9712,Erythrocebus patas
1.23112,11.1077,Erythrocebus patas
1.22841,10.94605,Erythrocebus patas
1.573189,11.338666,Erythrocebus patas
1.124922,11.067162,Erythrocebus patas
1.37601,11.31682,Erythrocebus patas
1.823044,11.17255,Erythrocebus patas
2.78635,12.34087,Erythrocebus patas
2.383257,12.443288,Erythrocebus patas
2.630173,12.39984,Erythrocebus patas
1.32991,10.897,Erythrocebus patas
2.60038,12.00109,Erythrocebus patas
2.70713,12.0609,Erythrocebus patas
2.30414,11.39376,Erythrocebus patas
2.10048,11.27226,Erythrocebus patas
1.955067,11.181933,Erythrocebus patas
2.80047,11.87273,Erythrocebus patas
2.87806,11.60854,Erythrocebus patas
2.2281,11.4543,Erythrocebus patas
2.3124,11.51905,Erythrocebus patas
2.13595,11.48201,Erythrocebus patas
2.51085,11.70748,Erythrocebus patas
2.296867,11.608,Erythrocebus patas
1.402028,10.954309,Erythrocebus patas
3.02762,9.348818,Erythrocebus patas
1.3576,11.1908,Erythrocebus patas
1.29779,11.2693,Erythrocebus patas
3.0449,11.4413,Erythrocebus patas
2.662,11.66756,Erythrocebus patas
2.60258,11.73832,Erythrocebus patas
2.922904,11.829366,Erythrocebus patas
1.930303,11.397421,Erythrocebus patas
1.4507,11.195,Erythrocebus patas
-11.07002,16.476298,Erythrocebus patas
-14.667005,13.438168,Erythrocebus patas
-16.78548,13.31889,Erythrocebus patas
1.8015,11.4256,Erythrocebus patas
1.5849,11.428,Erythrocebus patas
1.571639,11.171108,Erythrocebus patas
1.3112,11.4059,Erythrocebus patas
2.032473,11.370403,Erythrocebus patas
31.770405,2.416888,Erythrocebus patas
3.1121,11.5345,Erythrocebus patas
3.0291,11.9566,Erythrocebus patas
2.5035,11.9224,Erythrocebus patas
-16.409228,16.282053,Erythrocebus patas
-15.32422,16.784772,Erythrocebus patas
-12.351375,14.83254,Erythrocebus patas
-13.255645,15.888167,Erythrocebus patas
3.1485,11.6222,Erythrocebus patas
