Longitude,Latitude,species
-98.4766,34.66263,Giraffa camelopardalis
-79.7647,35.6297,Giraffa camelopardalis
-71.02017,42.33196,Giraffa camelopardalis
-73.988211,42.222398,Giraffa camelopardalis
-122.69597,38.55625,Giraffa camelopardalis
38.1258,-0.1869,Giraffa camelopardalis
32.369728,-28.298044,Giraffa camelopardalis
31.903107,-28.308886,Giraffa camelopardalis
32.161381,-27.715506,Giraffa camelopardalis
20.267696,-28.579733,Giraffa camelopardalis
26.7628,-18.766426,Giraffa camelopardalis
25.700583,-33.47998,Giraffa camelopardalis
-16.461906,13.705783,Giraffa camelopardalis
30.3,-29.5,Giraffa camelopardalis
37.9554,-0.2295,Giraffa camelopardalis
-16.954548,14.609242,Giraffa camelopardalis
15.029297,-23.286764,Giraffa camelopardalis
17.331963,-20.422991,Giraffa camelopardalis
16.459087,-21.026365,Giraffa camelopardalis
31.770327,-13.088038,Giraffa camelopardalis
32.048561,-12.780272,Giraffa camelopardalis
32.135654,-12.602887,Giraffa camelopardalis
35.023487,-2.486436,Giraffa camelopardalis
40.1386,-1.9349,Giraffa camelopardalis
38.19,-0.0881,Giraffa camelopardalis
17.243921,-20.507545,Giraffa camelopardalis
17.134262,-18.754396,Giraffa camelopardalis
17.5807,-22.204889,Giraffa camelopardalis
25.145988,-17.823223,Giraffa camelopardalis
13.936828,-19.886126,Giraffa camelopardalis
17.706997,-19.26799,Giraffa camelopardalis
15.466776,-20.210173,Giraffa camelopardalis
22.462234,-17.982162,Giraffa camelopardalis
23.367577,-20.068186,Giraffa camelopardalis
23.762268,-19.162884,Giraffa camelopardalis
15.517279,-18.983992,Giraffa camelopardalis
16.471746,-19.031652,Giraffa camelopardalis
14.369431,-19.331554,Giraffa camelopardalis
15.904947,-24.116777,Giraffa camelopardalis
35.021988,-1.130204,Giraffa camelopardalis
39.405899,-4.252948,Giraffa camelopardalis
38.234138,-3.54242,Giraffa camelopardalis
35.202942,-1.573594,Giraffa camelopardalis
35.511932,-3.243867,Giraffa camelopardalis
35.473816,-2.937597,Giraffa camelopardalis
36.074047,-3.840019,Giraffa camelopardalis
36.044769,-4.077973,Giraffa camelopardalis
31.030884,-24.483711,Giraffa camelopardalis
31.119375,-24.375362,Giraffa camelopardalis
31.514282,-24.417767,Giraffa camelopardalis
37.281076,-2.659301,Giraffa camelopardalis
37.227294,-2.559339,Giraffa camelopardalis
38.596889,-3.372559,Giraffa camelopardalis
38.831177,-2.977327,Giraffa camelopardalis
36.116524,-4.184127,Giraffa camelopardalis
36.727295,-3.23924,Giraffa camelopardalis
30.537872,-24.155525,Giraffa camelopardalis
31.245804,-24.517139,Giraffa camelopardalis
37.135334,-7.345612,Giraffa camelopardalis
34.874725,-7.708951,Giraffa camelopardalis
31.770405,2.416888,Giraffa camelopardalis
35.183458,-2.000483,Giraffa camelopardalis
35.949435,-3.781097,Giraffa camelopardalis
35.719299,-3.631295,Giraffa camelopardalis
35.184675,-1.420242,Giraffa camelopardalis
38.116464,-7.693893,Giraffa camelopardalis
37.375058,-2.717269,Giraffa camelopardalis
36.348267,-0.753915,Giraffa camelopardalis
36.278229,-0.811588,Giraffa camelopardalis
35.027161,-1.227628,Giraffa camelopardalis
34.274338,-0.644232,Giraffa camelopardalis
31.617205,-25.162979,Giraffa camelopardalis
16.50308,-21.755325,Giraffa camelopardalis
14.473543,-19.007269,Giraffa camelopardalis
17.032928,-20.653988,Giraffa camelopardalis
15.174383,-20.303076,Giraffa camelopardalis
15.352181,-19.800737,Giraffa camelopardalis
14.74244,-19.503279,Giraffa camelopardalis
15.866809,-18.994118,Giraffa camelopardalis
16.710653,-18.886267,Giraffa camelopardalis
17.065331,-22.302557,Giraffa camelopardalis
37.28079,0.25257,Giraffa camelopardalis
38.09521,1.927728,Giraffa camelopardalis
36.622125,0.379063,Giraffa camelopardalis
38.829152,2.254236,Giraffa camelopardalis
38.802406,2.544219,Giraffa camelopardalis
38.678269,2.777419,Giraffa camelopardalis
38.828563,2.723177,Giraffa camelopardalis
38.784608,2.334026,Giraffa camelopardalis
37.51496,0.2402,Giraffa camelopardalis
38.119605,0.463068,Giraffa camelopardalis
