Longitude,Latitude,species
-144.62,62.03,Gulo gulo
-143.98,62.31,Gulo gulo
-142.99,61.54,Gulo gulo
-141.78,61.74,Gulo gulo
-141.28,62.22,Gulo gulo
-140.63,60.15,Gulo gulo
-136.87,58.87,Gulo gulo
-156.64,58.67,Gulo gulo
-150.32,59.63,Gulo gulo
-150.21,59.74,Gulo gulo
-149.69,60.27,Gulo gulo
-150.13,59.61,Gulo gulo
-149.97,59.72,Gulo gulo
-149.72,59.9,Gulo gulo
-121.79152,49.99011,Gulo gulo
-122.04355,40.76052,Gulo gulo
-108.3,67.35,Gulo gulo
-111.933333,67.716667,Gulo gulo
-112.566666,67.7,Gulo gulo
-120.840383,48.383098,Gulo gulo
-107.616667,68.2,Gulo gulo
-120.27644,39.373475,Gulo gulo
-118.78106,36.228832,Gulo gulo
-120.221634,39.14665,Gulo gulo
-123.1144,40.647724,Gulo gulo
-112.89127,47.442467,Gulo gulo
-150.79011782053,59.7474802535167,Gulo gulo
-151.004012392615,59.7908104127882,Gulo gulo
-149.76265,60.396954,Gulo gulo
-150.04126,60.36778,Gulo gulo
-150.865556,60.491944,Gulo gulo
-150.86015,60.152206,Gulo gulo
-157.15,66.87,Gulo gulo
-162.966667,67.566667,Gulo gulo
-162.7,66.07,Gulo gulo
-148.083333,62.266667,Gulo gulo
-147.5022,62.60453,Gulo gulo
-144.856740886451,61.2165464459024,Gulo gulo
-145.55727,61.38564,Gulo gulo
-165.219444,65.156944,Gulo gulo
-147.4,63.816944,Gulo gulo
-147.53667,64.138306,Gulo gulo
-151.069444,62.570833,Gulo gulo
-145.783333,63.783333,Gulo gulo
-152.03334,67.36667,Gulo gulo
-145.84,61.14,Gulo gulo
-146.66667,62.13333,Gulo gulo
-145.51666,61.2,Gulo gulo
-110.577393,42.722803999999996,Gulo gulo
-113.73414,48.794098,Gulo gulo
-135.926519,60.7732,Gulo gulo
-112.95,62.63333,Gulo gulo
-112.58333,62.63333,Gulo gulo
-94.1,51.016666,Gulo gulo
-116.183334,51.433334,Gulo gulo
-88.966667,55.083333,Gulo gulo
-87.63333,55.983334,Gulo gulo
-120.398254,39.52967,Gulo gulo
-93.5,53.666668,Gulo gulo
-117.40393,36.561977,Gulo gulo
-107.050865,37.202396,Gulo gulo
-106.176445,37.213406,Gulo gulo
-111.57045,39.38059,Gulo gulo
-158.45963,59.039005,Gulo gulo
-120.6678,48.7213,Gulo gulo
-120.5692,48.4573,Gulo gulo
-120.5298,42.4395,Gulo gulo
-120.869,49.1138,Gulo gulo
-151.75,68.13,Gulo gulo
-162.667,55.167,Gulo gulo
-116.533333,64.85,Gulo gulo
-134.58333,68.333336,Gulo gulo
-132,67.45,Gulo gulo
-129.5,66.5,Gulo gulo
-128.416667,66.316667,Gulo gulo
-114.583336,64.2,Gulo gulo
-116.53333,64.75,Gulo gulo
-132.366667,63.266667,Gulo gulo
-104.666664,62.75,Gulo gulo
-139.433333,63.316667,Gulo gulo
-131.66667,67.5,Gulo gulo
-132.466667,67.216667,Gulo gulo
-136.333333,67.716667,Gulo gulo
-112.466667,63.383333,Gulo gulo
-136.36667,68.51667,Gulo gulo
-115.566667,64.45,Gulo gulo
-135.25,68.416664,Gulo gulo
-134.85,67.866667,Gulo gulo
-112.166664,63.433334,Gulo gulo
-137,68.883333,Gulo gulo
-136.5,68.28333,Gulo gulo
-114.28333,63.183334,Gulo gulo
-135.58333,67.76667,Gulo gulo
-136.23334,68.61667,Gulo gulo
-138.4,61.033333,Gulo gulo
-135.46666,68.333336,Gulo gulo
-134.41667,67.933334,Gulo gulo
-111.966667,63.166667,Gulo gulo
-142,66,Gulo gulo
-139.83,67.66,Gulo gulo
-143.24202,61.349575,Gulo gulo
-147.91,64.21,Gulo gulo
-142.91,61.43,Gulo gulo
-145.785,62.4274,Gulo gulo
-145.6011,62.489,Gulo gulo
-144.533333,63,Gulo gulo
-143.95,62.7,Gulo gulo
-158.78334,60.36667,Gulo gulo
-142.533333,63.333333,Gulo gulo
-145.533333,63.133333,Gulo gulo
-148.35575370206,64.9520722422135,Gulo gulo
-114.2,62.6,Gulo gulo
-117.667,61.9,Gulo gulo
-114.283,60.4,Gulo gulo
-123.35,60.317,Gulo gulo
-111.45,60.4,Gulo gulo
-118.017,61.5,Gulo gulo
-122.95,60.017,Gulo gulo
-128.717,67,Gulo gulo
