Longitude,Latitude,species
31.420898,-24.046465,Kobus ellipsiprymnus
28.309387,-25.884363,Kobus ellipsiprymnus
29.623521,-29.141197,Kobus ellipsiprymnus
32.3673,-28.3338,Kobus ellipsiprymnus
17.219142,-22.808311,Kobus ellipsiprymnus
31.180731,-26.478433,Kobus ellipsiprymnus
27.933497,-25.74175,Kobus ellipsiprymnus
38.1639,-0.1173,Kobus ellipsiprymnus
24.871484,-17.842511,Kobus ellipsiprymnus
23.410263,-19.182451,Kobus ellipsiprymnus
17.521159,-20.340008,Kobus ellipsiprymnus
27.15,-25.716667,Kobus ellipsiprymnus
32.232848,-20.45099,Kobus ellipsiprymnus
-97.838116,26.759963,Kobus ellipsiprymnus
30.356325,0.909791,Kobus ellipsiprymnus
31.423148,-23.100356,Kobus ellipsiprymnus
31.653312,-25.140875,Kobus ellipsiprymnus
34.155682,-12.8318,Kobus ellipsiprymnus
27.05019,-19.044974,Kobus ellipsiprymnus
29.456993,-15.937159,Kobus ellipsiprymnus
38.5858,-0.1723,Kobus ellipsiprymnus
31.450718,-25.426902,Kobus ellipsiprymnus
23.909966,-18.294623,Kobus ellipsiprymnus
32.020791,-27.767877,Kobus ellipsiprymnus
31.82083,-24.39765,Kobus ellipsiprymnus
31.582225,-23.812063,Kobus ellipsiprymnus
23.321384,-18.04299,Kobus ellipsiprymnus
29.982828,-15.641528,Kobus ellipsiprymnus
24.5,-18.666667,Kobus ellipsiprymnus
23.663756,-19.189471,Kobus ellipsiprymnus
37.479869,0.58198,Kobus ellipsiprymnus
35.866241,-3.950571,Kobus ellipsiprymnus
23.267484,-19.168194,Kobus ellipsiprymnus
26.7628,-18.766426,Kobus ellipsiprymnus
29.491785,-15.709395,Kobus ellipsiprymnus
35.24417,-14.992525,Kobus ellipsiprymnus
38.596626,-3.372223,Kobus ellipsiprymnus
23.244391,-19.080655,Kobus ellipsiprymnus
37.706583,0.651524,Kobus ellipsiprymnus
30.99797,-24.218089,Kobus ellipsiprymnus
38.416667,-2.183333,Kobus ellipsiprymnus
38.15695,-3.63575,Kobus ellipsiprymnus
-16.461906,13.705783,Kobus ellipsiprymnus
29.295173,-25.456367,Kobus ellipsiprymnus
28.473168,-28.235678,Kobus ellipsiprymnus
37.265632,-2.704963,Kobus ellipsiprymnus
31.560623,-25.061168,Kobus ellipsiprymnus
31.715436,-24.39098,Kobus ellipsiprymnus
31.723435,-25.387621,Kobus ellipsiprymnus
28.160236,-24.342733,Kobus ellipsiprymnus
24.429215,-18.730564,Kobus ellipsiprymnus
31.730661,-24.053302,Kobus ellipsiprymnus
31.770843,-24.993329,Kobus ellipsiprymnus
31.926179,-24.369121,Kobus ellipsiprymnus
32.306084,-20.243761,Kobus ellipsiprymnus
30.887203,-24.202819,Kobus ellipsiprymnus
31.22224,-22.438626,Kobus ellipsiprymnus
32.038879,-25.014209,Kobus ellipsiprymnus
30.002975,-0.150204,Kobus ellipsiprymnus
30.442844,-24.744424,Kobus ellipsiprymnus
31.029904,-24.432868,Kobus ellipsiprymnus
37.9554,-0.2295,Kobus ellipsiprymnus
31.963005,-25.084666,Kobus ellipsiprymnus
31.704244,-23.926122,Kobus ellipsiprymnus
29.938431,-26.814726,Kobus ellipsiprymnus
31.795414,-24.620203,Kobus ellipsiprymnus
31.87372,-24.759312,Kobus ellipsiprymnus
35.665226,-3.973267,Kobus ellipsiprymnus
36.998508,-3.00791,Kobus ellipsiprymnus
27.869053,-17.685916,Kobus ellipsiprymnus
17.490131,-22.931938,Kobus ellipsiprymnus
16.956791,-20.272581,Kobus ellipsiprymnus
16.459087,-21.026365,Kobus ellipsiprymnus
29.525017,3.768188,Kobus ellipsiprymnus
26.243551,-14.686348,Kobus ellipsiprymnus
31.725741,-13.100973,Kobus ellipsiprymnus
21.929924,-34.059588,Kobus ellipsiprymnus
31.975575,-24.473502,Kobus ellipsiprymnus
31.720711,-24.156786,Kobus ellipsiprymnus
36.903395,0.025292,Kobus ellipsiprymnus
36.085507,-0.309989,Kobus ellipsiprymnus
34.43364,-13.698341,Kobus ellipsiprymnus
35.296755,-14.863512,Kobus ellipsiprymnus
25.838107,-17.909424,Kobus ellipsiprymnus
31.538894,-23.194309,Kobus ellipsiprymnus
31.910038,-21.269718,Kobus ellipsiprymnus
35.966228,-3.767639,Kobus ellipsiprymnus
23.827286,-19.116625,Kobus ellipsiprymnus
32.722112,-18.291355,Kobus ellipsiprymnus
29.4646,-23.942113,Kobus ellipsiprymnus
36.852951,-3.264262,Kobus ellipsiprymnus
38.0231,-0.0588,Kobus ellipsiprymnus
25.735581,-17.844243,Kobus ellipsiprymnus
36.75,-3.25,Kobus ellipsiprymnus
30.493397,-24.129396,Kobus ellipsiprymnus
30.716702,-1.905905,Kobus ellipsiprymnus
28.356646,-25.635162,Kobus ellipsiprymnus
29.203514,-22.188532,Kobus ellipsiprymnus
38.196028,0.22446,Kobus ellipsiprymnus
36.898956,-1.386957,Kobus ellipsiprymnus
19.68774,-25.51986,Kobus ellipsiprymnus
31.09224,-24.075578,Kobus ellipsiprymnus
30.980427,-24.125707,Kobus ellipsiprymnus
31.792097,-24.298315,Kobus ellipsiprymnus
23.910671,-19.210999,Kobus ellipsiprymnus
38.197228,-7.717867,Kobus ellipsiprymnus
30.764844,-17.921301,Kobus ellipsiprymnus
26.79336,-24.54461,Kobus ellipsiprymnus
25.832806,-18.006488,Kobus ellipsiprymnus
31.21532,-17.91287,Kobus ellipsiprymnus
23.851318,-19.316328,Kobus ellipsiprymnus
17.5807,-22.204889,Kobus ellipsiprymnus
31.863098,-28.29299,Kobus ellipsiprymnus
38.826056,-3.35833,Kobus ellipsiprymnus
25.046082,-17.832375,Kobus ellipsiprymnus
34.747009,-2.619326,Kobus ellipsiprymnus
38.831177,-2.977327,Kobus ellipsiprymnus
28.351593,-25.343716,Kobus ellipsiprymnus
26.280451,-18.731327,Kobus ellipsiprymnus
26.019907,-18.627201,Kobus ellipsiprymnus
31.630325,-24.972365,Kobus ellipsiprymnus
28.084123,-24.833704,Kobus ellipsiprymnus
34.874725,-7.708951,Kobus ellipsiprymnus
35.748138,-3.565506,Kobus ellipsiprymnus
36.155722,-3.908572,Kobus ellipsiprymnus
32.333813,-21.304681,Kobus ellipsiprymnus
1.4746,11.41207,Kobus ellipsiprymnus
1.37085,11.3775,Kobus ellipsiprymnus
1.5086,11.2029,Kobus ellipsiprymnus
17.334044,-22.790901,Kobus ellipsiprymnus
1.56595,11.46397,Kobus ellipsiprymnus
1.3969,11.25712,Kobus ellipsiprymnus
25.472669,-31.379346,Kobus ellipsiprymnus
26.034601,-33.484198,Kobus ellipsiprymnus
38.234138,-3.54242,Kobus ellipsiprymnus
37.987289,-3.225529,Kobus ellipsiprymnus
39.425485,-4.192497,Kobus ellipsiprymnus
24.765226,-17.89144,Kobus ellipsiprymnus
1.719931,11.087826,Kobus ellipsiprymnus
19.435736,-33.588609,Kobus ellipsiprymnus
35.202942,-1.573594,Kobus ellipsiprymnus
31.845529,-25.377963,Kobus ellipsiprymnus
27.05519,-25.34893,Kobus ellipsiprymnus
31.25782,-23.19537,Kobus ellipsiprymnus
25.883102,-14.982121,Kobus ellipsiprymnus
35.799637,-3.455849,Kobus ellipsiprymnus
31.514282,-24.417767,Kobus ellipsiprymnus
1.683914,11.323784,Kobus ellipsiprymnus
30.9893,-27.3356,Kobus ellipsiprymnus
26.691639,-26.727202,Kobus ellipsiprymnus
2.40639,11.93346,Kobus ellipsiprymnus
35.874108,-4.068316,Kobus ellipsiprymnus
36.015609,-3.59237,Kobus ellipsiprymnus
31.59928,-23.907086,Kobus ellipsiprymnus
2.990888,9.89274,Kobus ellipsiprymnus
3.126198,9.786258,Kobus ellipsiprymnus
31.564169,-25.216609,Kobus ellipsiprymnus
37.199364,-2.639218,Kobus ellipsiprymnus
2.38464,11.79424,Kobus ellipsiprymnus
3.085921,9.891967,Kobus ellipsiprymnus
3.294646,9.849074,Kobus ellipsiprymnus
3.053699,9.65833,Kobus ellipsiprymnus
24.071732,-18.573036,Kobus ellipsiprymnus
2.893169,9.805764,Kobus ellipsiprymnus
1.88688,11.23008,Kobus ellipsiprymnus
1.79937,11.13921,Kobus ellipsiprymnus
1.92704,11.32955,Kobus ellipsiprymnus
1.28729,10.91199,Kobus ellipsiprymnus
34.741776,-15.903886,Kobus ellipsiprymnus
2.557688,12.387621,Kobus ellipsiprymnus
2.455203,12.30168,Kobus ellipsiprymnus
2.312692,12.130482,Kobus ellipsiprymnus
31.287845,-24.52131,Kobus ellipsiprymnus
31.480761,-24.928002,Kobus ellipsiprymnus
30.977238,-24.348726,Kobus ellipsiprymnus
3.081279,9.405651,Kobus ellipsiprymnus
16.235037,-24.634148,Kobus ellipsiprymnus
18.031225,-24.298918,Kobus ellipsiprymnus
2.88868,11.68326,Kobus ellipsiprymnus
2.78702,11.81955,Kobus ellipsiprymnus
15.871596,-19.333265,Kobus ellipsiprymnus
27.5802,-23.2788,Kobus ellipsiprymnus
21.428889,-21.856839,Kobus ellipsiprymnus
31.738609,-24.896557,Kobus ellipsiprymnus
15.713506,-19.217072,Kobus ellipsiprymnus
21.9541,-33.4175,Kobus ellipsiprymnus
1.30516,11.1216,Kobus ellipsiprymnus
3.02827,11.55524,Kobus ellipsiprymnus
31.496698,-23.93392,Kobus ellipsiprymnus
1.28001,11.27857,Kobus ellipsiprymnus
1.67228,11.42807,Kobus ellipsiprymnus
2.25829,11.46393,Kobus ellipsiprymnus
3.190175,9.85674,Kobus ellipsiprymnus
27.1811,-25.2873,Kobus ellipsiprymnus
1.7789,11.4201,Kobus ellipsiprymnus
2.9095,12.1012,Kobus ellipsiprymnus
35.956879,-3.946461,Kobus ellipsiprymnus
31.3258,-23.5015,Kobus ellipsiprymnus
38.089708,-7.636147,Kobus ellipsiprymnus
32.085786,-21.415638,Kobus ellipsiprymnus
31.770405,2.416888,Kobus ellipsiprymnus
35.511932,-3.243867,Kobus ellipsiprymnus
30.979566,-0.626432,Kobus ellipsiprymnus
32.458923,-28.256237,Kobus ellipsiprymnus
31.526299,-24.647953,Kobus ellipsiprymnus
31.925119,-12.955866,Kobus ellipsiprymnus
36.087337,-4.011552,Kobus ellipsiprymnus
38.235855,0.082397,Kobus ellipsiprymnus
27.9746,-24.7481,Kobus ellipsiprymnus
3.0024,11.7022,Kobus ellipsiprymnus
2.3005,11.654,Kobus ellipsiprymnus
2.6798,11.5668,Kobus ellipsiprymnus
2.5577,11.9052,Kobus ellipsiprymnus
2.0898,11.223,Kobus ellipsiprymnus
2.9264,11.5443,Kobus ellipsiprymnus
2.4434,11.6698,Kobus ellipsiprymnus
25.45,-32.25,Kobus ellipsiprymnus
