Longitude,Latitude,species
-145.39,60.41,Lontra canadensis
-156.93,64.73,Lontra canadensis
-156.64,58.67,Lontra canadensis
-150.32,59.63,Lontra canadensis
-150.03,59.83,Lontra canadensis
-149.8,59.81,Lontra canadensis
-149.67,59.95,Lontra canadensis
-149.64,59.86,Lontra canadensis
-149.61,60.16,Lontra canadensis
-163.48,67.36,Lontra canadensis
-153.57,58.66,Lontra canadensis
-150.25,59.52,Lontra canadensis
-150.02,59.62,Lontra canadensis
-149.92,59.72,Lontra canadensis
-145.24,60.35,Lontra canadensis
-140.31,59.69,Lontra canadensis
-82.010686,34.146494,Lontra canadensis
-93.216161,45.42206,Lontra canadensis
-81.415987,25.923197,Lontra canadensis
-129.904404,54.613386,Lontra canadensis
-124.202286,41.745543,Lontra canadensis
-122.60375,37.95721,Lontra canadensis
-94.666098,29.507945,Lontra canadensis
-122.779148,38.612727,Lontra canadensis
-89.39831,36.054195,Lontra canadensis
-88.18,36.28333,Lontra canadensis
-89.28254,35.58669,Lontra canadensis
-122.28806,38.178875,Lontra canadensis
-72.69678,42.90299,Lontra canadensis
-110.547551,43.744306,Lontra canadensis
-126.653512,54.550342,Lontra canadensis
-78.019455,39.024204,Lontra canadensis
-83.464686,35.986207,Lontra canadensis
-123.140586,49.313291,Lontra canadensis
-84.615254,45.851224,Lontra canadensis
-110.69891,44.048275,Lontra canadensis
-72.85127,44.988872,Lontra canadensis
-94.970557,34.130764,Lontra canadensis
-93.22404,30.391838,Lontra canadensis
-122.51249,38.027435,Lontra canadensis
-89.001205,37.313248,Lontra canadensis
-110.539925,44.967983,Lontra canadensis
-84.138597,30.140711,Lontra canadensis
-78.758408,39.589188,Lontra canadensis
-124.06588,40.023586,Lontra canadensis
-78.665338,36.705144,Lontra canadensis
-119.3076,47.11005,Lontra canadensis
-122.131748,48.201978,Lontra canadensis
-97.55317,30.320898,Lontra canadensis
-122.2825,45.491167,Lontra canadensis
-94.196014,30.232523,Lontra canadensis
-94.09382,30.253344,Lontra canadensis
-95.948,30.248186,Lontra canadensis
-78.103844,36.855358,Lontra canadensis
-123.589667,48.029,Lontra canadensis
-122.397167,47.753833,Lontra canadensis
-96.488052,33.150125,Lontra canadensis
-79.006228,39.706263,Lontra canadensis
-72.614222,44.576835,Lontra canadensis
-81.4995,27.96346,Lontra canadensis
-75.93804,38.955414,Lontra canadensis
-86.12886,46.297577,Lontra canadensis
-110.016109,44.865957,Lontra canadensis
-79.94754,38.93873,Lontra canadensis
-80.45754,26.083467,Lontra canadensis
-59.963448,45.907684,Lontra canadensis
-77.678883,34.359877,Lontra canadensis
-136.144509,58.780062,Lontra canadensis
-121.440184,38.26873,Lontra canadensis
-76.47822,42.3254,Lontra canadensis
-106.05321000000001,36.088642,Lontra canadensis
-65.05944,45.62408,Lontra canadensis
-96.48564,32.864113,Lontra canadensis
-99.851707,50.660212,Lontra canadensis
-95.2656,54.9483,Lontra canadensis
-106.388885,53.92569,Lontra canadensis
