Longitude,Latitude,species
29.241151,69.143136,Lutra lutra
19.681145,63.574898,Lutra lutra
15.939051,62.004049,Lutra lutra
23.410213,69.979126,Lutra lutra
9.091544,63.298432,Lutra lutra
11.410562,62.67387,Lutra lutra
6.031891,62.464986,Lutra lutra
15.423984,68.003418,Lutra lutra
10.073411,60.823761,Lutra lutra
17.454958,62.292434,Lutra lutra
16.883944,60.286291,Lutra lutra
21.325771,66.910046,Lutra lutra
13.409574,55.57604,Lutra lutra
13.341536,56.104326,Lutra lutra
23.843767,66.660324,Lutra lutra
20.0183,67.745294,Lutra lutra
21.526922,65.961237,Lutra lutra
21.074225,64.784361,Lutra lutra
10.866475,53.636169,Lutra lutra
10.264097,60.157847,Lutra lutra
7.858956,61.504451,Lutra lutra
18.996054,69.653094,Lutra lutra
5.07214,62.006352,Lutra lutra
10.888345,62.33957,Lutra lutra
17.625638,59.7047,Lutra lutra
22.268895,65.850865,Lutra lutra
14.498458,64.399276,Lutra lutra
19.593469,66.629973,Lutra lutra
6.634153,62.692996,Lutra lutra
10.699752,63.298066,Lutra lutra
12.209037,64.592434,Lutra lutra
6.520555,61.807655,Lutra lutra
6.471697,62.247391,Lutra lutra
14.31248,57.470017,Lutra lutra
12.312534,60.785924,Lutra lutra
12.897139,62.780848,Lutra lutra
22.733737,66.075201,Lutra lutra
22.398162,65.950528,Lutra lutra
15.097554,57.395796,Lutra lutra
22.254584,66.047707,Lutra lutra
17.688475,62.61268,Lutra lutra
23.400161,66.344396,Lutra lutra
22.788426,65.978365,Lutra lutra
13.77898,61.600382,Lutra lutra
21.98783,66.08651,Lutra lutra
6.363916,61.013536,Lutra lutra
24.199855,60.574145,Lutra lutra
27.872895,62.3073,Lutra lutra
22.407225,61.077903,Lutra lutra
10.435405,59.448573,Lutra lutra
10.19887,61.457719,Lutra lutra
14.096004,66.325917,Lutra lutra
9.564013,63.709415,Lutra lutra
23.279122,70.162912,Lutra lutra
10.467035,63.280734,Lutra lutra
10.398512,63.424177,Lutra lutra
10.723684,60.816259,Lutra lutra
22.959358,70.04084,Lutra lutra
15.665271,68.18189,Lutra lutra
9.205549,59.301776,Lutra lutra
10.181712,60.238827,Lutra lutra
6.80879,61.185142,Lutra lutra
12.441343,65.44033,Lutra lutra
7.429481,62.899106,Lutra lutra
13.149864000000001,65.228662,Lutra lutra
5.630157,62.191592,Lutra lutra
5.920158,61.163365,Lutra lutra
7.072101,61.103406,Lutra lutra
5.156549,61.304222,Lutra lutra
12.292852,65.55658,Lutra lutra
9.081083,57.066514,Lutra lutra
7.417111,62.765925,Lutra lutra
12.972544,56.541792,Lutra lutra
22.175066,65.747947,Lutra lutra
15.431161,56.988199,Lutra lutra
14.821609,61.122333,Lutra lutra
15.82368,57.745447,Lutra lutra
15.006078,60.735902,Lutra lutra
19.00412,64.114316,Lutra lutra
18.646672,59.92089,Lutra lutra
15.264218,60.377949,Lutra lutra
15.193925,58.377,Lutra lutra
17.514094,62.164461,Lutra lutra
13.094032,60.995086,Lutra lutra
15.425951,59.024236,Lutra lutra
16.760317,61.424045,Lutra lutra
14.161303,63.319108,Lutra lutra
13.669807,56.138892,Lutra lutra
15.873959,58.531192,Lutra lutra
14.50021,57.854584,Lutra lutra
20.123242,63.816232,Lutra lutra
15.586866,57.419497,Lutra lutra
15.91238,57.252833,Lutra lutra
14.154754,58.004524,Lutra lutra
9.50811,62.333305,Lutra lutra
14.677996,57.415395,Lutra lutra
7.010804,62.948382,Lutra lutra
-2.84222,51.39451,Lutra lutra
-4,57.07,Lutra lutra
-3.62,57.21,Lutra lutra
-4.14,53.05,Lutra lutra
6.647515,60.389606,Lutra lutra
11.509255,64.536314,Lutra lutra
5.534278,61.895227,Lutra lutra
5.823841,61.943428,Lutra lutra
15.047527,67.321872,Lutra lutra
10.215776,63.34531,Lutra lutra
6.444649,60.654548,Lutra lutra
13.048416,66.076214,Lutra lutra
8.523557,60.613473,Lutra lutra
12.41281,52.679382,Lutra lutra
11.058135,61.10066,Lutra lutra
10.808907,63.475103,Lutra lutra
11.020446,61.57051,Lutra lutra
10.22256,56.91158,Lutra lutra
23.221495,66.242662,Lutra lutra
14.417044,61.042538,Lutra lutra
15.98446,57.678656,Lutra lutra
15.29609,58.560578,Lutra lutra
14.871645,56.670861,Lutra lutra
21.926906,65.823596,Lutra lutra
15.844045,58.703626,Lutra lutra
21.731262,66.03075,Lutra lutra
15.268081,64.49298,Lutra lutra
15.649101,58.191728,Lutra lutra
21.219231,66.305568,Lutra lutra
-0.8255,44.31752,Lutra lutra
-3.28413,48.35868,Lutra lutra
-4.17484,53.25214,Lutra lutra
23.25909,69.416575,Lutra lutra
19.78428,69.922297,Lutra lutra
22.878078,69.459219,Lutra lutra
16.449662,68.542292,Lutra lutra
10.930656,60.87592,Lutra lutra
14.481058,67.330945,Lutra lutra
27.829888,70.445749,Lutra lutra
8.110413,62.681922,Lutra lutra
22.705296,70.08079,Lutra lutra
23.651599,69.583777,Lutra lutra
10.702546,64.514515,Lutra lutra
5.515746,60.07613,Lutra lutra
14.609806,51.39201,Lutra lutra
13.898096,53.179581,Lutra lutra
9.950081,63.94318,Lutra lutra
29.6448,69.720363,Lutra lutra
14.013952,65.004466,Lutra lutra
16.29199,68.131464,Lutra lutra
8.683286,62.979529,Lutra lutra
11.616627,60.492242,Lutra lutra
6.586279,49.712162,Lutra lutra
10.00613,55.87028,Lutra lutra
10.561421,63.366214,Lutra lutra
19.596613,65.184495,Lutra lutra
12.750741,62.088276,Lutra lutra
15.725611,63.786618,Lutra lutra
19.604671,63.700079,Lutra lutra
15.011414,65.174336,Lutra lutra
14.510478,57.577643,Lutra lutra
19.822324,63.759528,Lutra lutra
16.335558,58.194328,Lutra lutra
16.936333,58.813329,Lutra lutra
13.915119,55.435073,Lutra lutra
12.474222,59.643608,Lutra lutra
13.604275,59.39356,Lutra lutra
15.33382,60.033886,Lutra lutra
15.038004,59.323658,Lutra lutra
17.626033,60.15542,Lutra lutra
15.483686,66.073496,Lutra lutra
13.531817,59.878564,Lutra lutra
10.624716,59.668473,Lutra lutra
10.2261,63.96194,Lutra lutra
24.7,59.3,Lutra lutra
26.1,59.2,Lutra lutra
25,58.5,Lutra lutra
-4.32949,53.33913,Lutra lutra
10.573144,49.998455,Lutra lutra
21.466016,70.215622,Lutra lutra
10.107565,63.42777,Lutra lutra
18.131147,68.753545,Lutra lutra
14.956393,51.123768,Lutra lutra
21.561471,69.935784,Lutra lutra
10.232844,63.106168,Lutra lutra
10.172199,64.077964,Lutra lutra
10.619335,61.441902,Lutra lutra
15.8122,67.691059,Lutra lutra
13.736148,66.292984,Lutra lutra
10.898559,64.461927,Lutra lutra
12.184641,64.933588,Lutra lutra
9.840767,51.807396,Lutra lutra
24.904561,70.178118,Lutra lutra
13.64867,63.305866,Lutra lutra
16.867325,66.446157,Lutra lutra
14.268957,55.647056,Lutra lutra
13.458209,55.709812,Lutra lutra
15.656117,62.649034,Lutra lutra
16.103263,59.252311,Lutra lutra
15.572367,56.609667,Lutra lutra
20.517791,67.855931,Lutra lutra
14.02254,57.8807,Lutra lutra
13.277513,55.643011,Lutra lutra
26.9,59.2,Lutra lutra
26.7,58.4,Lutra lutra
24.7,58,Lutra lutra
11.479885,54.010178,Lutra lutra
10.317018,50.562408,Lutra lutra
23.130424,69.92469,Lutra lutra
11.637423,63.853721,Lutra lutra
14.741632,57.936333,Lutra lutra
19.352586,65.267081,Lutra lutra
17.716942,59.981216,Lutra lutra
15.777974,58.066538,Lutra lutra
12.742468,56.938231,Lutra lutra
20.651101,66.428202,Lutra lutra
12.805287,56.208197,Lutra lutra
8.64934,54.921389,Lutra lutra
11.709326,62.012754,Lutra lutra
30.13041,69.72436,Lutra lutra
13.918847,57.616601,Lutra lutra
-4.04,56.95,Lutra lutra
13.542283,60.120782,Lutra lutra
11.175156,54.01503,Lutra lutra
13.779644,65.967578,Lutra lutra
13.936178,51.121021,Lutra lutra
11.266348,53.687721,Lutra lutra
10.617154,52.732319,Lutra lutra
11.578436,49.286461,Lutra lutra
16.364978,58.776197,Lutra lutra
12.876218,56.433402,Lutra lutra
20.504244,66.032039,Lutra lutra
29.946202,69.414354,Lutra lutra
5.914202,61.736657,Lutra lutra
29.324946,70.107708,Lutra lutra
17.045371,63.425431,Lutra lutra
18.655493,64.200474,Lutra lutra
13.124961,66.25522,Lutra lutra
28.866535,70.142301,Lutra lutra
8.916777,56.797006,Lutra lutra
8.95197,55.0118,Lutra lutra
8.1664,56.63808,Lutra lutra
10.35326,57.01195,Lutra lutra
10.923356,51.45298,Lutra lutra
-4.93,57.51,Lutra lutra
-4.15236,52.80301,Lutra lutra
29.264588,69.304331,Lutra lutra
127.106083,36.753222,Lutra lutra
6.563487,60.237846,Lutra lutra
7.636081,49.7812,Lutra lutra
18.351746,68.435876,Lutra lutra
15.327828,56.880254,Lutra lutra
12.226386,47.857914,Lutra lutra
14.567936,51.261856,Lutra lutra
11.163355,60.186725,Lutra lutra
11.419815,61.327285,Lutra lutra
7.088771,62.621308,Lutra lutra
12.670369,53.24493,Lutra lutra
8.89396,56.56077,Lutra lutra
26.2,59,Lutra lutra
-3.41682,52.99387,Lutra lutra
126.998083,35.1235,Lutra lutra
127.298139,36.846694,Lutra lutra
10.268269,52.776443,Lutra lutra
13.929079,64.235182,Lutra lutra
14.025468,57.223529,Lutra lutra
10.524589,52.62727,Lutra lutra
12.056424,57.47191,Lutra lutra
18.350605,67.450447,Lutra lutra
14.021201,57.049047,Lutra lutra
17.349253,60.760945,Lutra lutra
20.214834,64.601989,Lutra lutra
16.010233,56.966414,Lutra lutra
15.11481,57.750117,Lutra lutra
21.921295,54.138268,Lutra lutra
8.23442,56.19458,Lutra lutra
9.31879,55.71921,Lutra lutra
9.371161,56.524408,Lutra lutra
0.79104,45.37202,Lutra lutra
-2.98,53.09,Lutra lutra
14.732182,67.303096,Lutra lutra
10.949547,63.906581,Lutra lutra
14.666659,61.659014,Lutra lutra
16.086859,56.467658,Lutra lutra
16.032233,56.361663,Lutra lutra
11.756321,53.981781,Lutra lutra
10.50161,53.347363,Lutra lutra
13.486901,56.871114,Lutra lutra
14.020079,56.788686,Lutra lutra
14.013161,56.914749,Lutra lutra
14.003199,56.599877,Lutra lutra
13.862523,56.822434,Lutra lutra
14.318481,56.614042,Lutra lutra
13.453682,56.739559,Lutra lutra
13.899084,56.498333,Lutra lutra
13.527335,56.489476,Lutra lutra
5.630011,58.889993,Lutra lutra
12.952377,55.883033,Lutra lutra
19.28311,69.376406,Lutra lutra
19.554761,69.79685,Lutra lutra
17.108909,60.385465,Lutra lutra
16.538964,57.908544,Lutra lutra
14.482046,60.951119,Lutra lutra
8.85483,50.397972,Lutra lutra
14.335073,55.919897,Lutra lutra
16.319802,59.452139,Lutra lutra
21.337018,66.023042,Lutra lutra
14.514152,56.805549,Lutra lutra
13.786121,58.707597,Lutra lutra
9.525126,53.689396,Lutra lutra
7.249521,62.827332,Lutra lutra
9.07978,55.87311,Lutra lutra
5.998348,58.487186,Lutra lutra
14.639422,58.284098,Lutra lutra
19.238967,64.68084,Lutra lutra
10.261917,53.798218,Lutra lutra
15.783858,60.620891,Lutra lutra
22.80721,66.16861,Lutra lutra
12.796828,50.971199,Lutra lutra
11.664211,50.858753,Lutra lutra
16.527474,57.785681,Lutra lutra
14.158428,56.296743,Lutra lutra
13.268889,65.488966,Lutra lutra
10.30135,61.311898,Lutra lutra
9.063615,62.504868,Lutra lutra
20.716363,69.512131,Lutra lutra
16.914316,60.492901,Lutra lutra
25.2,58.3,Lutra lutra
24.8,58.8,Lutra lutra
9.610339,59.709109,Lutra lutra
20.900662,67.122747,Lutra lutra
17.110624,60.679988,Lutra lutra
21.485824,65.575397,Lutra lutra
9.233901,53.141129,Lutra lutra
13.692939,66.72409,Lutra lutra
26.7,59.2,Lutra lutra
26.1,59.4,Lutra lutra
25.5,59.2,Lutra lutra
27.4,59.1,Lutra lutra
26.2,58.9,Lutra lutra
25.2,59.3,Lutra lutra
26.5,59.5,Lutra lutra
5.3013,60.4002,Lutra lutra
5.947458,62.155601,Lutra lutra
15.73172,67.57182,Lutra lutra
21.70902,65.60684,Lutra lutra
18.848397,66.649303,Lutra lutra
12.648207,65.814091,Lutra lutra
17.427433,64.177836,Lutra lutra
7.290278,62.313156,Lutra lutra
6.788479,62.419391,Lutra lutra
26.9,58.5,Lutra lutra
8.633924,53.679909,Lutra lutra
17.38267,59.665474,Lutra lutra
15.115125,57.545431,Lutra lutra
18.03102,59.856472,Lutra lutra
15.689975,59.533194,Lutra lutra
16.010817,59.971291,Lutra lutra
15.871946,57.465587,Lutra lutra
16.243032,57.864457,Lutra lutra
17.163409,59.911141,Lutra lutra
16.336025,59.856512,Lutra lutra
17.531036,60.343235,Lutra lutra
17.819494,60.57823,Lutra lutra
17.566654,59.841984,Lutra lutra
14.029664,57.438425,Lutra lutra
12.196211,65.471175,Lutra lutra
13.430559,66.32812,Lutra lutra
15.124207,67.870355,Lutra lutra
5.311289,62.128556,Lutra lutra
9.32586,62.269449,Lutra lutra
9.779779,60.12391,Lutra lutra
11.49736,61.240168,Lutra lutra
8.415031,62.869958,Lutra lutra
9.820177,63.287324,Lutra lutra
12.6473,60.883732,Lutra lutra
-3.23,51.56,Lutra lutra
-3.57,52.91,Lutra lutra
-2.79,54.17,Lutra lutra
-2.32,50.79,Lutra lutra
-3.5,55.85,Lutra lutra
5.9,51.8,Lutra lutra
6.15,52.45,Lutra lutra
