Longitude,Latitude,species
-73.029534,-50.469018,Lycalopex culpaeus
-70.492905,-32.511422,Lycalopex culpaeus
-72.937932,-50.944301,Lycalopex culpaeus
-78.505048,-0.659734,Lycalopex culpaeus
-71.179649,-47.24622,Lycalopex culpaeus
-78.156443,-0.551611,Lycalopex culpaeus
-78.315798,-0.463772,Lycalopex culpaeus
-67.194399,-25.455075,Lycalopex culpaeus
-69.902718,-35.873117,Lycalopex culpaeus
-71.190277,-28.710556,Lycalopex culpaeus
-78.258406,-0.83458,Lycalopex culpaeus
-72.517102,-41.148837,Lycalopex culpaeus
-78.34951,-0.24448,Lycalopex culpaeus
-68.025,-16.653,Lycalopex culpaeus
-79.440173,-4.7121,Lycalopex culpaeus
-65.768761,-26.738341,Lycalopex culpaeus
-70.356973,-33.348684,Lycalopex culpaeus
-72.524231,-51.038155,Lycalopex culpaeus
-68.037393,-22.415407,Lycalopex culpaeus
-67.882997,-22.051545,Lycalopex culpaeus
-69.219724,-32.479995,Lycalopex culpaeus
-71.045158,-33.929106,Lycalopex culpaeus
-68.067167,-22.755041,Lycalopex culpaeus
-69.561059,-18.204546,Lycalopex culpaeus
-71.110897,-31.547833,Lycalopex culpaeus
-68.242653,-24.796037,Lycalopex culpaeus
-65.852596,-25.184505,Lycalopex culpaeus
-70.975305,-32.986108,Lycalopex culpaeus
-71.133024,-32.982243,Lycalopex culpaeus
-71.377876,-30.70345,Lycalopex culpaeus
-65.282893,-22.219652,Lycalopex culpaeus
-78.481372,0.023093,Lycalopex culpaeus
-65.693631,-25.858833,Lycalopex culpaeus
-68.038178,-21.557703,Lycalopex culpaeus
-67.733422,-21.946223,Lycalopex culpaeus
-70.647914,-40.218723,Lycalopex culpaeus
-72.047653,-45.575775,Lycalopex culpaeus
-65.805599,-26.644224,Lycalopex culpaeus
-72.886325,-49.331494,Lycalopex culpaeus
-70.267353,-33.622624,Lycalopex culpaeus
-70.964985,-33.176784,Lycalopex culpaeus
-64.839863,-31.57231,Lycalopex culpaeus
-78.261009,0.134036,Lycalopex culpaeus
-68.103611,-54.696111,Lycalopex culpaeus
-64.709376,-31.625942,Lycalopex culpaeus
-70.803715,-30.169071,Lycalopex culpaeus
-71.094002,-36.881021,Lycalopex culpaeus
-67.495537,-23.056417,Lycalopex culpaeus
-67.363268,-22.595681,Lycalopex culpaeus
-69.170833,-27.085833,Lycalopex culpaeus
-72.775871,-50.450138,Lycalopex culpaeus
-65.402375,-22.952312,Lycalopex culpaeus
-67.759552,-20.972521,Lycalopex culpaeus
-72.913511,-50.415996,Lycalopex culpaeus
-69.750647,-28.11602,Lycalopex culpaeus
-65.658533,-23.699063,Lycalopex culpaeus
-68.052464,-17.024687,Lycalopex culpaeus
-70.25,-33.3,Lycalopex culpaeus
