Longitude,Latitude,species
-116.776115,33.023605,Lycaon pictus
38.1639,-0.1173,Lycaon pictus
26.7628,-18.766426,Lycaon pictus
29.491785,-15.709395,Lycaon pictus
37.9554,-0.2295,Lycaon pictus
24.071732,-18.573036,Lycaon pictus
38.0231,-0.0588,Lycaon pictus
36.938953,0.009699,Lycaon pictus
23.851318,-19.316328,Lycaon pictus
21.678843,-18.136124,Lycaon pictus
38.085823,-7.672205,Lycaon pictus
34.874725,-7.708951,Lycaon pictus
31.617205,-25.162979,Lycaon pictus
37.199364,-2.639218,Lycaon pictus
36.216431,-4.039618,Lycaon pictus
36.044769,-4.077973,Lycaon pictus
31.420898,-24.046465,Lycaon pictus
36.6463,-0.4324,Lycaon pictus
27.445459,-18.536381,Lycaon pictus
3.191864,12.076329,Lycaon pictus
1.603764,11.243179,Lycaon pictus
40.0334,-1.3993,Lycaon pictus
1.766667,8.4,Lycaon pictus
38.6151,-0.1683,Lycaon pictus
25.15,-17.816667,Lycaon pictus
22.45,-25.178434,Lycaon pictus
22.28,-24.13,Lycaon pictus
22.52,-20.75,Lycaon pictus
39.8333,-3.4,Lycaon pictus
22.52,-20.95,Lycaon pictus
36.98,-7.4,Lycaon pictus
22.26667,-19.66667,Lycaon pictus
37.06667,0.01667,Lycaon pictus
20.58,-20.33,Lycaon pictus
