Longitude,Latitude,species
-117.70303,33.751568,Lynx rufus
-117.34053,33.50424,Lynx rufus
-117.13476,33.46278,Lynx rufus
-116.852745,33.127254,Lynx rufus
-91.835082,47.67353,Lynx rufus
-122.053702,37.067231,Lynx rufus
-65.027458,45.634013,Lynx rufus
-118.211266,36.817715,Lynx rufus
-110.032889,31.872784,Lynx rufus
-115.413825,36.051158,Lynx rufus
-100.81694,31.116521,Lynx rufus
-101.020706,31.261509,Lynx rufus
-100.992085,31.39654,Lynx rufus
-116.969891,34.277587,Lynx rufus
-96.113702,34.404067,Lynx rufus
-98.13525,26.077539,Lynx rufus
-122.244598,37.406066,Lynx rufus
-72.164955,41.681767,Lynx rufus
-64.84822,45.593132,Lynx rufus
-80.660301,28.314751,Lynx rufus
-89.22462,37.38282,Lynx rufus
-89.329321,37.200502,Lynx rufus
-79.00118,34.04896,Lynx rufus
-97.57705,32.49989,Lynx rufus
-72.742968,42.84501,Lynx rufus
-117.015575,32.91824,Lynx rufus
-85.672201,32.791401,Lynx rufus
-111.02528,41.91722,Lynx rufus
-115.393458,35.038894,Lynx rufus
-80.522749,37.385303,Lynx rufus
-122.65543,38.225727,Lynx rufus
-96.13827,30.23801,Lynx rufus
-97.16097,32.595764,Lynx rufus
-96.777013,29.992358,Lynx rufus
-74.001614,42.215431,Lynx rufus
-121.40194,37.049507,Lynx rufus
-100.355258,34.162883,Lynx rufus
-121.778491,36.683598,Lynx rufus
-118.9612,34.150321,Lynx rufus
-122.44431,40.60128,Lynx rufus
-118.005766,34.327079,Lynx rufus
-111.616554,33.692493,Lynx rufus
-96.24514,29.659378,Lynx rufus
-117.175545,33.31708,Lynx rufus
-97.212803,30.506153,Lynx rufus
-118.53639,49.176588,Lynx rufus
-76.60043,40.498108,Lynx rufus
-120.241059,39.432069,Lynx rufus
-76.066345,35.51874,Lynx rufus
-89.383438,37.385349,Lynx rufus
-94.49635,31.181492,Lynx rufus
-73.084015,44.101868,Lynx rufus
-116.90802,33.332077,Lynx rufus
-97.64282,30.235395,Lynx rufus
-103.554302,29.160654,Lynx rufus
-78.666113,36.703793,Lynx rufus
-121.091675,35.540817,Lynx rufus
-96.354195,32.981865,Lynx rufus
-97.144394,30.018238,Lynx rufus
-123.82477,40.126835,Lynx rufus
-93.796215,30.85158,Lynx rufus
-97.48294,32.93909,Lynx rufus
-110.662877,32.027741,Lynx rufus
-78.110458,36.844149,Lynx rufus
-116.74986,32.7994,Lynx rufus
-122.055832,36.953458,Lynx rufus
-73.00463,43.965096,Lynx rufus
-86.03544,32.32866,Lynx rufus
-73.16396,43.028843,Lynx rufus
-122.985,38.561646,Lynx rufus
-103.18224,29.307058,Lynx rufus
-84.293976,30.056911,Lynx rufus
-93.6462,31.0133,Lynx rufus
-88.362785,37.243135,Lynx rufus
-82.372312,28.599928,Lynx rufus
-116.82059,34.29083,Lynx rufus
-102.883184,36.842106,Lynx rufus
-106.298548,35.152936,Lynx rufus
-121.59899,36.069866,Lynx rufus
-73.21289,43.892822,Lynx rufus
-123.28154,42.88868,Lynx rufus
-118.957039,34.274704,Lynx rufus
-106.1847,35.575672,Lynx rufus
-81.862316,26.365114,Lynx rufus
-115.5969,33.184025,Lynx rufus
-67.198629,44.986724,Lynx rufus
-120.619433,35.030488,Lynx rufus
-122.67952,38.625588,Lynx rufus
-121.72311,36.78519,Lynx rufus
-120.968125,35.543005,Lynx rufus
-96.944971,33.229224,Lynx rufus
-83.9885,30.553663,Lynx rufus
-119.172681,35.334864,Lynx rufus
-112.018868,34.754365,Lynx rufus
-96.77914,33.72067,Lynx rufus
-97.152836,33.02227,Lynx rufus
-72.46117,44.340977,Lynx rufus
-73.335474,43.665903,Lynx rufus
-123.015656,38.306824,Lynx rufus
-110.33137,33.27851,Lynx rufus
-72.314298,41.704077,Lynx rufus
-98.18971,29.728601,Lynx rufus
-72.933405,41.527491,Lynx rufus
-73.219143,44.444408,Lynx rufus
-92.816247,47.311622,Lynx rufus
-102.93804,38.079546,Lynx rufus
-72.14869,41.990566,Lynx rufus
-115.41977,36.146667,Lynx rufus
-118.72951,35.34663,Lynx rufus
-117.35647,49.923306,Lynx rufus
-96.817422,30.724633,Lynx rufus
-122.083196,36.825657,Lynx rufus
-108.5371,32.647038,Lynx rufus
-98.60357,28.427061,Lynx rufus
-92.208231,34.287024,Lynx rufus
-104.487212,32.018473,Lynx rufus
-103.592758,30.105367,Lynx rufus
-121.583427,36.810751,Lynx rufus
-72.84439,42.07394,Lynx rufus
-88.94467,37.264168,Lynx rufus
-81.962089,40.410089,Lynx rufus
-94.420591,30.893746,Lynx rufus
-72.34384,41.280903,Lynx rufus
-119.689444,35.412778,Lynx rufus
-120.082222,35.109722,Lynx rufus
-123.92582,40.706673,Lynx rufus
-121.86098,37.84727,Lynx rufus
-72.540042,42.330996,Lynx rufus
-84.833926,34.571444,Lynx rufus
-97.899531,29.711827,Lynx rufus
-112.191003,35.249457,Lynx rufus
-82.73812,35.036915,Lynx rufus
-119.416222,34.345848,Lynx rufus
-90.80973,37.722996,Lynx rufus
-76.67968,37.141293,Lynx rufus
-96.36779,30.566256,Lynx rufus
-106.83333,41.66667,Lynx rufus
-120.041725,34.674255,Lynx rufus
-72.30094,42.5296,Lynx rufus
-99.266968,34.115034,Lynx rufus
-76.561942,42.382138,Lynx rufus
-115.81851,33.747726,Lynx rufus
-118.48287,35.98109,Lynx rufus
-121.629639,36.421282,Lynx rufus
-100.62641,31.953098,Lynx rufus
-82.69849,39.432716,Lynx rufus
-119.096538,34.309642,Lynx rufus
-110.08141,31.733055,Lynx rufus
-94.04531,30.267378,Lynx rufus
-96.527814,28.549913,Lynx rufus
-118.576751,34.104479,Lynx rufus
-100.049385,34.527596,Lynx rufus
-97.531931,35.70411,Lynx rufus
-121.42227,36.258118,Lynx rufus
-89.89667,33.98472,Lynx rufus
-90.02969,35.340977,Lynx rufus
-88.7208,36.303387,Lynx rufus
-90.931743,35.13862,Lynx rufus
-90.526772,34.89064,Lynx rufus
-89.76371,35.500298,Lynx rufus
-89.224481,35.141062,Lynx rufus
-88.56363,35.17523,Lynx rufus
-89.28254,35.58669,Lynx rufus
-95.154129,48.550534,Lynx rufus
-96.804931,32.530964,Lynx rufus
-72.426888,43.528321,Lynx rufus
-122.21865,37.04739,Lynx rufus
-121.960108,37.894778,Lynx rufus
-90.966341,37.603993,Lynx rufus
-95.720014,30.628503,Lynx rufus
-69.80895,44.819511,Lynx rufus
-121.2562,37.07805,Lynx rufus
-78.65368,37.83697,Lynx rufus
-118.31113,34.3221,Lynx rufus
-97.19304,29.923288,Lynx rufus
-112.02379,34.281124,Lynx rufus
-112.14091,33.878593,Lynx rufus
-119.96858,37.564068,Lynx rufus
-96.666873,32.645197,Lynx rufus
-122.382417,40.848684,Lynx rufus
-110.29609,31.898648,Lynx rufus
-78.41352,38.82805,Lynx rufus
-83.66649,35.437954,Lynx rufus
-100.98368,29.685247,Lynx rufus
-120.34811,41.514874,Lynx rufus
-76.183186,35.452686,Lynx rufus
-97.892385,30.26426,Lynx rufus
-121.34428,39.270027,Lynx rufus
-73.165501,44.57911,Lynx rufus
-119.30204,34.350182,Lynx rufus
-116.16836,34.013218,Lynx rufus
-122.80555,42.2772,Lynx rufus
-98.948439,30.129594,Lynx rufus
-114.203471,49.303862,Lynx rufus
-102.086147,32.096438,Lynx rufus
-72.64501,43.710915,Lynx rufus
-78.018771,39.022555,Lynx rufus
-99.41926,27.209656,Lynx rufus
-120.220645,41.692398,Lynx rufus
-72.254273,43.652262,Lynx rufus
-121.27989,36.696434000000004,Lynx rufus
-120.819008,36.574901,Lynx rufus
-73.255956,44.20454,Lynx rufus
-83.17284,46.309635,Lynx rufus
-101.119366,32.172307000000004,Lynx rufus
-100.047393,31.501009,Lynx rufus
-100.46136,31.401583,Lynx rufus
-100.550276,31.610013,Lynx rufus
-100.448343,31.304975,Lynx rufus
-100.55787,31.513802,Lynx rufus
-98.905787,31.624487,Lynx rufus
-100.25884,31.269924,Lynx rufus
-103.664215,29.74927,Lynx rufus
-102.009056,32.290764,Lynx rufus
-101.5139,31.372894,Lynx rufus
-104.01861,29.727097,Lynx rufus
-101.52149,31.868006,Lynx rufus
-103.400725,29.783785,Lynx rufus
-99.165,32.300266,Lynx rufus
-100.919823,32.307084,Lynx rufus
-99.77806,31.994444,Lynx rufus
-99.98271,31.845112,Lynx rufus
-102.48778,31.422796,Lynx rufus
-101.26945,31.44893,Lynx rufus
-100.540857,31.891151,Lynx rufus
-101.867293,30.223735,Lynx rufus
-80.33415,27.444963,Lynx rufus
-99.806288,31.386828,Lynx rufus
-101.411835,31.232436,Lynx rufus
-100.72508,31.742504,Lynx rufus
-101.671455,30.339241,Lynx rufus
-100.29139,31.974301,Lynx rufus
-100.968475,31.783161,Lynx rufus
-100.505394,30.517864,Lynx rufus
-101.48083,32.038053,Lynx rufus
-100.77782,30.479502,Lynx rufus
-101.15733,31.977345,Lynx rufus
-101.40393,31.856869,Lynx rufus
-111.896318,34.764319,Lynx rufus
-116.422485,33.370075,Lynx rufus
-98.390554,33.757371,Lynx rufus
-122.881737,38.072285,Lynx rufus
-117.184207,34.963054,Lynx rufus
-122.74782,38.045048,Lynx rufus
-116.271139,35.973018,Lynx rufus
-117.184166,34.01956,Lynx rufus
-109.2518,31.919469,Lynx rufus
-81.210515,28.35669,Lynx rufus
-116.74322,32.62314,Lynx rufus
-73.070305,41.847763,Lynx rufus
-96.79785,28.246839,Lynx rufus
-77.811029,40.890196,Lynx rufus
-73.218479,41.148561,Lynx rufus
-120.25758,39.32912,Lynx rufus
-118.35304,36.174217,Lynx rufus
-123.72294,39.564632,Lynx rufus
-73.310046,41.629961,Lynx rufus
-122.34416,38.98045,Lynx rufus
-120.343921,38.779911,Lynx rufus
-102.97305,29.187475,Lynx rufus
-85.57017,34.435066,Lynx rufus
-92.944145,34.315178,Lynx rufus
-93.03153,35.455296,Lynx rufus
-92.140495,35.856987,Lynx rufus
-94.243286,33.99461,Lynx rufus
-93.4083,34.997715,Lynx rufus
-93.66581,33.72861,Lynx rufus
-92.68925,35.2657,Lynx rufus
-91.29716,33.26714,Lynx rufus
-93.21509,35.91006,Lynx rufus
-94.218414,35.97121,Lynx rufus
-91.77227,33.190834,Lynx rufus
-92.515976,35.58296,Lynx rufus
-92.16916,33.46655,Lynx rufus
-90.31533,35.21188,Lynx rufus
-92.33044,36.28071,Lynx rufus
-93.30507,33.6667,Lynx rufus
-93.88767,35.50857,Lynx rufus
-91.223175,35.596603,Lynx rufus
-93.466324,35.57336,Lynx rufus
-94.27499,35.19698,Lynx rufus
-93.0792,36.304306,Lynx rufus
-91.75316,35.254723,Lynx rufus
-91.72278,33.587242,Lynx rufus
-90.77929,34.77975,Lynx rufus
-90.773895,35.29126,Lynx rufus
-91.37655,34.289574,Lynx rufus
-91.10115,36.0411,Lynx rufus
-94.25619,36.337826,Lynx rufus
-92.67446,34.648525,Lynx rufus
-92.51388,33.56046,Lynx rufus
-112.31799,37.74516,Lynx rufus
-119.534905,36.715637,Lynx rufus
-88.909398,37.361545,Lynx rufus
-103.364451,29.2475,Lynx rufus
-110.58889,31.79028,Lynx rufus
-116.621254,32.6031,Lynx rufus
-116.624507,32.754295,Lynx rufus
-100.396085,32.44115,Lynx rufus
-73.382235,43.828745,Lynx rufus
-72.80663,43.67454,Lynx rufus
-96.55027,33.04123,Lynx rufus
-95.561571,28.889322,Lynx rufus
-72.58879,43.852943,Lynx rufus
-109.535062,38.685873,Lynx rufus
-117.64869,33.90636,Lynx rufus
-117.618437,33.815317,Lynx rufus
-119.996081,37.212998,Lynx rufus
-106.902949,33.770686,Lynx rufus
-103.232895,29.208944,Lynx rufus
-73.185014,44.027054,Lynx rufus
-120.066536,34.500893,Lynx rufus
-121.863495,37.175476,Lynx rufus
-122.14634,38.247032,Lynx rufus
-122.333079,37.202893,Lynx rufus
-78.650093,39.46898,Lynx rufus
-73.44524,41.713623,Lynx rufus
-97.866,30.479666,Lynx rufus
-124.16464,41.620304,Lynx rufus
-96.615696,33.136122,Lynx rufus
-73.056535,43.613892,Lynx rufus
-92.704496,47.221472,Lynx rufus
-105.94641,35.395596,Lynx rufus
-111.206617,31.399876,Lynx rufus
-111.5991,31.96029,Lynx rufus
-116.222306,35.830965,Lynx rufus
-110.893764,31.683916,Lynx rufus
-78.274892,37.503207,Lynx rufus
-120.981279,36.39839,Lynx rufus
-72.8171,44.52342,Lynx rufus
-97.03879,28.78572,Lynx rufus
-120.215033,41.543706,Lynx rufus
-110.191581,31.825233,Lynx rufus
-87.95225,45.416798,Lynx rufus
-103.65655,30.359291,Lynx rufus
-82.67968,36.968895,Lynx rufus
-97.535172,30.179469,Lynx rufus
-122.05589,48.522167,Lynx rufus
-110.942259,44.649098,Lynx rufus
-94.34692,30.470612,Lynx rufus
-121.921854,36.992086,Lynx rufus
-73.414561,44.053868,Lynx rufus
-120.46005,35.19522,Lynx rufus
-108.432005,33.423135,Lynx rufus
-99.410992,28.314053,Lynx rufus
-121.47944,37.116077,Lynx rufus
-96.786865,30.956299,Lynx rufus
-119.705352,39.171862,Lynx rufus
-91.188019,47.388905,Lynx rufus
-97.301196,30.07331,Lynx rufus
-70.630322,43.389838,Lynx rufus
-97.956024,30.358698,Lynx rufus
-72.94728,41.86018,Lynx rufus
-100.069506,29.650999,Lynx rufus
-122.698849,37.937142,Lynx rufus
-90.175953,35.910981,Lynx rufus
-113.93105,36.89849,Lynx rufus
-98.12804,30.35936,Lynx rufus
-105.248173,39.893715,Lynx rufus
-86.679436,32.88367,Lynx rufus
-117.068381,33.209178,Lynx rufus
-97.276431,30.696835,Lynx rufus
-118.905045,37.841072,Lynx rufus
-116.924761,34.164015,Lynx rufus
