Longitude,Latitude,species
151.50638,-32.24944,Macaca mulatta
132.95,-12.383,Macaca mulatta
146.733,-19.4,Macaca mulatta
148.5,-21.133,Macaca mulatta
138.85,-34.45,Macaca mulatta
165.62388,-21.49471,Macaca mulatta
152.116,-31.783,Macaca mulatta
150.283,-33.616,Macaca mulatta
150.966,-32.7,Macaca mulatta
166.67027,-22.09638,Macaca mulatta
143.916,-18.25,Macaca mulatta
148.916,-35.283,Macaca mulatta
151.366,-31.866,Macaca mulatta
123.65,-17.616,Macaca mulatta
150.516,-33.7,Macaca mulatta
152.033,-25.166,Macaca mulatta
134.066,-26.9,Macaca mulatta
129.666,-25.55,Macaca mulatta
152.783,-30.15,Macaca mulatta
138.6,-31.1,Macaca mulatta
113.5625,-25.92388,Macaca mulatta
152.2,-30.6,Macaca mulatta
146.666,-19.316,Macaca mulatta
145.316,-31.333,Macaca mulatta
143.27527,-33.12416,Macaca mulatta
146.2,-33.05,Macaca mulatta
142.766,-6.2,Macaca mulatta
147.266,-33.95,Macaca mulatta
143.033,-33.716,Macaca mulatta
122.666,-28.516,Macaca mulatta
147.733,-30.866,Macaca mulatta
151.49721,-30.89666,Macaca mulatta
166.516,-22.183,Macaca mulatta
134.216,-12.05,Macaca mulatta
138.883,-32.433,Macaca mulatta
145.45,-16.283,Macaca mulatta
152.38555,-30.15083,Macaca mulatta
145.9,-32.983,Macaca mulatta
145.733,-19.933,Macaca mulatta
146.066,-41.55,Macaca mulatta
131.6,-24.283,Macaca mulatta
147.583,-38.05,Macaca mulatta
130.583,-25.15,Macaca mulatta
138,-25.766,Macaca mulatta
144.783,-18.2,Macaca mulatta
151.4961,-33.19194,Macaca mulatta
152.35444,-32.50222,Macaca mulatta
145.633,-37.233,Macaca mulatta
143.033,-3.65,Macaca mulatta
150.716,-5.95,Macaca mulatta
150.16277,-30.89194,Macaca mulatta
142.916,-12.916,Macaca mulatta
146.15,-18.95,Macaca mulatta
122.45,-17.866,Macaca mulatta
147.1,-36.866,Macaca mulatta
165.12054,-20.9075,Macaca mulatta
144.75,-5.866,Macaca mulatta
147.18499,-31.62517,Macaca mulatta
149.816,-24.166,Macaca mulatta
146.18944,-32.86222,Macaca mulatta
134.833,-25.783,Macaca mulatta
114.166,-26.4,Macaca mulatta
132.933,-12.533,Macaca mulatta
151.833,-26.983,Macaca mulatta
121.216,-19.733,Macaca mulatta
147.7,-30.45,Macaca mulatta
143.033,-13.533,Macaca mulatta
150.566,-32.333,Macaca mulatta
165.616,-21.266,Macaca mulatta
151.583,-31.166,Macaca mulatta
128.7,-15.666,Macaca mulatta
151.183,-27.516,Macaca mulatta
144.016,-5.833,Macaca mulatta
144.45,-15.566,Macaca mulatta
151.65388,-31.32916,Macaca mulatta
149.6,-33.816,Macaca mulatta
143.183,-6.533,Macaca mulatta
145.333,-15.766,Macaca mulatta
113.61166,-26.07054,Macaca mulatta
149.983,-36.6,Macaca mulatta
164.35,-20.55,Macaca mulatta
142.216,-34.183,Macaca mulatta
133.9,-24,Macaca mulatta
141.883,-12.766,Macaca mulatta
147.4411,-29.616,Macaca mulatta
150.616,-33.75,Macaca mulatta
144.016,-30.333,Macaca mulatta
150.166,-35.916,Macaca mulatta
152.966,-31.316,Macaca mulatta
147.866,-42.6,Macaca mulatta
152.3,-29.9,Macaca mulatta
132.833,-12.883,Macaca mulatta
151.205,-29.93916,Macaca mulatta
115.75,-33.483,Macaca mulatta
145.366,-37.15,Macaca mulatta
145.483,-17.216,Macaca mulatta
141.933,-12.666,Macaca mulatta
132.866,-13.05,Macaca mulatta
153.066,-30.883,Macaca mulatta
143.116,-13.766,Macaca mulatta
132.433,-14.55,Macaca mulatta
152.65,-26.7,Macaca mulatta
142.9,-8.85,Macaca mulatta
141.85,-12.55,Macaca mulatta
125.683,-14.816,Macaca mulatta
143.25,-18.233,Macaca mulatta
152.916,-28.583,Macaca mulatta
153.15861,-29.7786,Macaca mulatta
151.28027,-32.13777,Macaca mulatta
153.433,-28.833,Macaca mulatta
121.566,-32.6,Macaca mulatta
148.983,-31.316,Macaca mulatta
148.45,-31.65,Macaca mulatta
153.316,-28.633,Macaca mulatta
146.916,-20.516,Macaca mulatta
151.14388,-31.31027,Macaca mulatta
151.033,-29.6,Macaca mulatta
149.066,-30.95,Macaca mulatta
122.3436,-17.97666,Macaca mulatta
144.133,-31.716,Macaca mulatta
122.033,-32.083,Macaca mulatta
152.85583,-29.14471,Macaca mulatta
146.55,-34.75,Macaca mulatta
142.166,-12.383,Macaca mulatta
120.066,-33.583,Macaca mulatta
144.733,-31.266,Macaca mulatta
146.28304,-29.35055,Macaca mulatta
145.783,-5.1,Macaca mulatta
150,-22.866,Macaca mulatta
148.70861,-32.23694,Macaca mulatta
149.1,-33.283,Macaca mulatta
150.516,-34.6,Macaca mulatta
148.916,-31.433,Macaca mulatta
144.416,-5.333,Macaca mulatta
152.15,-32.733,Macaca mulatta
151.4,-24.066,Macaca mulatta
166.616,-22.283,Macaca mulatta
147.95,-42.316,Macaca mulatta
150.01416,-31.70555,Macaca mulatta
142.316,-32.35,Macaca mulatta
153.0986,-30.24666,Macaca mulatta
132.416,-31.983,Macaca mulatta
150.52888,-25.11583,Macaca mulatta
123.066,-28.466,Macaca mulatta
148.66777,-35.63166,Macaca mulatta
145.683,-28.066,Macaca mulatta
150.65,-33.866,Macaca mulatta
131.416,-22.083,Macaca mulatta
152.6625,-29.85055,Macaca mulatta
143.983,-18.183,Macaca mulatta
150.8186,-30.77471,Macaca mulatta
138.41943,-19.95722,Macaca mulatta
151.666,-29.883,Macaca mulatta
148.5,-35.866,Macaca mulatta
121.833,-33.65,Macaca mulatta
144.433,-37.683,Macaca mulatta
143.633,-3.7,Macaca mulatta
151.283,-33.233,Macaca mulatta
150.97449,-34.24492,Macaca mulatta
166.333,-21.9,Macaca mulatta
151.50777,-30.68193,Macaca mulatta
142.4,-12.7,Macaca mulatta
141.73721,-29.03999,Macaca mulatta
146.933,-5.866,Macaca mulatta
131.333,-22.033,Macaca mulatta
113.783,-23.466,Macaca mulatta
150.27499,-33.72499,Macaca mulatta
149.366,-21.866,Macaca mulatta
149.316,-36.583,Macaca mulatta
144.583,-17.35,Macaca mulatta
165.30638,-21.17721,Macaca mulatta
147.15,-33.083,Macaca mulatta
151.333,-33.433,Macaca mulatta
148.5,-36.1,Macaca mulatta
136,-16.55,Macaca mulatta
139.66888,-23.54833,Macaca mulatta
165.333,-20.95,Macaca mulatta
150.033,-33.766,Macaca mulatta
132.65,-12.783,Macaca mulatta
145.333,-6.2,Macaca mulatta
138.266,-34.433,Macaca mulatta
145.816,-17.416,Macaca mulatta
142.166,-14.683,Macaca mulatta
142.2336,-29.48027,Macaca mulatta
133.8936,-12.57666,Macaca mulatta
152.183,-4.2,Macaca mulatta
146.816,-31.166,Macaca mulatta
143.62943,-30.69499,Macaca mulatta
136.15,-16.233,Macaca mulatta
146.583,-36.85,Macaca mulatta
144.933,-31.55,Macaca mulatta
142.3,-31.2,Macaca mulatta
144,-34.7,Macaca mulatta
145.74444,-5.00555,Macaca mulatta
148.166,-41.083,Macaca mulatta
141.19694,-29.03388,Macaca mulatta
135.433,-25.383,Macaca mulatta
146.09677,-34.82617,Macaca mulatta
151.21777,-33.74027,Macaca mulatta
146.25,-26.4,Macaca mulatta
149.45,-35.2,Macaca mulatta
121.7,-33.233,Macaca mulatta
143.55,-18.283,Macaca mulatta
149.8,-24.616,Macaca mulatta
132.916,-12.683,Macaca mulatta
135.883,-34.416,Macaca mulatta
126.05,-18.76444,Macaca mulatta
151.05,-33.416,Macaca mulatta
142.25,-31.3,Macaca mulatta
149.883,-33.716,Macaca mulatta
152.24833,-29.0361,Macaca mulatta
134.216,-32.816,Macaca mulatta
115.8,-33.6,Macaca mulatta
145.066,-16.283,Macaca mulatta
148.8,-36.2,Macaca mulatta
147.1,-6.133,Macaca mulatta
141.30416,-29.04416,Macaca mulatta
141.8,-30.966,Macaca mulatta
117.183,-20.65,Macaca mulatta
152.74333,-28.80722,Macaca mulatta
144.9,-17.416,Macaca mulatta
140.766,-27.733,Macaca mulatta
143.116,-33.783,Macaca mulatta
155.05,-6.233,Macaca mulatta
147.1,-33.283,Macaca mulatta
150.11999,-29.29194,Macaca mulatta
147.25,-8.55,Macaca mulatta
141.883,-11.983,Macaca mulatta
146.866,-29.966,Macaca mulatta
146.2,-42.116,Macaca mulatta
151.45666,-30.41777,Macaca mulatta
147.366,-8.5,Macaca mulatta
151.09194,-31.49971,Macaca mulatta
151.84666000000001,-29.2525,Macaca mulatta
147.166,-30.033,Macaca mulatta
152.116,-28.55,Macaca mulatta
151.29721,-29.12999,Macaca mulatta
152.10611,-28.88805,Macaca mulatta
116.733,-34.983,Macaca mulatta
151.966,-29.083,Macaca mulatta
151.86611,-29.41444,Macaca mulatta
152.09583,-30.57304,Macaca mulatta
132.916,-23.916,Macaca mulatta
143.116,-33.916,Macaca mulatta
143.033,-33.45,Macaca mulatta
151.55222,-30.54971,Macaca mulatta
147.233,-38.066,Macaca mulatta
123.166,-32.116,Macaca mulatta
151.62221,-29.45972,Macaca mulatta
144.483,-22.066,Macaca mulatta
115.883,-33.683,Macaca mulatta
116.733,-24.35,Macaca mulatta
150.933,-32.516,Macaca mulatta
133,-13,Macaca mulatta
151.483,-24.516,Macaca mulatta
133.666,-14.933,Macaca mulatta
131.72499,-26.35833,Macaca mulatta
166.14194,-21.95583,Macaca mulatta
147.45,-31.7,Macaca mulatta
145.933,-32.866,Macaca mulatta
152.483,-32.383,Macaca mulatta
142.333,-22.25,Macaca mulatta
135.466,-12.4,Macaca mulatta
152.583,-29.05,Macaca mulatta
109.883,1.05,Macaca mulatta
151.666,-30.333,Macaca mulatta
138.866,-34.633,Macaca mulatta
150.633,-23.216,Macaca mulatta
121.75,-32.366,Macaca mulatta
136.75,-33.066,Macaca mulatta
138.45,-23.733,Macaca mulatta
151.87804,-30.08193,Macaca mulatta
113.7,-26.7,Macaca mulatta
151.316,-33.333,Macaca mulatta
148.533,-35.716,Macaca mulatta
150.83527,-31.78027,Macaca mulatta
141.616,-32.716,Macaca mulatta
121.366,-29.016,Macaca mulatta
151.13304,-30.23721,Macaca mulatta
138.5,-35.633,Macaca mulatta
114.683,-27.766,Macaca mulatta
147.233,-42.9,Macaca mulatta
133.416,-16.833,Macaca mulatta
146.383,-38.7,Macaca mulatta
116.166,-31.916,Macaca mulatta
142.75,-12.916,Macaca mulatta
118.65,-22.35,Macaca mulatta
152.666,-31.4,Macaca mulatta
153.0025,-31.09666,Macaca mulatta
147.566,-29.416,Macaca mulatta
146.716,-7.333,Macaca mulatta
152.333,-30.533,Macaca mulatta
152.34333,-31.13888,Macaca mulatta
133.416,-16.216,Macaca mulatta
151.37138,-30.47249,Macaca mulatta
135.366,-34.35,Macaca mulatta
145.48416,-17.07804,Macaca mulatta
135.7,-18.15,Macaca mulatta
