Longitude,Latitude,species
-119.663055,34.419445,Macropus eugenii
-71.39651,42.479477,Macropus eugenii
116.951572,-32.755953,Macropus eugenii
116.593081,-34.175097,Macropus eugenii
176.370056,-37.993952,Macropus eugenii
117.335713,-32.552519,Macropus eugenii
176.506585,-38.176142,Macropus eugenii
176.427109,-38.094265,Macropus eugenii
176.292817,-38.227212,Macropus eugenii
176.60307,-38.065517,Macropus eugenii
116.272087,-31.841108,Macropus eugenii
132.82174,-31.96337,Macropus eugenii
176.531397,-37.96761,Macropus eugenii
138.63073,-35.56443,Macropus eugenii
135.93249,-34.70492,Macropus eugenii
176.249746,-38.136848,Macropus eugenii
133.57834,-32.28413,Macropus eugenii
116.5,-32.5,Macropus eugenii
