Longitude,Latitude,species
-111.25019,43.389023,Marmota flaviventris
-119.374498,37.555934,Marmota flaviventris
-119.25357,37.929188,Marmota flaviventris
-106.51311,39.393246,Marmota flaviventris
-111.473661,40.801548,Marmota flaviventris
-106.323517,41.337944,Marmota flaviventris
-105.520485,40.291092,Marmota flaviventris
-112.40643,41.332565,Marmota flaviventris
-105.66,40.305286,Marmota flaviventris
-110.64125,44.484577,Marmota flaviventris
-106.953337,44.341641,Marmota flaviventris
-106.516906,39.606103,Marmota flaviventris
-118.508651,36.466463,Marmota flaviventris
-117.398872,38.799852,Marmota flaviventris
-113.627645,37.554925,Marmota flaviventris
-112.630322,37.554012,Marmota flaviventris
-111.695435,40.54353,Marmota flaviventris
-110.28583,44.914795,Marmota flaviventris
-111.82887,41.78264,Marmota flaviventris
-118.2486,36.257565,Marmota flaviventris
-105.792127,35.792741,Marmota flaviventris
-118.68362,36.433315,Marmota flaviventris
-117.29682,47.032373,Marmota flaviventris
-110.448006,44.818546,Marmota flaviventris
-110.57913,44.372993,Marmota flaviventris
-110.657295,44.193802,Marmota flaviventris
-112.262549,46.514608,Marmota flaviventris
-113.6529,49.70776,Marmota flaviventris
-119.71031,40.703312,Marmota flaviventris
-110.168227,44.584671,Marmota flaviventris
-103.42131,44.47056,Marmota flaviventris
-106.386959,39.618089,Marmota flaviventris
-103.96613,44.43142,Marmota flaviventris
-119.143218,37.69112,Marmota flaviventris
-111.81818,41.659687,Marmota flaviventris
-107.9187,44.869186,Marmota flaviventris
-119.649414,37.87001,Marmota flaviventris
-110.679016,43.79687,Marmota flaviventris
-106.07689,39.390489,Marmota flaviventris
-119.98512,38.475094,Marmota flaviventris
-105.653046,40.01139,Marmota flaviventris
-118.61293,37.212095,Marmota flaviventris
-105.642319,39.499689,Marmota flaviventris
-120.692909,39.25643,Marmota flaviventris
-118.179695,37.384315,Marmota flaviventris
-110.36873,44.427963,Marmota flaviventris
-114.207011,49.584167,Marmota flaviventris
-120.009098,38.682931,Marmota flaviventris
-105.635949,39.905523,Marmota flaviventris
-121.323442,44.043647,Marmota flaviventris
-107.904999,38.835815,Marmota flaviventris
-119.376091,38.106141,Marmota flaviventris
-107.95205,45.99136,Marmota flaviventris
-119.420925,37.843523,Marmota flaviventris
-108.00396,37.867493,Marmota flaviventris
-117.659334,49.323741,Marmota flaviventris
-118.967514,43.283773,Marmota flaviventris
-115.387281,43.352258,Marmota flaviventris
-114.013281,42.300405,Marmota flaviventris
-112.21029,43.525993,Marmota flaviventris
-117.40393,36.561977,Marmota flaviventris
-106.93315,41.70359,Marmota flaviventris
-111.418525,45.238438,Marmota flaviventris
-117.930679,47.665156,Marmota flaviventris
-105.630891,40.199207,Marmota flaviventris
-110.631911,43.663342,Marmota flaviventris
-120.148803,48.489478,Marmota flaviventris
-118.358055,36.5525,Marmota flaviventris
-106.378942,36.606389,Marmota flaviventris
-118.907776,36.717972,Marmota flaviventris
-118.869768,42.997977,Marmota flaviventris
-111.116796,43.71227,Marmota flaviventris
-119.51077,37.770596,Marmota flaviventris
-118.50712,37.07052,Marmota flaviventris
-110.955734,44.660106,Marmota flaviventris
-114.238611,38.989167,Marmota flaviventris
-118.22673,46.667217,Marmota flaviventris
-120.26121500000001,39.194653,Marmota flaviventris
-121.500305,40.553593,Marmota flaviventris
-106.730438,37.576655,Marmota flaviventris
-107.15002,38.028175,Marmota flaviventris
-120.61937,39.692646,Marmota flaviventris
-120.28346,47.533283,Marmota flaviventris
-118.987957,37.574187,Marmota flaviventris
-122.907578,49.319338,Marmota flaviventris
-118.715317,36.73218,Marmota flaviventris
-121.403829,40.444189,Marmota flaviventris
-110.541962,44.95808,Marmota flaviventris
-120.102394,38.93467,Marmota flaviventris
-121.785034,42.211983,Marmota flaviventris
-118.11878,36.23389,Marmota flaviventris
-107.38316,37.90725,Marmota flaviventris
-118.985775,37.064057,Marmota flaviventris
-115.650158,41.771184,Marmota flaviventris
-118.211855,36.496431,Marmota flaviventris
-120.456,39.63817,Marmota flaviventris
-120.323335,39.314556,Marmota flaviventris
-121.55384,41.61065,Marmota flaviventris
-120.546283,40.330883,Marmota flaviventris
-113.10885,37.22115,Marmota flaviventris
-106.77081,37.308666,Marmota flaviventris
-116.953705,47.709263,Marmota flaviventris
-105.85656,40.674171,Marmota flaviventris
-107.220459,43.979072,Marmota flaviventris
-118.67139,37.11204,Marmota flaviventris
-119.09269,37.250744,Marmota flaviventris
-117.307581,45.419809,Marmota flaviventris
-119.562614,49.0269,Marmota flaviventris
-106.978480986334,38.959352638483,Marmota flaviventris
-121.73576,46.792454,Marmota flaviventris
-121.906415,42.468392,Marmota flaviventris
-118.81307,36.636166,Marmota flaviventris
-105.60943,39.614918,Marmota flaviventris
-120.491576,40.923125,Marmota flaviventris
-112.860791,49.670812,Marmota flaviventris
-119.73728,49.77193,Marmota flaviventris
-118.354799,36.770045,Marmota flaviventris
-115.989573,43.644193,Marmota flaviventris
-113.712616,46.562695,Marmota flaviventris
-114.089069,46.553991,Marmota flaviventris
-120.49385,50.492985,Marmota flaviventris
-109.452211,45.17339,Marmota flaviventris
-105.887775,40.141877,Marmota flaviventris
-105.59056,41.31139,Marmota flaviventris
-106.13139,41.18417,Marmota flaviventris
-106.30247,41.074196,Marmota flaviventris
-107.357567,41.135687,Marmota flaviventris
-106.14111,41.29833,Marmota flaviventris
-110.48222,43.81389,Marmota flaviventris
-110.109245,43.749996,Marmota flaviventris
-106.01278,41.11056,Marmota flaviventris
