Longitude,Latitude,species
-156.95,64.73,Microtus oeconomus
-147.819147,65.853805,Microtus oeconomus
-106.7833,68.15,Microtus oeconomus
-161.49529,68.468056,Microtus oeconomus
-159.78084,67.08972,Microtus oeconomus
-142.01732,65.37427,Microtus oeconomus
-142.74771,61.004177,Microtus oeconomus
-141.84857,61.830624,Microtus oeconomus
-122.11667,69.76667,Microtus oeconomus
-144.240916782446,61.3166251861974,Microtus oeconomus
-141.131491074637,62.0308045285008,Microtus oeconomus
-143.05,64.96667,Microtus oeconomus
-143.781296601753,64.8106448030591,Microtus oeconomus
-143.38446,61.054684,Microtus oeconomus
-139.6,69.416664,Microtus oeconomus
-142.031110151358,60.9933694124083,Microtus oeconomus
-142.517692891147,61.3100521198691,Microtus oeconomus
-149.0529,63.725339,Microtus oeconomus
-142.51111,65.376945,Microtus oeconomus
-149.5,63.733333,Microtus oeconomus
-150.31667,60.45,Microtus oeconomus
-141.99,65.2711,Microtus oeconomus
-149.52657,61.256035,Microtus oeconomus
-149.657717,61.336333,Microtus oeconomus
-149.88434,63.494965,Microtus oeconomus
-160.8,67.9,Microtus oeconomus
-154.56667,67.21667,Microtus oeconomus
-161.01941,65.8327,Microtus oeconomus
-154.24069,59.12052,Microtus oeconomus
-161.016667,66.833333,Microtus oeconomus
-157.61778,67.242226,Microtus oeconomus
-162.96666,55.25833,Microtus oeconomus
-153.774596782626,59.5229821670983,Microtus oeconomus
-152.87138,61.357197,Microtus oeconomus
-136.076697891804,59.6228709624656,Microtus oeconomus
-135.89383,59.59229,Microtus oeconomus
-136.110180363179,59.2857815214128,Microtus oeconomus
-151.504059842319,63.9292156926259,Microtus oeconomus
-150.59097,63.71006,Microtus oeconomus
-150.333465304918,63.7550657967103,Microtus oeconomus
-152.05365,62.29445,Microtus oeconomus
-142.25716,63.697975,Microtus oeconomus
-155.56,67.21,Microtus oeconomus
-143.15,65.3,Microtus oeconomus
-158.08333,56.916668,Microtus oeconomus
-157.535,56.75,Microtus oeconomus
-144.50221,63.679604,Microtus oeconomus
-139.008611,59.415278,Microtus oeconomus
-145.25,61.51,Microtus oeconomus
-145.25,61.78,Microtus oeconomus
-170.28,63.21111,Microtus oeconomus
-150.7561,70.28917,Microtus oeconomus
-171.76306,63.4,Microtus oeconomus
-135.175,59.083333,Microtus oeconomus
-151.0689,70.39861,Microtus oeconomus
-150.4,70.433334,Microtus oeconomus
-149.583333,70.316667,Microtus oeconomus
-141.666667,67.25,Microtus oeconomus
-151.196667,61.969722,Microtus oeconomus
-155.61166,62.980556,Microtus oeconomus
-157.326389,61.773333,Microtus oeconomus
-152.063889,62.005278,Microtus oeconomus
-149.8275,61.516388,Microtus oeconomus
-150.16861,61.43778,Microtus oeconomus
-165.1125,64.901667,Microtus oeconomus
-163.9764,64.71972,Microtus oeconomus
-133.85,58.55,Microtus oeconomus
-147.26,63.99,Microtus oeconomus
-117.29,60.39,Microtus oeconomus
-136.35,67.73,Microtus oeconomus
-150.866216654908,67.4576930042922,Microtus oeconomus
-152.96283,68.579704,Microtus oeconomus
-152.923644982614,68.077299154862,Microtus oeconomus
-150.66829,68.2779,Microtus oeconomus
-165.75,68.13333,Microtus oeconomus
-153.66304,67.34527,Microtus oeconomus
-168.69478,63.29417,Microtus oeconomus
-152.633333,66.566667,Microtus oeconomus
-162.333333,66.75,Microtus oeconomus
-150.990278,60.728333,Microtus oeconomus
-150.829167,60.829133,Microtus oeconomus
-151.7913,66.319533,Microtus oeconomus
-145.5158,62.5286,Microtus oeconomus
-144.43695,61.515835,Microtus oeconomus
-136.56667,59.666668,Microtus oeconomus
-136.61667,59.8,Microtus oeconomus
-99.42,64.3,Microtus oeconomus
-135,68.217,Microtus oeconomus
-150.27408,68.93999,Microtus oeconomus
-150.27502,68.00085,Microtus oeconomus
-150.33333,66.25,Microtus oeconomus
-133.03334,69.433334,Microtus oeconomus
-149.58333,63.083332,Microtus oeconomus
-138.366667,64.733333,Microtus oeconomus
-140.55,68.825,Microtus oeconomus
-148.66667,65.5,Microtus oeconomus
-140.98334,67.416664,Microtus oeconomus
-147.75,63.25,Microtus oeconomus
-128.4,62.033333,Microtus oeconomus
-150.33333,67.083336,Microtus oeconomus
-133.08333,60.583332,Microtus oeconomus
-138.21666,65.083336,Microtus oeconomus
-135.216667,63.95,Microtus oeconomus
-138.066667,65.7,Microtus oeconomus
-136.033333,67.766667,Microtus oeconomus
-139.433333,63.316667,Microtus oeconomus
-135.266667,60.783333,Microtus oeconomus
-138.2,64.05,Microtus oeconomus
-136.93333,60.11667,Microtus oeconomus
-138.43333,60.95,Microtus oeconomus
-128.383333,61.866667,Microtus oeconomus
