Longitude,Latitude,species
-66.95331,46.01281,Odocoileus virginianus
-66.64391,45.835087,Odocoileus virginianus
-123.1025,49.7375,Odocoileus virginianus
-75.8033,45.79187,Odocoileus virginianus
-93.32485,35.502598,Odocoileus virginianus
-81.24762,37.24529,Odocoileus virginianus
-78.55767,38.265568,Odocoileus virginianus
-94.3016,35.325645,Odocoileus virginianus
-81.59013,41.32783,Odocoileus virginianus
-97.55141,32.25595,Odocoileus virginianus
-98.748116,26.621517,Odocoileus virginianus
-93.12508,37.13889,Odocoileus virginianus
-100.534615,33.083313,Odocoileus virginianus
-99.42351,36.4155,Odocoileus virginianus
-97.01173,33.376125,Odocoileus virginianus
-69.66685,44.55672,Odocoileus virginianus
-72.60646,43.17168,Odocoileus virginianus
-88.6103,40.864735,Odocoileus virginianus
-78.44996,37.200424,Odocoileus virginianus
-86.954506,36.687298,Odocoileus virginianus
-89.01527,37.819836,Odocoileus virginianus
-83.087166,40.31265,Odocoileus virginianus
-101.64761,34.937263,Odocoileus virginianus
-69.17679,44.335114,Odocoileus virginianus
-79.01462,40.564056,Odocoileus virginianus
-64.9418,45.5556,Odocoileus virginianus
-81.0771,41.385864,Odocoileus virginianus
-76.23065,38.945957,Odocoileus virginianus
-76.647285,38.07241,Odocoileus virginianus
-73.169334,44.003660000000004,Odocoileus virginianus
-82.12967,30.739534,Odocoileus virginianus
-79.00068,34.05128,Odocoileus virginianus
-78.19674,38.160904,Odocoileus virginianus
-72.76597,42.97988,Odocoileus virginianus
-82.14611,27.70444,Odocoileus virginianus
-83.887886,41.427692,Odocoileus virginianus
-78.96629,43.85103,Odocoileus virginianus
-114.099655,46.83491,Odocoileus virginianus
-97.495895,32.94144,Odocoileus virginianus
-77.25534,44.513523,Odocoileus virginianus
-79.33959,39.124405,Odocoileus virginianus
-81.986374,36.968773,Odocoileus virginianus
-78.89933,37.958424,Odocoileus virginianus
-81.309685,40.980656,Odocoileus virginianus
-82.0628,40.6827,Odocoileus virginianus
-106.58278,51.819443,Odocoileus virginianus
-97.40419,31.060865,Odocoileus virginianus
-99.14117,30.157095,Odocoileus virginianus
-67.93611,44.46367,Odocoileus virginianus
-116.41794,48.70697,Odocoileus virginianus
-97.58564,29.59296,Odocoileus virginianus
-78.12692,44.620594,Odocoileus virginianus
-97.05775,33.259468,Odocoileus virginianus
-81.89409,41.566185,Odocoileus virginianus
-78.372559999999993,38.59785,Odocoileus virginianus
-92.42815,44.54701,Odocoileus virginianus
-79.139534,35.899654,Odocoileus virginianus
-72.1821,44.397755,Odocoileus virginianus
-93.36766,37.319782,Odocoileus virginianus
-69.97311,43.894928,Odocoileus virginianus
-84.75801,39.56787,Odocoileus virginianus
-83.66908,41.361732,Odocoileus virginianus
-76.91622,40.376244,Odocoileus virginianus
-81.752914,42.857838,Odocoileus virginianus
-90.0604,35.3436,Odocoileus virginianus
-89.35,35.24361,Odocoileus virginianus
-77.26165,37.418507,Odocoileus virginianus
-72.94291,44.881714,Odocoileus virginianus
-82.34395,31.073456,Odocoileus virginianus
-75.097,38.78321,Odocoileus virginianus
-82.712036,36.89299,Odocoileus virginianus
-76.73221,39.884167,Odocoileus virginianus
-88.26686,37.612267,Odocoileus virginianus
-76.87707,42.106213,Odocoileus virginianus
-74.45724,40.209003,Odocoileus virginianus
-81.163055,38.480217,Odocoileus virginianus
-98.23434,29.290009,Odocoileus virginianus
-117.551865,47.90188,Odocoileus virginianus
-97.04733,28.049322,Odocoileus virginianus
-93.509674,44.820683,Odocoileus virginianus
-84.17503,43.30883,Odocoileus virginianus
-104.023384,30.672031,Odocoileus virginianus
-75.760735,42.67943,Odocoileus virginianus
-95.8667,36.300434,Odocoileus virginianus
-82.50878,41.928112,Odocoileus virginianus
-93.968544,48.860916,Odocoileus virginianus
-86.54883,34.610237,Odocoileus virginianus
-96.563705,30.897532000000002,Odocoileus virginianus
-72.5677,44.59841,Odocoileus virginianus
-79.76391,41.160103,Odocoileus virginianus
-72.469894,41.33318,Odocoileus virginianus
-89.618454,33.59443,Odocoileus virginianus
-73.82094,43.621185,Odocoileus virginianus
-73.95381,45.431255,Odocoileus virginianus
-82.93482,40.827908,Odocoileus virginianus
-78.287476,36.61664,Odocoileus virginianus
-84.4469,30.514126,Odocoileus virginianus
-90.14626,33.78544,Odocoileus virginianus
-79.969986,38.68064,Odocoileus virginianus
-81.27518,31.630253,Odocoileus virginianus
-91.16532,42.999157,Odocoileus virginianus
-94.8811,38.295513,Odocoileus virginianus
-71.694725,41.90517,Odocoileus virginianus
-78.75186,42.099518,Odocoileus virginianus
-81.52416,40.95177,Odocoileus virginianus
-81.4389,39.90447,Odocoileus virginianus
-73.03436,43.479187,Odocoileus virginianus
-88.708336,41.319332,Odocoileus virginianus
-110.65502,43.81132,Odocoileus virginianus
-84.028336,43.331112,Odocoileus virginianus
-64.00517,45.692093,Odocoileus virginianus
-63.91851,45.875004,Odocoileus virginianus
-82.93467,30.512428,Odocoileus virginianus
-76.50208,39.982986,Odocoileus virginianus
-83.79518,35.609604,Odocoileus virginianus
-73.22259,44.49262,Odocoileus virginianus
-79.10593,42.60658,Odocoileus virginianus
-109.833336,49.583332,Odocoileus virginianus
-81.28512,41.7615,Odocoileus virginianus
-98.5484,28.644241,Odocoileus virginianus
-80.599945,26.396633,Odocoileus virginianus
-98.27624,49.012207,Odocoileus virginianus
-89.66286,43.760025,Odocoileus virginianus
-79.6691,37.094368,Odocoileus virginianus
-76.313576,44.258865,Odocoileus virginianus
-95.20418,39.04488,Odocoileus virginianus
-94.59727,33.443005,Odocoileus virginianus
-76.39302,39.857914,Odocoileus virginianus
-97.48496,32.634483,Odocoileus virginianus
-82.49696,28.206312,Odocoileus virginianus
-72.56153,43.592945,Odocoileus virginianus
-110.69902,32.335537,Odocoileus virginianus
-74.64978,40.663128,Odocoileus virginianus
-82.51067,36.87646,Odocoileus virginianus
-82.17472,27.850279,Odocoileus virginianus
-106.56376,48.31885,Odocoileus virginianus
-117.67569,48.469498,Odocoileus virginianus
-89.263794,37.320084,Odocoileus virginianus
-82.81644,36.844933,Odocoileus virginianus
-75.485565,39.98449,Odocoileus virginianus
-73.087555,44.10076,Odocoileus virginianus
-95.369255,29.601894,Odocoileus virginianus
-79.85702,43.653187,Odocoileus virginianus
-110.64125,44.484577,Odocoileus virginianus
-75.7023,40.84487,Odocoileus virginianus
-75.76824,41.564064,Odocoileus virginianus
-104.71498,44.589,Odocoileus virginianus
-94.691025,38.79782,Odocoileus virginianus
-83.8514,41.552757,Odocoileus virginianus
