Longitude,Latitude,species
141.072693,-33.224329,Onychogalea fraenata
141.182302,-33.163563,Onychogalea fraenata
141.91916,-34.10694,Onychogalea fraenata
144.78166,-24.85144,Onychogalea fraenata
148.180833,-23.8425,Onychogalea fraenata
149.259428,-23.50676,Onychogalea fraenata
149.30108,-23.59843,Onychogalea fraenata
149.417759,-23.469259,Onychogalea fraenata
151.833333,-24.416667,Onychogalea fraenata
151.733333,-24.4,Onychogalea fraenata
149.183333,-23.566667,Onychogalea fraenata
146.76693,-19.2,Onychogalea fraenata
149.101096,-23.398429,Onychogalea fraenata
149.833333,-23.516667,Onychogalea fraenata
146.921099,-31.2532183,Onychogalea fraenata
