Longitude,Latitude,species
-103.01355,29.660475,Ovis canadensis
-118.15003,52.98502,Ovis canadensis
-114.33599,34.27079,Ovis canadensis
-111.52222,44.964798,Ovis canadensis
-121.546074,51.279667,Ovis canadensis
-110.362564,46.87968,Ovis canadensis
-115.997043,33.880733,Ovis canadensis
-119.528656,44.31451,Ovis canadensis
-108.80688,47.692596,Ovis canadensis
-110.554504,44.59192,Ovis canadensis
-117.24688,43.381832,Ovis canadensis
-105.47119000000001,36.77902,Ovis canadensis
-110.332671,44.814011,Ovis canadensis
-112.17297,40.819103,Ovis canadensis
-111.780359,36.974781,Ovis canadensis
-117.63018,52.93852,Ovis canadensis
-110.62201,43.357574,Ovis canadensis
-110.00471,38.617905,Ovis canadensis
-117.74991,44.448612,Ovis canadensis
-102.360306,43.909704,Ovis canadensis
-116.1667,52.4333,Ovis canadensis
-105.347953,40.258605,Ovis canadensis
-111.867017,36.01379,Ovis canadensis
-117.132939,46.352938,Ovis canadensis
-109.216131,40.595101,Ovis canadensis
-111.570609,33.555549,Ovis canadensis
-112.72357,37.239388,Ovis canadensis
-116.665777,45.930594,Ovis canadensis
-115.88088,51.441143,Ovis canadensis
-131.9495,64.38599,Ovis canadensis
-114.708117,35.864154,Ovis canadensis
-116.6617,52.15692,Ovis canadensis
-103.82036,30.72026,Ovis canadensis
-105.486083,37.806767,Ovis canadensis
-115.45562,36.21343,Ovis canadensis
-116.14725,34.025307,Ovis canadensis
-112.93538,37.296806,Ovis canadensis
-103.20562,29.215796,Ovis canadensis
-113.80318,49.016647,Ovis canadensis
-110.43811,44.71564,Ovis canadensis
-113.89434,49.16274,Ovis canadensis
-105.493126,40.21315,Ovis canadensis
-115.01999,36.19488,Ovis canadensis
-105.569407,39.76541,Ovis canadensis
-110.621025,43.458614,Ovis canadensis
-102.041165,43.795617,Ovis canadensis
-115.731834,34.733177,Ovis canadensis
-115.39376,38.793648,Ovis canadensis
-110.137247,44.745838,Ovis canadensis
-116.144484,33.82666,Ovis canadensis
-119.67893,39.46371,Ovis canadensis
-108.056075,45.274189,Ovis canadensis
-110.523509,44.404039,Ovis canadensis
-117.598936,44.525026,Ovis canadensis
-110.75635,43.429363,Ovis canadensis
-111.25801,45.26603,Ovis canadensis
-117.94922,52.816044,Ovis canadensis
-118.39966,51.815407,Ovis canadensis
-150.743301,63.099693,Ovis canadensis
-103.42581,47.617504,Ovis canadensis
-116.42881,33.335978,Ovis canadensis
-105.182517,38.53975,Ovis canadensis
-111.10026,44.66043,Ovis canadensis
-115.721369,33.891969,Ovis canadensis
-116.74707,36.077023,Ovis canadensis
-105.688179,40.285128,Ovis canadensis
-114.23222,35.098316,Ovis canadensis
-114.43678,34.681057,Ovis canadensis
-109.790605,40.934723,Ovis canadensis
-116.331884,33.850648,Ovis canadensis
-120.544077,46.762581,Ovis canadensis
-115.48313,36.121513,Ovis canadensis
-120.56409,46.973665,Ovis canadensis
-105.557724,40.38489,Ovis canadensis
-112.27133,40.99275,Ovis canadensis
-116.65258,33.98519,Ovis canadensis
-110.573751,44.797407,Ovis canadensis
-110.155594,44.5168,Ovis canadensis
-109.010996,47.801625,Ovis canadensis
-111.409172,44.849242,Ovis canadensis
-120.58386,50.605003,Ovis canadensis
-103.959216,42.701851,Ovis canadensis
-121.242874,50.45627,Ovis canadensis
-111.783377,40.328161,Ovis canadensis
-103.693825,30.701204,Ovis canadensis
-105.762652,40.435942,Ovis canadensis
-110.690078,45.005665,Ovis canadensis
-115.71915,51.13423,Ovis canadensis
-118.57072,42.744827,Ovis canadensis
-110.52269,37.977077,Ovis canadensis
-101.91045,43.774464,Ovis canadensis
