Longitude,Latitude,species
-14.950676,13.642651,Pan troglodytes
-14.136096,11.037431,Pan troglodytes
-8.305297,5.440517,Pan troglodytes
-8.82996,5.328735,Pan troglodytes
-8.319183,5.557044,Pan troglodytes
-8.687906,5.457437,Pan troglodytes
-14.187944,10.817556,Pan troglodytes
-14.1175,10.902111,Pan troglodytes
36.938953,0.009699,Pan troglodytes
33.845875,4.005352,Pan troglodytes
-7.842641,54.936902,Pan troglodytes
-8.572897,5.512729,Pan troglodytes
-8.702091,5.303321,Pan troglodytes
-10.610008,7.720607,Pan troglodytes
-8.21929,5.470742,Pan troglodytes
-14.04344,11.07355,Pan troglodytes
-8.746903,5.383718,Pan troglodytes
-8.565418,5.314539,Pan troglodytes
-8.468125,5.526196,Pan troglodytes
-10.716021,7.691442,Pan troglodytes
-10.508716,7.807452,Pan troglodytes
-8.629603,5.377941,Pan troglodytes
-8.222739,52.657232,Pan troglodytes
-8.474691,5.303287,Pan troglodytes
-7.54539,5.351539,Pan troglodytes
-8.378322,5.360595,Pan troglodytes
-8.44922,5.427902,Pan troglodytes
32.652397,-0.10437,Pan troglodytes
31.717014,1.904575,Pan troglodytes
30.092239,-0.164795,Pan troglodytes
-10.809413,7.551487,Pan troglodytes
-10.934293,7.337373,Pan troglodytes
-10.858463,7.416008,Pan troglodytes
-10.689239,7.487635,Pan troglodytes
-10.665187,7.587831,Pan troglodytes
-10.858083,7.287462,Pan troglodytes
30.2494,-0.3203,Pan troglodytes
29.8499,-0.5884,Pan troglodytes
29.8499,-0.4858,Pan troglodytes
29.8501,-0.3815,Pan troglodytes
29.9624,-0.4418,Pan troglodytes
29.9622,-0.3429,Pan troglodytes
30.0517,-0.319,Pan troglodytes
30.0524,-0.4733,Pan troglodytes
30.1426,-0.3544,Pan troglodytes
-14.45,10.754,Pan troglodytes
-14.559,10.735,Pan troglodytes
-14.378,10.874,Pan troglodytes
-13.957,11.109,Pan troglodytes
-9.736,8.032,Pan troglodytes
-7.732,5.403,Pan troglodytes
-2.617,5.533,Pan troglodytes
-2.4,5.2,Pan troglodytes
-8.834,7.496,Pan troglodytes
-7.316,4.9,Pan troglodytes
-7.788,6.174,Pan troglodytes
-8.937,8.525,Pan troglodytes
-3.810001,8.767315,Pan troglodytes
6.366667,4.583333,Pan troglodytes
31.5782,1.6513,Pan troglodytes
30.0214,0.8054,Pan troglodytes
30.4353,0.7694,Pan troglodytes
30.5073,0.8234,Pan troglodytes
30.3813,0.4634,Pan troglodytes
31.6052,1.8313,Pan troglodytes
30.4983,0.2385,Pan troglodytes
30.2432,-0.2038,Pan troglodytes
29.9899,0.5624,Pan troglodytes
29.9719,0.2385,Pan troglodytes
29.7744,-1.0407,Pan troglodytes
29.6169,-0.9939,Pan troglodytes
29.936496000000002,-6.225522,Pan troglodytes
29.46667,0.5,Pan troglodytes
25.2,0.5,Pan troglodytes
30.35933,0.564864,Pan troglodytes
29.6167,-4.7,Pan troglodytes
9.442,4.402,Pan troglodytes
-8.13,6.22,Pan troglodytes
-7.37,5.35,Pan troglodytes
2.95,6.85,Pan troglodytes
3.1167,6.6333,Pan troglodytes
-10.9975,7.25554,Pan troglodytes
9.7632,5.0738,Pan troglodytes
29.533333,0.833333,Pan troglodytes
29.8,-6.1167,Pan troglodytes
11.2833,2.3833,Pan troglodytes
-12,8,Pan troglodytes
10.1667,5.9333,Pan troglodytes
