Longitude,Latitude,species
38.1294,-0.1789,Panthera pardus
80,8.4,Panthera pardus
81.5,6.4,Panthera pardus
81.5,6.6,Panthera pardus
38.0185,0.3235,Panthera pardus
37.73,-0.5579,Panthera pardus
31.901592,-28.309938,Panthera pardus
26.7628,-18.766426,Panthera pardus
35.116714,-1.508832,Panthera pardus
37.9554,-0.2295,Panthera pardus
80.149467,8.304509,Panthera pardus
35.023487,-2.486436,Panthera pardus
23.827286,-19.116625,Panthera pardus
24.071732,-18.573036,Panthera pardus
36.6463,-0.4324,Panthera pardus
38.19,-0.0881,Panthera pardus
38.0231,-0.0588,Panthera pardus
70.637543,21.168085,Panthera pardus
37.608948,0.57128,Panthera pardus
23.851318,-19.316328,Panthera pardus
31.264812,-25.080635,Panthera pardus
20.612453,-26.467808,Panthera pardus
34.747009,-2.619326,Panthera pardus
36.852951,-3.264262,Panthera pardus
17.088352,-18.754915,Panthera pardus
34.874725,-7.708951,Panthera pardus
35.748138,-3.565506,Panthera pardus
35.164318,-2.000822,Panthera pardus
84.359894,27.57646,Panthera pardus
-8.504593,5.488568,Panthera pardus
-8.688621,5.402182,Panthera pardus
1.714772,11.011979,Panthera pardus
38.234138,-3.54242,Panthera pardus
35.473816,-2.937597,Panthera pardus
35.022861,-2.034361,Panthera pardus
35.155478,-1.598081,Panthera pardus
31.119375,-24.375362,Panthera pardus
36.044769,-4.077973,Panthera pardus
37.984,-2.9964,Panthera pardus
1.606951,11.01936,Panthera pardus
1.773326,11.142344,Panthera pardus
-8.581184,5.408694,Panthera pardus
37.987289,-3.225529,Panthera pardus
36.139475,-3.948372,Panthera pardus
34.903153,-2.491447,Panthera pardus
34.921074,-1.432193,Panthera pardus
30.537872,-24.155525,Panthera pardus
16.900808,-22.269505,Panthera pardus
31.245804,-24.517139,Panthera pardus
38.085823,-7.672205,Panthera pardus
1.743818,11.390114,Panthera pardus
1.695264,11.303315,Panthera pardus
1.985902,11.342818,Panthera pardus
-8.705627,5.306326,Panthera pardus
123.24946,13.610846,Panthera pardus
105.34,14.09,Panthera pardus
34.996861,-3.020098,Panthera pardus
35.021178,-1.382322,Panthera pardus
76.432571,27.329075,Panthera pardus
2.4074,11.8734,Panthera pardus
34.820568,-2.436428,Panthera pardus
1.7356,9.6431,Panthera pardus
