Longitude,Latitude,species
25.145988,-17.823223,Papio cynocephalus
22.462234,-17.982162,Papio cynocephalus
39.417793,-4.231187,Papio cynocephalus
30.395613,0.438496,Papio cynocephalus
38.1848,0.1312,Papio cynocephalus
33.640297,-10.711664,Papio cynocephalus
35.520005,-16.018094,Papio cynocephalus
36.88989,-7.834834,Papio cynocephalus
34.781632,-16.204658,Papio cynocephalus
37.375485,-2.728142,Papio cynocephalus
39.248834,-3.076769,Papio cynocephalus
34.706748,-15.863978,Papio cynocephalus
31.325954,-12.390947,Papio cynocephalus
38.184705,-3.466253,Papio cynocephalus
38.062752,-2.893218,Papio cynocephalus
29.698792,-1.049822,Papio cynocephalus
30.969772,-0.634447,Papio cynocephalus
39.93338,-3.268505,Papio cynocephalus
35.251093,-15.029378,Papio cynocephalus
37.814048,-7.011687,Papio cynocephalus
34.888292,-7.603005,Papio cynocephalus
39.681949,-0.515366,Papio cynocephalus
39.692793,-0.828407,Papio cynocephalus
39.506835,-0.069127,Papio cynocephalus
35.307098,-15.364729,Papio cynocephalus
38.19,-0.0881,Papio cynocephalus
30.716702,-1.905905,Papio cynocephalus
38.416667,-2.183333,Papio cynocephalus
38.769336,-3.719516,Papio cynocephalus
38.134668,-7.68448,Papio cynocephalus
37.199364,-2.639218,Papio cynocephalus
40.084991,-12.742694,Papio cynocephalus
15.787354,-23.276672,Papio cynocephalus
34.62906,-13.716052,Papio cynocephalus
31.264812,-25.080635,Papio cynocephalus
34.539207,-7.942728,Papio cynocephalus
34.874725,-7.708951,Papio cynocephalus
36.850891,-7.743651,Papio cynocephalus
38.226303,-7.761341,Papio cynocephalus
38.459516,-3.633872,Papio cynocephalus
38.02218,-2.985813,Papio cynocephalus
38.234138,-3.54242,Papio cynocephalus
34.181045,-10.697991,Papio cynocephalus
37.10627,-7.348162,Papio cynocephalus
35.741022,-7.361739,Papio cynocephalus
34.852756,-14.008007,Papio cynocephalus
33.6518,-11.133955,Papio cynocephalus
36.938953,0.009699,Papio cynocephalus
38.831177,-2.977327,Papio cynocephalus
39.973519,-3.351689,Papio cynocephalus
38.64501,-3.358432,Papio cynocephalus
34.650555,-7.685833,Papio cynocephalus
36.583463,-7.50352,Papio cynocephalus
39.586217,-4.281259,Papio cynocephalus
35,-7.5,Papio cynocephalus
40.67585,-2.413874,Papio cynocephalus
34.03308,-9.483506,Papio cynocephalus
34.747009,-2.619326,Papio cynocephalus
35.663681,-3.324587,Papio cynocephalus
31.910645,-12.94014,Papio cynocephalus
37.613325,-3.446597,Papio cynocephalus
29.659996,-0.612133,Papio cynocephalus
37.302217,-2.665354,Papio cynocephalus
34.352672,-18.980161,Papio cynocephalus
37.449443,-3.436958,Papio cynocephalus
35.027161,-1.227628,Papio cynocephalus
36.083221,-0.350187,Papio cynocephalus
31.617205,-25.162979,Papio cynocephalus
36.348267,-0.753915,Papio cynocephalus
35.022362,-1.582283,Papio cynocephalus
37.987289,-3.225529,Papio cynocephalus
31.715286,-13.16125,Papio cynocephalus
37.695122,-3.315333,Papio cynocephalus
17.068871,-22.295013,Papio cynocephalus
38.692581,-3.616995,Papio cynocephalus
37.109413,-2.94407,Papio cynocephalus
38.471734,-3.099196,Papio cynocephalus
34.436989,-2.243899,Papio cynocephalus
36.044769,-4.077973,Papio cynocephalus
38.637714,-5.036056,Papio cynocephalus
35.310233,-14.775098,Papio cynocephalus
37.62,-13.37,Papio cynocephalus
31.485014,-13.420796,Papio cynocephalus
37.993956,-7.695717,Papio cynocephalus
31.052272,-6.676483,Papio cynocephalus
31.376511,-6.931161,Papio cynocephalus
38.304118,-2.77319,Papio cynocephalus
31.486816,-13.03667,Papio cynocephalus
32.270279,-12.609516,Papio cynocephalus
32.25174,-11.926477,Papio cynocephalus
31.638222,-13.90241,Papio cynocephalus
32.0833,-12.7667,Papio cynocephalus
37.16633,0.21749,Papio cynocephalus
37.60765,0.84716,Papio cynocephalus
37.33145,0.65311,Papio cynocephalus
29.8723,-0.3823,Papio cynocephalus
8.848611,7.873611,Papio cynocephalus
37.30957,-6.948239,Papio cynocephalus
31.79718,-13.031318,Papio cynocephalus
38.210996,-3.01427,Papio cynocephalus
40.0334,-1.3993,Papio cynocephalus
37.608948,0.57128,Papio cynocephalus
16.900808,-22.269505,Papio cynocephalus
38.243408,-2.301017,Papio cynocephalus
37.754517,-3.554541,Papio cynocephalus
39.76347,7.09459,Papio cynocephalus
40.011433,8.842881,Papio cynocephalus
-3.810001,8.767315,Papio cynocephalus
35.164318,-2.000822,Papio cynocephalus
35.20612,-1.092859,Papio cynocephalus
38.6151,-0.1683,Papio cynocephalus
40.139,-1.878,Papio cynocephalus
35.748138,-3.565506,Papio cynocephalus
39.8333,-3.5,Papio cynocephalus
39.1667,-4.1667,Papio cynocephalus
32.6667,-13.2,Papio cynocephalus
32.8333,-13.4167,Papio cynocephalus
32.8333,-13.0833,Papio cynocephalus
31.6833,-13.35,Papio cynocephalus
32.85,-13.2,Papio cynocephalus
35.9,-16.0333,Papio cynocephalus
14.96003,-12.39529,Papio cynocephalus
39.6,-10.9333,Papio cynocephalus
