Longitude,Latitude,species
148.093985272,-35.709218524,Petauroides volans
152.911545038223,-27.3235659206605,Petauroides volans
151.4,-25.3,Petauroides volans
148.497571,-35.029287,Petauroides volans
145.744109,-17.013516,Petauroides volans
150.15271,-34.58802,Petauroides volans
148.844352,-35.353856,Petauroides volans
147.887392,-20.31678,Petauroides volans
153.18611741066,-27.9111920770377,Petauroides volans
149.514269964,-35.617320742,Petauroides volans
152.552791387,-30.679176564,Petauroides volans
151.313477,-32.099125,Petauroides volans
149.381417186,-36.630376183,Petauroides volans
146.168,-38.357,Petauroides volans
153.023813,-29.215058,Petauroides volans
152.213426,-30.551194,Petauroides volans
151.880174,-31.382379,Petauroides volans
150.168202454,-34.386732534,Petauroides volans
152.864731103182,-26.381891012917,Petauroides volans
150.258081,-33.397034,Petauroides volans
153.166345,-27.569474,Petauroides volans
152.901063,-27.127744,Petauroides volans
150.456483096,-34.631568904,Petauroides volans
153.520077,-28.28605,Petauroides volans
148.403395,-21.190611,Petauroides volans
150.134619,-33.385679,Petauroides volans
152.634761,-28.674678,Petauroides volans
152.0228,-32.667223,Petauroides volans
151.599709,-31.47116,Petauroides volans
148.211505,-35.628304,Petauroides volans
150.040019,-33.293848,Petauroides volans
148.16133034,-35.96761653,Petauroides volans
145.6263,-37.5734,Petauroides volans
150.289477,-34.416669,Petauroides volans
148.465935,-21.085824,Petauroides volans
152.795076,-31.280539,Petauroides volans
145.7433,-37.9973,Petauroides volans
152.615597,-31.587081,Petauroides volans
152.363353162,-31.260817784,Petauroides volans
148.31920923,-35.40256064,Petauroides volans
150.502761411,-34.186868701,Petauroides volans
145.425528,-17.297827,Petauroides volans
149.907956,-34.020946,Petauroides volans
149.829875,-33.462674,Petauroides volans
150.253011,-33.702042,Petauroides volans
150.430996,-34.108215,Petauroides volans
145.35219,-17.91721,Petauroides volans
145.48341,-17.94221,Petauroides volans
145.534848,-37.6372,Petauroides volans
152.123841,-31.746018,Petauroides volans
149.178998,-21.165328,Petauroides volans
149.333382,-34.214665,Petauroides volans
150.279848,-34.306664,Petauroides volans
150.608043,-34.995134,Petauroides volans
150.744976,-34.95892,Petauroides volans
152.688757,-30.036551,Petauroides volans
150.223933516,-35.789065493,Petauroides volans
151.661959679,-29.267025143,Petauroides volans
153.204926,-28.459669,Petauroides volans
149.247074,-34.273497,Petauroides volans
150.195773,-34.742041,Petauroides volans
150.252663,-34.515728,Petauroides volans
152.125368158,-30.681323252,Petauroides volans
152.79257,-27.40211,Petauroides volans
150.611812,-34.587423,Petauroides volans
150.548980462,-34.382453882,Petauroides volans
152.531502326,-31.337159431,Petauroides volans
145.4596,-37.5401,Petauroides volans
150.745135197,-34.337650276,Petauroides volans
151.946969,-27.420291,Petauroides volans
144.25,-37.42,Petauroides volans
145.3379,-37.5407,Petauroides volans
150.481612688,-33.703243271,Petauroides volans
148.03602,-24.095089,Petauroides volans
151.41557289,-33.48933855,Petauroides volans
152.492906,-31.049828,Petauroides volans
151.968706,-24.812369,Petauroides volans
148.500625,-36.651887,Petauroides volans
149.899596,-35.549357,Petauroides volans
151.549109,-31.551202,Petauroides volans
151.398895265,-31.395755045,Petauroides volans
149.473499,-35.456736,Petauroides volans
150.773138029,-34.441051542,Petauroides volans
152.972105,-30.639988,Petauroides volans
145.379305,-18.321789,Petauroides volans
145.483056,-18.380556,Petauroides volans
145.493056,-18.551667,Petauroides volans
145.457222,-17.440556,Petauroides volans
150.156635001,-35.644187958,Petauroides volans
150.388403949,-34.372432222,Petauroides volans
151.505347,-32.149098,Petauroides volans
148.1542,-37.6214,Petauroides volans
152.773239,-26.128488,Petauroides volans
150.000338,-34.717226,Petauroides volans
152.180166,-31.962973,Petauroides volans
150.91136,-34.196925,Petauroides volans
152.506723479,-30.090013264,Petauroides volans
148.7036,-37.2309,Petauroides volans
149.5952,-37.4518,Petauroides volans
148.6474,-37.3869,Petauroides volans
148.8141,-37.3676,Petauroides volans
148.291,-37.649,Petauroides volans
148.27440000000001,-37.7841,Petauroides volans
148.1424,-37.7984,Petauroides volans
149.5389,-37.3575,Petauroides volans
148.4631,-37.3273,Petauroides volans
148.9006,-37.2187,Petauroides volans
149.032,-37.212,Petauroides volans
152.66136,-30.860235,Petauroides volans
150.432251,-34.469893,Petauroides volans
152.641209,-28.388925,Petauroides volans
150.827233,-34.746478,Petauroides volans
149.081497,-24.654394,Petauroides volans
148.974577,-24.674319,Petauroides volans
150.587766,-24.218232,Petauroides volans
148.232503,-35.320751,Petauroides volans
151.945904,-25.867786,Petauroides volans
152.742815,-28.811358,Petauroides volans
152.746335,-28.711914,Petauroides volans
152.876721,-31.450744,Petauroides volans
