Longitude,Latitude,species
145.5762,-37.6845,Petaurus australis
153.056234121323,-27.7347816961069,Petaurus australis
153.194078207016,-27.9248009029582,Petaurus australis
150.279950763,-35.416307201,Petaurus australis
152.725804,-30.701034,Petaurus australis
153.023841036,-29.787258654,Petaurus australis
150.076091073,-36.163174282,Petaurus australis
152.577934,-31.583434,Petaurus australis
153.065303,-29.881228,Petaurus australis
150.111568247,-36.285870773,Petaurus australis
151.505047,-31.490839,Petaurus australis
152.741957,-31.134391,Petaurus australis
149.437739,-36.646613,Petaurus australis
149.920816852,-37.152590805,Petaurus australis
148.249412,-35.668497,Petaurus australis
148.319947,-35.786717,Petaurus australis
150.3,-34.7,Petaurus australis
150.292594,-34.390821,Petaurus australis
151.198654,-31.498507,Petaurus australis
150.103443,-35.726161,Petaurus australis
148.312803,-35.406129,Petaurus australis
150.269382,-33.675617,Petaurus australis
150.430996007,-34.10821541,Petaurus australis
151.338675,-24.678282,Petaurus australis
153.120534702,-29.72686957,Petaurus australis
151.472669,-33.053693,Petaurus australis
149.914101,-37.253721,Petaurus australis
149.71799,-37.197621,Petaurus australis
152.724973151,-30.176004064,Petaurus australis
152.125699438,-31.217322275,Petaurus australis
150.193885,-34.34326,Petaurus australis
150.225321,-35.780986,Petaurus australis
150.2108,-34.116643,Petaurus australis
150.60663593,-34.97159613,Petaurus australis
153.378341,-29.142205,Petaurus australis
149.084362,-37.152532,Petaurus australis
151.419929523,-33.136625461,Petaurus australis
152.741519472,-30.900321214,Petaurus australis
149.964231,-33.62032,Petaurus australis
153.172671,-29.497673,Petaurus australis
148.50916900000001,-35.656092,Petaurus australis
151.908512,-31.326173,Petaurus australis
145.6852,-37.9318,Petaurus australis
148.388099,-35.522421,Petaurus australis
152.39242,-31.304438,Petaurus australis
150.761152716,-34.411694016,Petaurus australis
150.231358319,-35.57140997,Petaurus australis
150.027561,-35.808584,Petaurus australis
149.939666,-37.428946,Petaurus australis
150.212048031,-34.522721464,Petaurus australis
153.0966,-30.114846,Petaurus australis
152.209873,-31.564104,Petaurus australis
152.51456275,-31.41321599,Petaurus australis
152.453703,-28.985625,Petaurus australis
151.418,-33.282,Petaurus australis
149.653509,-37.296499,Petaurus australis
149.860942,-36.12514,Petaurus australis
152.97906834,-30.65456325,Petaurus australis
149.380654,-37.046389,Petaurus australis
151.929818,-32.494122,Petaurus australis
151.198391,-32.944644,Petaurus australis
152.388295859,-30.49999494,Petaurus australis
149.452503773,-36.866744258,Petaurus australis
150.033417,-36.445095,Petaurus australis
152.763962,-26.120392,Petaurus australis
146.1292,-37.7945,Petaurus australis
148.8747,-37.2537,Petaurus australis
148.63,-37.25,Petaurus australis
148.3825,-37.7808,Petaurus australis
148.291,-37.649,Petaurus australis
148.1368,-37.8192,Petaurus australis
149.6952,-37.4207,Petaurus australis
148.18,-37.67,Petaurus australis
151.150085,-33.1099,Petaurus australis
150.112331864,-35.529814698,Petaurus australis
153.151,-30.0308,Petaurus australis
152.678728506,-31.529602722,Petaurus australis
149.273245,-37.210647,Petaurus australis
152.043028,-28.933402,Petaurus australis
151.449708333,-32.953213888,Petaurus australis
152.475583693,-31.539890071,Petaurus australis
152.524150584,-31.886813992,Petaurus australis
150.750621,-34.988221,Petaurus australis
149.438293,-37.124497,Petaurus australis
150.84762,-34.353732,Petaurus australis
150.365217,-34.198351,Petaurus australis
153.008445,-30.544275,Petaurus australis
150.458232,-34.375111,Petaurus australis
152.739693,-28.830306,Petaurus australis
152.783900722,-28.666829775,Petaurus australis
150.831085,-34.120278,Petaurus australis
148.951,-37.376,Petaurus australis
152.358156,-31.716207,Petaurus australis
150.009297752,-34.805116964,Petaurus australis
152.48184906,-31.66265576,Petaurus australis
148.7343,-37.6172,Petaurus australis
152.585949,-30.713386,Petaurus australis
149.816819,-32.402116,Petaurus australis
149.597714138,-37.184118458,Petaurus australis
152.988044,-30.794707,Petaurus australis
152.813473876,-30.800863054,Petaurus australis
148.234767,-25.06456,Petaurus australis
152.829884,-30.533164,Petaurus australis
152.68122,-29.999857,Petaurus australis
152.993859,-29.456943,Petaurus australis
148.0199,-37.1665,Petaurus australis
148.218123,-36.072875,Petaurus australis
152.441363,-30.062949,Petaurus australis
150.067708,-35.236124,Petaurus australis
149.803466,-37.295796,Petaurus australis
148.0776,-37.2738,Petaurus australis
148.8336,-37.1236,Petaurus australis
152.31790011,-29.68352243,Petaurus australis
152.74397,-28.947435,Petaurus australis
152.190355,-30.874838,Petaurus australis
152.373024288,-28.912133144,Petaurus australis
152.510726,-28.295764,Petaurus australis
150.932846,-33.666142,Petaurus australis
152.90965,-28.997843,Petaurus australis
152.321284,-29.781114,Petaurus australis
151.312361,-33.177295,Petaurus australis
145.4809,-37.9804,Petaurus australis
148.66980288,-35.35007789,Petaurus australis
151.288503,-33.033438,Petaurus australis
141.1045,-38.0248,Petaurus australis
151.981064,-24.812424,Petaurus australis
145.8376,-37.8676,Petaurus australis
145.8379,-37.5332,Petaurus australis
145.558,-37.878,Petaurus australis
145.9274,-37.6323,Petaurus australis
146.4189,-37.9656,Petaurus australis
149.39459,-25.01781,Petaurus australis
146.1263,-37.9401,Petaurus australis
146.413,-38.699,Petaurus australis
152.935644,-30.17801,Petaurus australis
146.3245,-37.8046,Petaurus australis
146.2008,-37.7218,Petaurus australis
152.629498,-28.976269,Petaurus australis
152.433576843,-29.784070041,Petaurus australis
152.20161,-29.620603,Petaurus australis
146.31,-37.597,Petaurus australis
146.0818,-37.6091,Petaurus australis
149.573616271,-36.445586781,Petaurus australis
150.29409817,-35.67710104,Petaurus australis
153.227704,-29.733783,Petaurus australis
150.385107,-35.44378,Petaurus australis
151.240747053,-29.891312882,Petaurus australis
149.510968749,-35.51835582,Petaurus australis
150.21760486,-33.29762338,Petaurus australis
150.02361200000001,-33.817992,Petaurus australis
152.867222919,-30.0795926,Petaurus australis
148.572,-37.57,Petaurus australis
149.2557,-37.3339,Petaurus australis
150.629400277,-32.738047552,Petaurus australis
152.106319,-31.691703,Petaurus australis
151.445425759,-33.384652401,Petaurus australis
151.542693,-32.874357,Petaurus australis
145.9429,-37.3901,Petaurus australis
152.238148399,-32.353638716,Petaurus australis
152.443752886,-29.093278376,Petaurus australis
148.4564,-37.5444,Petaurus australis
150.187830435,-32.845753957,Petaurus australis
152.683756828,-30.824297841,Petaurus australis
152.761406,-29.128292,Petaurus australis
152.629585291,-31.273753184,Petaurus australis
151.971857,-32.202356,Petaurus australis
150.775073128,-34.789837028,Petaurus australis
152.00591,-32.110839,Petaurus australis
148.9527,-37.5025,Petaurus australis
