Longitude,Latitude,species
-71.02017,42.33196,Phacochoerus aethiopicus
38.845265,-3.347107,Phacochoerus aethiopicus
38.5858,-0.1723,Phacochoerus aethiopicus
38.211125,0.187877,Phacochoerus aethiopicus
37.479428,0.574863,Phacochoerus aethiopicus
37.62859,0.621446,Phacochoerus aethiopicus
37.9554,-0.2295,Phacochoerus aethiopicus
38.382239,-0.071219,Phacochoerus aethiopicus
40.02442,-1.74944,Phacochoerus aethiopicus
39.53044,-0.10996,Phacochoerus aethiopicus
38.19,-0.0881,Phacochoerus aethiopicus
36.6463,-0.4324,Phacochoerus aethiopicus
39.76347,7.09459,Phacochoerus aethiopicus
16.951202,-20.648636,Phacochoerus aethiopicus
36.074047,-3.840019,Phacochoerus aethiopicus
37.322345,0.413375,Phacochoerus aethiopicus
1.9088,8.1715,Phacochoerus aethiopicus
2.3856,7.203,Phacochoerus aethiopicus
40.068656,-2.078156,Phacochoerus aethiopicus
2.5564,8.587,Phacochoerus aethiopicus
38.609734,-3.342064,Phacochoerus aethiopicus
39.36264,-4.26561,Phacochoerus aethiopicus
17.920826,-25.435194,Phacochoerus aethiopicus
44.23439,9.628913,Phacochoerus aethiopicus
1.975931,7.92759,Phacochoerus aethiopicus
3.405493,11.405493,Phacochoerus aethiopicus
1.511147,9.866246,Phacochoerus aethiopicus
3.191864,12.076329,Phacochoerus aethiopicus
1.603764,11.243179,Phacochoerus aethiopicus
2.663442,6.992886,Phacochoerus aethiopicus
2.118633,6.74778,Phacochoerus aethiopicus
2.587198,8.678401,Phacochoerus aethiopicus
2.184746,8.955147,Phacochoerus aethiopicus
40.0334,-1.3993,Phacochoerus aethiopicus
31.52207,-25.09963,Phacochoerus aethiopicus
31.26482,-24.36363,Phacochoerus aethiopicus
1.683756,10.363966,Phacochoerus aethiopicus
2.130028,7.065248,Phacochoerus aethiopicus
40.192108,9.043784,Phacochoerus aethiopicus
3.101978,11.121374,Phacochoerus aethiopicus
1.784952,6.615757,Phacochoerus aethiopicus
2.93705,11.135399,Phacochoerus aethiopicus
3.118761,10.53225,Phacochoerus aethiopicus
1.549487,9.266933,Phacochoerus aethiopicus
2.03212,8.756808,Phacochoerus aethiopicus
2.166667,6.916667,Phacochoerus aethiopicus
40.597229,-0.585012,Phacochoerus aethiopicus
40.095634,8.878457,Phacochoerus aethiopicus
1.643919,8.994511,Phacochoerus aethiopicus
1.532728,9.991887,Phacochoerus aethiopicus
2.461409,6.897061,Phacochoerus aethiopicus
1.966141,8.296999,Phacochoerus aethiopicus
36.862046,-1.385965,Phacochoerus aethiopicus
28.58443,-21.03038,Phacochoerus aethiopicus
32.030207,-17.860346,Phacochoerus aethiopicus
26.616671,-27.366671,Phacochoerus aethiopicus
23.01129,-19.60009,Phacochoerus aethiopicus
31.5,-13.16667,Phacochoerus aethiopicus
16.942222,-20.3725,Phacochoerus aethiopicus
18.486166,-22.965661,Phacochoerus aethiopicus
27,-23.66667,Phacochoerus aethiopicus
37.000833,1.67e-4,Phacochoerus aethiopicus
25.9076,-18.36025,Phacochoerus aethiopicus
35.4667,-1.2167,Phacochoerus aethiopicus
30.25,-1.166667,Phacochoerus aethiopicus
27.121693,-18.910568,Phacochoerus aethiopicus
36.349998,-1.15,Phacochoerus aethiopicus
29.366667,-21.066667,Phacochoerus aethiopicus
39.842458,0.441816,Phacochoerus aethiopicus
37.733901,0.726586,Phacochoerus aethiopicus
36.133335,15.816667,Phacochoerus aethiopicus
34.61667,-2.08333,Phacochoerus aethiopicus
29.86667,-0.13333,Phacochoerus aethiopicus
29.683333,0.05,Phacochoerus aethiopicus
32.566666,4.416667,Phacochoerus aethiopicus
