Longitude,Latitude,species
152.1826371,-32.6734881,Phascolarctos cinereus
150.02954,-30.89844,Phascolarctos cinereus
145.1696,-38.3953,Phascolarctos cinereus
152.9164894,-31.4283435,Phascolarctos cinereus
150.156322576,-34.488642276,Phascolarctos cinereus
145.3596,-37.5734,Phascolarctos cinereus
150.6479469,-34.4427629,Phascolarctos cinereus
152.84521651,-30.28342721,Phascolarctos cinereus
145.685,-36.834,Phascolarctos cinereus
151.92261443,-32.78089318,Phascolarctos cinereus
150.544468935,-33.506163516,Phascolarctos cinereus
145.5762,-36.8568,Phascolarctos cinereus
145.2488,-38.4821,Phascolarctos cinereus
141.2555,-37.5496,Phascolarctos cinereus
146.41943,-38.31444,Phascolarctos cinereus
153.424374,-28.595102,Phascolarctos cinereus
152.8507075,-31.5541692,Phascolarctos cinereus
150.844821098389,-29.8343048095703,Phascolarctos cinereus
152.188084578,-32.238949188,Phascolarctos cinereus
149.560891219,-32.936213982,Phascolarctos cinereus
142.7763,-37.0235,Phascolarctos cinereus
149.18875465,-30.61837161,Phascolarctos cinereus
150.975315009,-33.260642378,Phascolarctos cinereus
149.01443971,-31.30554516,Phascolarctos cinereus
153.534741667,-28.475444443,Phascolarctos cinereus
152.772315207,-28.667049431,Phascolarctos cinereus
153.5326741,-28.573256,Phascolarctos cinereus
152.029674,-32.768695,Phascolarctos cinereus
144.7096,-37.4568,Phascolarctos cinereus
151.4944,-32.6329,Phascolarctos cinereus
152.297852,-31.949155,Phascolarctos cinereus
145.204873,-37.7344444,Phascolarctos cinereus
146.0267,-36.6783,Phascolarctos cinereus
152.251541802,-32.339113963,Phascolarctos cinereus
138.891662,-34.673982,Phascolarctos cinereus
153.262906,-27.671748,Phascolarctos cinereus
152.944608,-27.196607,Phascolarctos cinereus
150.796641451,-34.226194322,Phascolarctos cinereus
146.1093,-36.2357,Phascolarctos cinereus
152.807815527,-30.744584393,Phascolarctos cinereus
144.1204,-37.7055,Phascolarctos cinereus
141.8734,-38.2072,Phascolarctos cinereus
152.9,-27.9,Phascolarctos cinereus
