Longitude,Latitude,species
-79.92765,43.933445,Procyon lotor
-80.900963,26.418658,Procyon lotor
-79.5578,35.742718000000004,Procyon lotor
-97.32309,35.206375,Procyon lotor
-98.4766,34.66263,Procyon lotor
-80.769504,28.229288,Procyon lotor
-75.03549,40.301777,Procyon lotor
-97.14443,32.547375,Procyon lotor
-89.21667,35.11528,Procyon lotor
-98.533741,32.55069,Procyon lotor
-77.191986,40.18125,Procyon lotor
-80.2121,44.333164,Procyon lotor
-76.807696000000007,37.320747,Procyon lotor
-83.0019,39.5853,Procyon lotor
-97.4094,35.55461,Procyon lotor
-98.14975,31.028269,Procyon lotor
-88.6325,39.74455,Procyon lotor
-88.98722,40.60583,Procyon lotor
-88.83333,40.48333,Procyon lotor
-108.878365,33.2505,Procyon lotor
-81.398842,46.013119,Procyon lotor
-82.370856,35.544571,Procyon lotor
-94.76608,34.117073,Procyon lotor
-97.924841,30.29626,Procyon lotor
-98.08722,30.390007,Procyon lotor
-97.484435,35.203872,Procyon lotor
-72.54095,41.253735,Procyon lotor
-97.33472,35.05821,Procyon lotor
-100.0361,35.156008,Procyon lotor
-100.240135,35.156193,Procyon lotor
-99.123179,26.528244,Procyon lotor
-96.95701,35.21139,Procyon lotor
-97.855606,34.48136,Procyon lotor
-88.81034,40.62089,Procyon lotor
-121.091958,35.54045,Procyon lotor
-89.08,39.38889,Procyon lotor
-119.528674,34.395685,Procyon lotor
-106.685,34.987912,Procyon lotor
-108.20068,39.972606999999996,Procyon lotor
-96.8874,29.90217,Procyon lotor
-72.177349,44.394673,Procyon lotor
-79.62434,39.795326,Procyon lotor
-81.850357,27.988227,Procyon lotor
-98.67058,29.991917,Procyon lotor
-120.03792,34.537247,Procyon lotor
-110.188481,31.720011,Procyon lotor
-119.794406,34.498551,Procyon lotor
-110.13881,31.55182,Procyon lotor
-123.44288,39.43239,Procyon lotor
-78.15075,43.21807,Procyon lotor
-77.83488,39.231033,Procyon lotor
-91.61432,37.997265,Procyon lotor
-122.04355,40.76052,Procyon lotor
-95.29836,38.57247,Procyon lotor
-96.1333,38.41396,Procyon lotor
-117.627933866487,42.8389954396402,Procyon lotor
-94.17019,32.668144,Procyon lotor
-95.81436,38.31067,Procyon lotor
-104.096,30.681,Procyon lotor
-99.786003,31.135,Procyon lotor
-97.605,38.827,Procyon lotor
-96.731628,39.695031,Procyon lotor
-100.90752,38.68332,Procyon lotor
-98.165239,39.433322,Procyon lotor
-121.024506,46.907795,Procyon lotor
-104.739,31.997,Procyon lotor
-117.054021221086,42.9739985503523,Procyon lotor
-121.76641,48.054913,Procyon lotor
-99.23761,30.703232,Procyon lotor
-100.114392,38.527924,Procyon lotor
-96.22283,38.96857,Procyon lotor
-99.810422,30.449011,Procyon lotor
-98.91871,38.432137,Procyon lotor
-123.426901055005,44.2191298878624,Procyon lotor
-95.883095,31.977593,Procyon lotor
-120.21728,47.64002,Procyon lotor
-99.359856,31.205477,Procyon lotor
-124.18908,42.069347,Procyon lotor
-124.12669,43.039536,Procyon lotor
-124.383705,43.115734,Procyon lotor
-98.20119,30.78963,Procyon lotor
-98.68469,30.707584,Procyon lotor
-122.75927,47.06611,Procyon lotor
-122.670686,45.787665,Procyon lotor
-122.51208,48.765827,Procyon lotor
-93.72405,36.012547,Procyon lotor
-117.74857,46.397163,Procyon lotor
-98.0826761222798,29.0648862087429,Procyon lotor
-100.392525,32.42665,Procyon lotor
-76.881771,42.094625,Procyon lotor
-99.76134,29.907795,Procyon lotor
-124.82666,48.68552,Procyon lotor
-100.058998,31.742001,Procyon lotor
-94.25619,36.337826,Procyon lotor
-122.52095,37.88522,Procyon lotor
-73.38241,43.827568,Procyon lotor
-100.969833,31.305124,Procyon lotor
-77.253494,42.08329,Procyon lotor
-82.05909,26.91142,Procyon lotor
-122.15323,47.051437,Procyon lotor
-99.372246,32.293148,Procyon lotor
-99.94777,31.950619,Procyon lotor
-72.93952,43.62918,Procyon lotor
-123.677321,46.2919999990578,Procyon lotor
-100.30737,29.985878,Procyon lotor
-76.723724,42.292755,Procyon lotor
-123.296499351655,44.2994303465956,Procyon lotor
-93.14691,34.57886,Procyon lotor
-91.02844,36.341297,Procyon lotor
-122.29399,47.05278,Procyon lotor
-93.466324,35.57336,Procyon lotor
-79.860649,44.719906,Procyon lotor
-104.514114,30.13038,Procyon lotor
-111.648254,40.113503,Procyon lotor
-100.79315,34.0579,Procyon lotor
-90.31533,35.21188,Procyon lotor
-123.52181,47.802643,Procyon lotor
-124.35941,47.63744,Procyon lotor
-103.787,30.685,Procyon lotor
-103.10511,31.51307,Procyon lotor
-100.68,34.018,Procyon lotor
-99.84419,34.74597,Procyon lotor
-117.52493,42.913994,Procyon lotor
-96.32776,35.466805,Procyon lotor
-97.509705,32.732407,Procyon lotor
-83.55897,44.654533,Procyon lotor
-97.981063,29.536275,Procyon lotor
-119.420815,44.81916,Procyon lotor
-97.167612,49.773905,Procyon lotor
-119.99508,42.044785,Procyon lotor
-97.025685,30.383544,Procyon lotor
-123.63933,45.490116,Procyon lotor
-99.33272,30.57094,Procyon lotor
-96.46463,28.43066,Procyon lotor
-96.76098,28.48299,Procyon lotor
-91.71596,29.753222,Procyon lotor
-92.0809693334361,30.4641979271233,Procyon lotor
-97.70681,33.655601,Procyon lotor
-102.639,32.636002,Procyon lotor
-89.77208,30.893585,Procyon lotor
-105.227390367853,36.5402734339416,Procyon lotor
-101.23831,29.70984,Procyon lotor
-101.65064,29.8308,Procyon lotor
-122.347,41.331966,Procyon lotor
-79.38291,41.56581,Procyon lotor
-104.172,30.829,Procyon lotor
-93.11111,29.824865,Procyon lotor
-79.976265,37.40596,Procyon lotor
-80.21119,25.745085,Procyon lotor
-92.905716,30.380592,Procyon lotor
-69.51954,45.860585,Procyon lotor
-89.20833,35.50028,Procyon lotor
-97.56267,32.499585,Procyon lotor
-106.38036,35.080013,Procyon lotor
-121.71756,36.8188,Procyon lotor
-99.28915,38.879166,Procyon lotor
-85.802142,44.121406,Procyon lotor
-81.676439,40.997285,Procyon lotor
-80.861877,41.658516,Procyon lotor
-99.78295,38.640274,Procyon lotor
-84.2829881957864,42.710580153395,Procyon lotor
-87.3405140949589,33.2445954567689,Procyon lotor
-94.789772,37.023598,Procyon lotor
-96.571388,39.183609,Procyon lotor
-99.387665,38.180538,Procyon lotor
-99.504372,38.938046,Procyon lotor
-80.731163,41.738602,Procyon lotor
-99.326393,37.06588,Procyon lotor
-96.544631999999993,39.393818,Procyon lotor
-92.0529672193476,30.0532112932822,Procyon lotor
-92.049965,30.370201,Procyon lotor
-91.80696,30.003214,Procyon lotor
-93.4590021234376,29.770216854581,Procyon lotor
-91.39895,29.527231,Procyon lotor
-92.07997,30.865185,Procyon lotor
-92.268974,30.803186,Procyon lotor
-98.448616,40.87111,Procyon lotor
-91.9489640721695,29.9082163125548,Procyon lotor
-91.40795,30.653194,Procyon lotor
-91.9873,30.258064,Procyon lotor
-92.5059797550729,30.3252012891901,Procyon lotor
-91.553955,31.195177,Procyon lotor
-92.1429698826719,30.1592076079619,Procyon lotor
-92.5959823185164,30.3981987020349,Procyon lotor
-92.42898,30.722189,Procyon lotor
-92.6379921874375,32.8131257642441,Procyon lotor
-92.2299703674126,29.64722423427,Procyon lotor
-92.50798,29.828217,Procyon lotor
-100.104156,39.364426,Procyon lotor
-92.5849846041907,31.1211759233435,Procyon lotor
-91.9049635459139,30.0872105600155,Procyon lotor
-91.6629567672662,29.9102169665565,Procyon lotor
-85.96318,37.695835,Procyon lotor
-99.196938,38.493786,Procyon lotor
-93.074005,32.402138,Procyon lotor
-91.6029566306425,30.3352032776251,Procyon lotor
-91.54295,30.77919,Procyon lotor
-91.582954,30.596195,Procyon lotor
-91.8189605832525,29.8582182884014,Procyon lotor
-93.377,30.106207,Procyon lotor
-92.43098,30.860184,Procyon lotor
-91.99897,30.168207,Procyon lotor
-92.2079704737521,29.8442177585602,Procyon lotor
-91.1459427393191,29.6562266411615,Procyon lotor
-91.28795,29.699224,Procyon lotor
-92.13397,29.919216,Procyon lotor
-92.595985,30.543194,Procyon lotor
-99.4551536998474,29.7451982486929,Procyon lotor
-91.8409626365997,30.3052036488019,Procyon lotor
-92.01997,32.83613,Procyon lotor
-91.881966,30.193207,Procyon lotor
-93.2710022722236,31.1151742507098,Procyon lotor
-91.7529601529444,30.2372060684388,Procyon lotor
-90.770933512507,29.7692237818362,Procyon lotor
-90.94012,33.16902,Procyon lotor
-92.27097,30.68819,Procyon lotor
-90.3649225414724,29.5722312786289,Procyon lotor
-92.28697,30.164207,Procyon lotor
-92.7379910474013,31.8051547215342,Procyon lotor
-92.4529760489353,29.6462236878303,Procyon lotor
-121.575775013591,39.0088225154432,Procyon lotor
-91.38097,33.982098,Procyon lotor
