Longitude,Latitude,species
-103.065865,30.422836,Puma concolor
-116.47017,32.90768,Puma concolor
-117.723526,33.832546,Puma concolor
-117.32839,33.503242,Puma concolor
-123.92582,40.706673,Puma concolor
-105.12362,36.863777,Puma concolor
-121.81577,48.49329,Puma concolor
-116.46183,33.536167,Puma concolor
-118.517075,48.437244,Puma concolor
-114.90061,39.418232,Puma concolor
-106.486961,33.935829,Puma concolor
-91.42596,31.39117,Puma concolor
-122.57154,51.43492,Puma concolor
-117.8549,48.390648,Puma concolor
-119.7545,48.555023,Puma concolor
-115.71511,43.987274,Puma concolor
-117.23216,48.544025,Puma concolor
-117.91164,46.29285,Puma concolor
-123.82704,47.142784,Puma concolor
-93.83602,32.333138,Puma concolor
-103.662,30.306,Puma concolor
-124.36306,48.285,Puma concolor
-91.6969689872933,33.2281166751632,Puma concolor
-118.67192,46.03976,Puma concolor
-115.47075,43.394825,Puma concolor
-118.20252,48.865868,Puma concolor
-117.32967,45.683075,Puma concolor
-118.4358,45.570263,Puma concolor
-119.69222,34.897778,Puma concolor
-116.832956491244,45.5591779981196,Puma concolor
-120.353889,34.539444,Puma concolor
-122.03063,46.758335,Puma concolor
-119.957222,34.573333,Puma concolor
-119.97111,34.445557,Puma concolor
-124.15627,47.91664,Puma concolor
-119.578611,34.508611,Puma concolor
-120.07445,34.985558,Puma concolor
-121.69231,47.153896,Puma concolor
-122.15323,47.051437,Puma concolor
-120.062225,34.53361,Puma concolor
-123.1144,40.647724,Puma concolor
-121.399895,47.39219,Puma concolor
-122.53329,41.587986,Puma concolor
-121.81802,36.53311,Puma concolor
-108.48297,33.424767,Puma concolor
-104.883471,31.883602,Puma concolor
-88.99361,40.48417,Puma concolor
-112.69484,33.933178,Puma concolor
-121.78072,47.411125,Puma concolor
-84.37381,42.603535,Puma concolor
-120.192559463535,47.8705690233128,Puma concolor
-120.242775,34.875,Puma concolor
-113.52502,39.09454,Puma concolor
-120.155926,37.570161,Puma concolor
-110.194317,31.686575,Puma concolor
-110.734784300234,39.5423927707487,Puma concolor
-110.66495,32.142326,Puma concolor
-110.5529,32.05238,Puma concolor
-110.662205,31.985748,Puma concolor
-124.064735,41.448257,Puma concolor
-108.536935,32.654413,Puma concolor
-118.19438,35.228775,Puma concolor
-120.56779,38.459476,Puma concolor
-88.844536,40.49456,Puma concolor
-108.71761,32.722225,Puma concolor
-109.00901,31.73518,Puma concolor
-117.944918927449,35.8427039968164,Puma concolor
-122.248684,37.40727,Puma concolor
-66.233333,45.85,Puma concolor
-122.645721,44.854771,Puma concolor
-114.069496,50.00502,Puma concolor
-119.303064,34.425606,Puma concolor
-100.9813,31.303425,Puma concolor
-101.146645,29.88496,Puma concolor
-109.155519,40.884235,Puma concolor
-97.89328,32.025337,Puma concolor
-110.38343,31.526112,Puma concolor
-120.55341,35.384506,Puma concolor
-120.456604,34.64109,Puma concolor
-114.45198,37.92962,Puma concolor
-116.70111,33.187515,Puma concolor
-109.164046,40.428741,Puma concolor
-108.634282955284,33.8820869962724,Puma concolor
-104.86329,32.03819,Puma concolor
-107.834212,35.209827,Puma concolor
-107.122851,34.469356,Puma concolor
-104.8497,36.846005,Puma concolor
-105.122133,36.054498,Puma concolor
-105.8126,32.895546,Puma concolor
-106.421653,36.695175,Puma concolor
-106.50755,36.630035,Puma concolor
-107.25934,37.01567,Puma concolor
-105.753296,33.464165,Puma concolor
-107.33874,36.671654,Puma concolor
-105.550558,36.308102,Puma concolor
-103.707648,36.994112,Puma concolor
-108.462836,32.48072,Puma concolor
-104.993508,36.434322,Puma concolor
-105.46005,32.95146,Puma concolor
-105.77083,34.221638,Puma concolor
-108.8128,33.874382,Puma concolor
-106.88921,36.129805,Puma concolor
-105.689449,33.55473,Puma concolor
-107.591095,36.374004,Puma concolor
-105.61978,35.800513,Puma concolor
-106.51782,32.46335,Puma concolor
-105.68975,35.65947,Puma concolor
-105.388268,33.655255,Puma concolor
-108.945894,33.976414,Puma concolor
-108.50098,31.84738,Puma concolor
-104.542129,36.856757,Puma concolor
-107.723094,32.63665,Puma concolor
-106.39408,36.407043,Puma concolor
-104.439376,36.819538,Puma concolor
-106.537349807256,32.6564745059428,Puma concolor
-104.61184,35.963773,Puma concolor
-105.55201,35.602486,Puma concolor
-105.846306,33.066702,Puma concolor
-107.06969,36.427525,Puma concolor
-105.33271,35.96394,Puma concolor
-106.871915,35.868658,Puma concolor
-105.727659,32.968231,Puma concolor
-107.509458,33.395934,Puma concolor
-107.343589,34.136121,Puma concolor
-105.308611,35.468106,Puma concolor
-107.220505,36.66491,Puma concolor
-108.176538,34.92388,Puma concolor
-106.489349179208,33.3007593411548,Puma concolor
-106.61115476245,33.0972614619949,Puma concolor
-106.328749121392,33.7115457961493,Puma concolor
-105.32302,36.306563,Puma concolor
-108.13318,34.30614,Puma concolor
-106.611156013388,33.2716585395665,Puma concolor
-106.43245,33.61525,Puma concolor
-108.361615250381,31.603660883506,Puma concolor
-111.7424,35.267178,Puma concolor
-106.38627,34.676105,Puma concolor
-106.884155,36.38228,Puma concolor
-105.73319,36.097397,Puma concolor
-105.275406,33.402108,Puma concolor
-107.74062,33.36398,Puma concolor
-107.390338,34.02535,Puma concolor
-106.18656,35.958534,Puma concolor
-106.63699,35.754898,Puma concolor
-104.42354,36.918865,Puma concolor
-106.381423,35.685985,Puma concolor
-123.474,58.518,Puma concolor
-106.830745,36.004512,Puma concolor
-107.06004,36.94805,Puma concolor
-106.257037,36.448148,Puma concolor
-107.13902,33.31705,Puma concolor
-108.547697,33.020694,Puma concolor
-105.523449,32.815907,Puma concolor
-104.516507,36.613808,Puma concolor
-105.22642,33.628597,Puma concolor
-107.70614,32.91702,Puma concolor
-107.818768,34.084566,Puma concolor
-107.732202,33.093687,Puma concolor
-107.767944,33.607862,Puma concolor
-106.08186,36.410282,Puma concolor
-106.7157,36.58223,Puma concolor
-103.94709,35.914703,Puma concolor
-108.42012,32.581013,Puma concolor
-108.046167,32.880353,Puma concolor
-108.545914,34.06339,Puma concolor
-107.980267,34.325542,Puma concolor
-107.451109,33.000367,Puma concolor
-106.722881,36.093428,Puma concolor
-105.65309,33.36796,Puma concolor
-106.52147,36.477375,Puma concolor
-106.138146,36.923517,Puma concolor
-105.50002,36.93662,Puma concolor
-120.61882,47.860832,Puma concolor
-105.577561,32.923914,Puma concolor
-106.87383,36.87819,Puma concolor
-108.442868,33.558871,Puma concolor
-105.55263,35.692646,Puma concolor
-106.582883,36.368629,Puma concolor
-107.716151,34.341358,Puma concolor
-107.559286,33.773585,Puma concolor
-106.786336,36.491952,Puma concolor
-108.60312,33.40033,Puma concolor
-108.855782,32.69942,Puma concolor
-105.551396,36.65197,Puma concolor
-107.132914,32.672559,Puma concolor
-108.09953,33.32427,Puma concolor
-107.115338,33.405473,Puma concolor
-105.874446,34.789065,Puma concolor
-106.052574,36.55388,Puma concolor
-104.334944,35.921085,Puma concolor
-107.653966,34.042039,Puma concolor
-106.835773,36.22078,Puma concolor
-116.060847,46.021224,Puma concolor
-105.41388,39.851097,Puma concolor
-91.62,30.07,Puma concolor
-108.78,31.59,Puma concolor
-103.53879,29.492256,Puma concolor
-121.35887,37.112427,Puma concolor
-110.57067,43.636337,Puma concolor
-119.879853,34.792755,Puma concolor
-107.4283,44.8749,Puma concolor
-121.57409,49.09845,Puma concolor
-114.74581,44.068203,Puma concolor
-123.983192,41.195503,Puma concolor
-108.96334,33.58735,Puma concolor
-104.589551,29.963265,Puma concolor
-122.26696,38.98383,Puma concolor
-110.945877,32.754741,Puma concolor
-116.655777,33.285575,Puma concolor
-119.70424,39.13745,Puma concolor
-118.8994,34.539436,Puma concolor
-110.291142,41.907334,Puma concolor
-103.49319,29.148563,Puma concolor
-108.608445,32.835225,Puma concolor
-103.129395,29.647018,Puma concolor
-121.42236,49.17883,Puma concolor
-103.614006,29.167194,Puma concolor
-106.385414,35.128297,Puma concolor
-120.31667,39.503494,Puma concolor
-110.69783,42.246834,Puma concolor
-100.86376,29.798548,Puma concolor
-121.478316,37.10791,Puma concolor
-118.987687,34.364283,Puma concolor
-110.559926,32.910181,Puma concolor
-123.01089,38.407448,Puma concolor
-120.50616,49.458596,Puma concolor
-122.071944,52.116944,Puma concolor
-109.480627,32.896401,Puma concolor
-110.445879,32.898525,Puma concolor
-110.3569,31.81431,Puma concolor
-117.23406,49.64367,Puma concolor
-107.00499,34.107037,Puma concolor
-116.842413,33.165131,Puma concolor
-119.21337,34.341324,Puma concolor
-108.42702,31.922716,Puma concolor
-122.089836,37.222565,Puma concolor
-103.345069,29.346289,Puma concolor
-103.176,29.336,Puma concolor
-123.032867,40.375488,Puma concolor
-107.222013,33.159427,Puma concolor
-109.178921,31.87907,Puma concolor
-120.34337,38.214485,Puma concolor
-105.3903,42.1976,Puma concolor
-106.61249,41.454838,Puma concolor
-109.2471,44.3786,Puma concolor
-123.16384,39.26281,Puma concolor
-111.574443,41.270184,Puma concolor
-123.43056,44.58819,Puma concolor
-119.91216,36.72332,Puma concolor
-122.45767,37.526585,Puma concolor
-111.95483,40.888134,Puma concolor
-119.70734,38.55912,Puma concolor
-121.64962,48.781902,Puma concolor
-120.042946,34.70822,Puma concolor
-103.2505,29.211369,Puma concolor
