Longitude,Latitude,species
-152.73,70.53,Rangifer tarandus
-152.72,69.94,Rangifer tarandus
-152.69,70.72,Rangifer tarandus
-152.68,70.63,Rangifer tarandus
-152.61,69.67,Rangifer tarandus
-152.6,70.21,Rangifer tarandus
-152.52,70.82,Rangifer tarandus
-152.48,70.12,Rangifer tarandus
-152.42,70,Rangifer tarandus
-152.41,70.72,Rangifer tarandus
-152.37,70.45,Rangifer tarandus
-152.24,70.21,Rangifer tarandus
-152.21,70.37,Rangifer tarandus
-152.06,70,Rangifer tarandus
-152.07,70.12,Rangifer tarandus
-152.04,69.77,Rangifer tarandus
-152,63.03,Rangifer tarandus
-151.91,70.34,Rangifer tarandus
-151.88,70.43,Rangifer tarandus
-151.89,70.55,Rangifer tarandus
-151.83,70.21,Rangifer tarandus
-151.8,69.87,Rangifer tarandus
-151.79,63.09,Rangifer tarandus
-146.07,70.13,Rangifer tarandus
-145.59,70.05,Rangifer tarandus
-145.15,69.98,Rangifer tarandus
-144.79,62.02,Rangifer tarandus
-144.35,62.36,Rangifer tarandus
-144.35,69.79,Rangifer tarandus
-144.18,70.03,Rangifer tarandus
-143.65,69.92,Rangifer tarandus
-143.4,62.55,Rangifer tarandus
-143.27,70.07,Rangifer tarandus
-143.2,69.8,Rangifer tarandus
-142.09,69.82,Rangifer tarandus
-141.97,62.63,Rangifer tarandus
-141.84,69.79,Rangifer tarandus
-141.58,69.69,Rangifer tarandus
-141.3,61.98,Rangifer tarandus
-164.22,66.38,Rangifer tarandus
-163,69.39,Rangifer tarandus
-162.68,69.87,Rangifer tarandus
-162.62,69.7,Rangifer tarandus
-162.38,69.91,Rangifer tarandus
-162.23,69.77,Rangifer tarandus
-162.12,69.63,Rangifer tarandus
-162.02,70.1,Rangifer tarandus
-161.91,70.3,Rangifer tarandus
-161.77,69.96,Rangifer tarandus
-161.73,69.77,Rangifer tarandus
-161.65,69.88,Rangifer tarandus
-161.61,70.23,Rangifer tarandus
-161.46,69.73,Rangifer tarandus
-161.27,70.19,Rangifer tarandus
-161.27,69.85,Rangifer tarandus
-161.15,70.09,Rangifer tarandus
-161.13,69.52,Rangifer tarandus
-161.13,70.28,Rangifer tarandus
-161.08,69.69,Rangifer tarandus
-160.98,70.16,Rangifer tarandus
-160.94,69.81,Rangifer tarandus
-160.81,69.7,Rangifer tarandus
-160.65,69.79,Rangifer tarandus
-160.64,70.1,Rangifer tarandus
-160.44,70.4,Rangifer tarandus
-160.35,70.29,Rangifer tarandus
-160.34,70.14,Rangifer tarandus
-160.06,70.07,Rangifer tarandus
-160.05,70.26,Rangifer tarandus
-159.78,70.3,Rangifer tarandus
-159.77,70.66,Rangifer tarandus
-159.66,70.2,Rangifer tarandus
-159.55,70.44,Rangifer tarandus
-159.45,70.04,Rangifer tarandus
-159.42,70.72,Rangifer tarandus
-159.36,70.24,Rangifer tarandus
-159.34,70.54,Rangifer tarandus
-159.33,70.15,Rangifer tarandus
-159.23,70.32,Rangifer tarandus
-159.11,70.1,Rangifer tarandus
-159.11,70.44,Rangifer tarandus
-159.05,70.61,Rangifer tarandus
-159,70.74,Rangifer tarandus
-158.91,70.17,Rangifer tarandus
-158.91,70.32,Rangifer tarandus
-158.82,70.5,Rangifer tarandus
-158.77,70.09,Rangifer tarandus
-158.66,70.63,Rangifer tarandus
-158.63,70.29,Rangifer tarandus
-158.54,70.4,Rangifer tarandus
-158.53,70.54,Rangifer tarandus
-158.53,70.73,Rangifer tarandus
-158.46,70.16,Rangifer tarandus
-158.34,70.07,Rangifer tarandus
-158.34,70.64,Rangifer tarandus
-158.3,70.31,Rangifer tarandus
-158.23,70.42,Rangifer tarandus
-158.13,70.19,Rangifer tarandus
-158.07,70.8,Rangifer tarandus
-158.04,70.71,Rangifer tarandus
-158.01,70.07,Rangifer tarandus
-157.8,70.13,Rangifer tarandus
-157.8,70.34,Rangifer tarandus
-157.79,70.76,Rangifer tarandus
-157.75,70.66,Rangifer tarandus
