Longitude,Latitude,species
-78.118655,-1.445444,Saguinus fuscicollis
-77.815698,-0.993554,Saguinus fuscicollis
-77.993335,-1.495369,Saguinus fuscicollis
-77.264595,-0.878297,Saguinus fuscicollis
-73.789905,-4.922213,Saguinus fuscicollis
-70.09982,-12.569507,Saguinus fuscicollis
-72.911739,-7.451084,Saguinus fuscicollis
-72.849832,-3.44345,Saguinus fuscicollis
-76.628047,1.100118,Saguinus fuscicollis
-74.272488,-8.687885,Saguinus fuscicollis
-74.796293,-8.775732,Saguinus fuscicollis
-71.239854,-12.651703,Saguinus fuscicollis
-69.048744,-12.536372,Saguinus fuscicollis
-77.633629,-5.682822,Saguinus fuscicollis
-67.868626,-9.954379,Saguinus fuscicollis
-73.254655,-4.392387,Saguinus fuscicollis
-69.409916,-12.875318,Saguinus fuscicollis
-76.459129,-0.471806,Saguinus fuscicollis
-73.93713,-5.055207,Saguinus fuscicollis
-73.664222,-4.60725,Saguinus fuscicollis
-73.826028,-4.654694,Saguinus fuscicollis
-77.694738,-1.044467,Saguinus fuscicollis
-72.888266,-3.27134,Saguinus fuscicollis
-70.70665,-12.355988,Saguinus fuscicollis
-69.119797,-12.604826,Saguinus fuscicollis
-69.498653,-12.078435,Saguinus fuscicollis
-77.20182,-5.963837,Saguinus fuscicollis
-74.307625,-7.994492,Saguinus fuscicollis
-74.1068,-9.756025,Saguinus fuscicollis
-73.873016,-9.879942,Saguinus fuscicollis
-73.64105,-9.514321,Saguinus fuscicollis
-76.454548,-0.120416,Saguinus fuscicollis
-75.517413,-2.811803,Saguinus fuscicollis
-75.275026,-3.033817,Saguinus fuscicollis
-75.433588,-2.669404,Saguinus fuscicollis
-75.360127,-2.9126,Saguinus fuscicollis
-75.216504,-3.166125,Saguinus fuscicollis
-75.125713,-3.274442,Saguinus fuscicollis
-74.191398,-3.332813,Saguinus fuscicollis
-73.97088,-3.576003,Saguinus fuscicollis
-73.844634,-3.378659,Saguinus fuscicollis
-73.765822,-3.494988,Saguinus fuscicollis
-72.502174,-4.025404,Saguinus fuscicollis
-75.206066,-0.140974,Saguinus fuscicollis
-73.940577,-2.636512,Saguinus fuscicollis
-73.347351,-2.32195,Saguinus fuscicollis
-73.088219,-2.55998,Saguinus fuscicollis
-72.2117,-2.694389,Saguinus fuscicollis
-73.351741,-2.003237,Saguinus fuscicollis
-73.207152,-2.514279,Saguinus fuscicollis
-70.362843,-3.892436,Saguinus fuscicollis
-71.329151,-3.397391,Saguinus fuscicollis
-73.716421,-4.699959,Saguinus fuscicollis
-73.36325,-4.480467,Saguinus fuscicollis
-76.37533,-3.182795,Saguinus fuscicollis
-75.298399,-6.429596,Saguinus fuscicollis
-74.63895,-0.432607,Saguinus fuscicollis
-73.40425,-1.810324,Saguinus fuscicollis
-72.794958,-2.598895,Saguinus fuscicollis
-72.348017,-4.567009,Saguinus fuscicollis
-72.871428,-4.647914,Saguinus fuscicollis
-72.826766,-4.738279,Saguinus fuscicollis
-72.644339,-4.590678,Saguinus fuscicollis
-76.980368,-0.473027,Saguinus fuscicollis
-77.536011,-1.063553,Saguinus fuscicollis
-68.926518,-12.535168,Saguinus fuscicollis
-69.550639,-12.908929,Saguinus fuscicollis
-68.353056,-13.753056,Saguinus fuscicollis
-68.7,-12.517,Saguinus fuscicollis
-72.85,-8.6,Saguinus fuscicollis
-72.783333,-8.666667,Saguinus fuscicollis
-72.816667,-8.366667,Saguinus fuscicollis
-69.607,-13.142,Saguinus fuscicollis
-69.617,-13.367,Saguinus fuscicollis
-69.295,-12.838,Saguinus fuscicollis
-68.738,-12.658,Saguinus fuscicollis
-65.525,-9.786,Saguinus fuscicollis
-68.913,-12.955,Saguinus fuscicollis
-66.733,-10.767,Saguinus fuscicollis
-67.5,-11,Saguinus fuscicollis
-70.083333,-6.833333,Saguinus fuscicollis
-68.766667,-6.466667,Saguinus fuscicollis
-69.25,-12.666667,Saguinus fuscicollis
-68.89,-11.08,Saguinus fuscicollis
-69.5,-5.5,Saguinus fuscicollis
-73.949997,-5.633333,Saguinus fuscicollis
-76.55852,0.57978,Saguinus fuscicollis
-73.253828,-3.749125,Saguinus fuscicollis
-75.63098,1.6175,Saguinus fuscicollis
