Longitude,Latitude,species
-98.23051,26.175993,Sciurus niger
-97.128769,33.225199,Sciurus niger
-83.85691,43.365337,Sciurus niger
-76.873446,34.789191,Sciurus niger
-83.209702,41.607508,Sciurus niger
-85.090131,40.984741,Sciurus niger
-82.556526,40.70043,Sciurus niger
-101.97278,48.72889,Sciurus niger
-98.241571,29.61029,Sciurus niger
-97.10064,32.587605,Sciurus niger
-116.98799,46.731293,Sciurus niger
-118.97733,34.08247,Sciurus niger
-97.55997,32.26781,Sciurus niger
-76.66262,41.099631,Sciurus niger
-104.81972,41.14,Sciurus niger
-106.3125,42.86667,Sciurus niger
-81.24064,40.975605,Sciurus niger
-96.835728,32.373106,Sciurus niger
-95.663109,32.920725,Sciurus niger
-94.912533,29.490475,Sciurus niger
-93.15716,43.87509,Sciurus niger
-85.620929,40.09496,Sciurus niger
-84.643989,40.097167,Sciurus niger
-98.365423,26.17628,Sciurus niger
-93.318954,35.503975,Sciurus niger
-97.57305,31.791155,Sciurus niger
-97.51007,32.735714,Sciurus niger
-98.412198,30.27577,Sciurus niger
-97.015853,32.311806,Sciurus niger
-90.662605,38.446674,Sciurus niger
-90.7575,34.77361,Sciurus niger
-81.515755,27.664827,Sciurus niger
-93.140327,44.478735,Sciurus niger
-94.156487,36.791728,Sciurus niger
-104.249066,32.43664,Sciurus niger
-121.517874,37.17546,Sciurus niger
-116.55218,43.558502,Sciurus niger
-79.521989,40.816453,Sciurus niger
-98.369026,30.737397,Sciurus niger
-98.57305,29.2581,Sciurus niger
-120.893617,38.80495,Sciurus niger
-118.423253,35.754869,Sciurus niger
-118.144662,34.26596,Sciurus niger
-89.97668,40.385387,Sciurus niger
-99.7564,29.62878,Sciurus niger
-99.77145,29.7248,Sciurus niger
-88.743929,37.171941,Sciurus niger
-96.167612,43.066973,Sciurus niger
-80.09039,38.243949,Sciurus niger
-97.1621,30.048815,Sciurus niger
-98.002889,30.053761,Sciurus niger
-88.84807,37.271114,Sciurus niger
-80.298429,36.873579,Sciurus niger
-100.531742,33.056149,Sciurus niger
-98.424127,30.091816,Sciurus niger
-91.708104,37.967431,Sciurus niger
-79.237214,38.970172,Sciurus niger
-98.344515,30.20316,Sciurus niger
-86.255,34.073,Sciurus niger
-122.308402,38.009409,Sciurus niger
-118.02433,34.219383,Sciurus niger
-122.473814,37.791041,Sciurus niger
-85.38522,42.401447,Sciurus niger
-119.729604,36.975541,Sciurus niger
-95.71289,37.09024,Sciurus niger
-98.048022,34.218986,Sciurus niger
-98.136185,26.079493,Sciurus niger
-95.826878,36.270347,Sciurus niger
-79.103615,42.158035,Sciurus niger
-118.403773,34.59923,Sciurus niger
-122.49194,38.322224,Sciurus niger
-91.18812,29.718473,Sciurus niger
-81.85795,41.04086,Sciurus niger
-122.021692,37.822316,Sciurus niger
-112.0443,46.59183,Sciurus niger
-112.025356,42.621581,Sciurus niger
-83.4,39.9,Sciurus niger
-96.1685,38.24272,Sciurus niger
-96.27147,38.38324,Sciurus niger
-98.01815,38.18463,Sciurus niger
-94.718406,37.418431,Sciurus niger
-93.232486,30.484977,Sciurus niger
-96.580783,39.199467,Sciurus niger
-89.42182,31.31194,Sciurus niger
-97.879829,30.019274,Sciurus niger
-83.6,39.18,Sciurus niger
-83.06,39.33,Sciurus niger
-83.89,39.69,Sciurus niger
-94.775085,31.186584,Sciurus niger
-96.37166,30.67158,Sciurus niger
-95.44544,30.808688,Sciurus niger
-91.29716,33.26714,Sciurus niger
-97.183624,32.997902,Sciurus niger
-79.647964,40.803642,Sciurus niger
-97.44904,35.2032,Sciurus niger
-97.286735,30.145932,Sciurus niger
-81.91238,31.547846,Sciurus niger
-81.74287,31.749563,Sciurus niger
-82.05921,32.04377,Sciurus niger
-81.905018,40.483577,Sciurus niger
-78.88,39.695557,Sciurus niger
-98.2795,30.567713,Sciurus niger
-123.0657,43.79756,Sciurus niger
-89.72075,31.192356,Sciurus niger
-97.056991,33.155023,Sciurus niger
-82.99207,38.731373,Sciurus niger
-82.94978,40.470894,Sciurus niger
-93.56983,42.09644,Sciurus niger
-122.061373,37.085812,Sciurus niger
-98.249402,30.313024,Sciurus niger
-88.824615,41.151608,Sciurus niger
-98.34596,40.915537,Sciurus niger
-89.28313,37.359142,Sciurus niger
-96.032509,41.518054,Sciurus niger
-83.566969,41.012411,Sciurus niger
-94.88821,34.53903,Sciurus niger
-100.6417,30.572756,Sciurus niger
-95.636051,30.396214,Sciurus niger
-121.515527,36.83094,Sciurus niger
-87.444336,30.479256,Sciurus niger
-89.94311,34.649555,Sciurus niger
-81.19693,41.16864,Sciurus niger
-91.055493,35.007858,Sciurus niger
-90.71894,34.934312,Sciurus niger
-90.78983,35.00815,Sciurus niger
-89.38556,36.03444,Sciurus niger
-89.355887,35.817531,Sciurus niger
-89.14988,36.35817,Sciurus niger
-89.62773,35.76295,Sciurus niger
-90.44994,35.272564,Sciurus niger
-90.640512,36.071638,Sciurus niger
-90.07722,35.342292,Sciurus niger
-91.370098,35.676564,Sciurus niger
-90.651738,34.701129,Sciurus niger
-91.316663,34.881866,Sciurus niger
-91.92846,35.788124,Sciurus niger
-89.79543,35.54728,Sciurus niger
-89.488716,34.54987,Sciurus niger
-89.940796,34.41653,Sciurus niger
-86.16722,36.39083,Sciurus niger
-90.945625,36.944782,Sciurus niger
-83.02513,36.57331,Sciurus niger
-81.63298,33.550014,Sciurus niger
-89.20833,35.50028,Sciurus niger
-88.61135,35.420254,Sciurus niger
-89.36833,35.1575,Sciurus niger
-89.23342,40.259483,Sciurus niger
-122.578278,45.307798,Sciurus niger
-97.68889,31.056175,Sciurus niger
-118.913826,35.44916,Sciurus niger
-82.99285,41.459164,Sciurus niger
-89.496202,37.295884,Sciurus niger
-96.991412,44.326636,Sciurus niger
-84.247215,43.61558,Sciurus niger
-120.37651,36.772305,Sciurus niger
-97.40303,32.620888,Sciurus niger
-98.217597,32.215155,Sciurus niger
-103.108719,41.676413,Sciurus niger
-96.618533,33.823166,Sciurus niger
-96.14534,33.5467,Sciurus niger
-98.0827,30.18687,Sciurus niger
-90.800234,37.691829,Sciurus niger
-97.63255,27.7156,Sciurus niger
-84.30427,41.4999,Sciurus niger
-98.394253,30.607875,Sciurus niger
-97.874466,28.064032,Sciurus niger
-89.126054,41.336508,Sciurus niger
-99.78611,30.9175,Sciurus niger
-77.08466,35.344147,Sciurus niger
-97.186039,33.139662,Sciurus niger
-84.021515,30.452335,Sciurus niger
-93.304993,29.795963,Sciurus niger
-95.191754,32.301553,Sciurus niger
-121.69062,37.220776,Sciurus niger
-81.77203,41.29085,Sciurus niger
-97.280624,28.296062,Sciurus niger
-81.412186,41.332,Sciurus niger
-84.892746,39.88806,Sciurus niger
-98.442478,31.022739,Sciurus niger
-97.702576,31.889284,Sciurus niger
-84.621491,33.38183,Sciurus niger
-89.91492,38.567703,Sciurus niger
-98.27098,29.874718,Sciurus niger
-97.58562,29.592827,Sciurus niger
-98.146687,27.094208,Sciurus niger
-98.352196,28.482199,Sciurus niger
