Longitude,Latitude,species
-100.74,36.83,Sigmodon hispidus
-102.987824,29.516904,Sigmodon hispidus
-100.69283,31.345757,Sigmodon hispidus
-100.282776,29.455833,Sigmodon hispidus
-97.38202,30.399284,Sigmodon hispidus
-82.84566,34.670418,Sigmodon hispidus
-96.31245,29.592035,Sigmodon hispidus
-98.38634,33.751892,Sigmodon hispidus
-97.73437,30.165573,Sigmodon hispidus
-88.7982,30.500324,Sigmodon hispidus
-97.41867,32.529957,Sigmodon hispidus
-98.649,26.602,Sigmodon hispidus
-98.865783,26.612828,Sigmodon hispidus
-95.7794,36.1478,Sigmodon hispidus
-95.28834,36.19174,Sigmodon hispidus
-96.523,34.232304,Sigmodon hispidus
-96.8117062991689,33.8860837517938,Sigmodon hispidus
-96.88139,35.703117,Sigmodon hispidus
-81.180358,35.817422,Sigmodon hispidus
-78.5835,35.9395,Sigmodon hispidus
-96.3352,38.45152,Sigmodon hispidus
-104.87,24.75,Sigmodon hispidus
-69.0092,-14,Sigmodon hispidus
-68.9414,-14.8278,Sigmodon hispidus
-97.23731,33.33614,Sigmodon hispidus
-82.3332,29.5836,Sigmodon hispidus
-97.663212,32.434106,Sigmodon hispidus
-99.14165,34.24747,Sigmodon hispidus
-115.512778,33.0825,Sigmodon hispidus
-83.260278,33.096667,Sigmodon hispidus
-84.68089,34.612195,Sigmodon hispidus
-81.919586,35.40275,Sigmodon hispidus
-105.824244,35.796457,Sigmodon hispidus
-94.88821,34.53903,Sigmodon hispidus
-107.78243,32.122902,Sigmodon hispidus
-100.67097,31.993677,Sigmodon hispidus
-101.419142,35.384718,Sigmodon hispidus
-80.44127,26.14627,Sigmodon hispidus
-81.7489,26.028873,Sigmodon hispidus
-93.22202,36.53263,Sigmodon hispidus
-83.24435,35.426876,Sigmodon hispidus
-81.8347,29.187958,Sigmodon hispidus
-98.469838,34.638923,Sigmodon hispidus
-96.44231,36.83998,Sigmodon hispidus
-99.49982,36.57457,Sigmodon hispidus
-89.866035,35.28098,Sigmodon hispidus
-89.719,35.456017,Sigmodon hispidus
-87.851383,36.492517,Sigmodon hispidus
-82.41827,36.100216,Sigmodon hispidus
-96.059,35.622,Sigmodon hispidus
-89.892464,34.884155,Sigmodon hispidus
-89.75337,35.56412,Sigmodon hispidus
-90.754456,34.906599,Sigmodon hispidus
-90.49495,35.987076,Sigmodon hispidus
-90.683613,36.025446,Sigmodon hispidus
-92.216356,36.026806,Sigmodon hispidus
-84.192027,36.378695,Sigmodon hispidus
-89.928361,34.426792,Sigmodon hispidus
-89.35,35.24361,Sigmodon hispidus
-88.003536,35.837794,Sigmodon hispidus
-89.457356,35.049454,Sigmodon hispidus
-88.56363,35.17523,Sigmodon hispidus
-88.98883,35.218494,Sigmodon hispidus
-90.028992,35.344883,Sigmodon hispidus
-84.11448,35.605965,Sigmodon hispidus
-94.23187,36.277912,Sigmodon hispidus
-88.730583,35.8255,Sigmodon hispidus
-89.286865,35.02504,Sigmodon hispidus
-89.20833,35.50028,Sigmodon hispidus
-88.26395,35.80888,Sigmodon hispidus
-90.008385,35.52092,Sigmodon hispidus
-99.68485,35.953674,Sigmodon hispidus
-97.014929,32.311411,Sigmodon hispidus
-97.353578,30.160378,Sigmodon hispidus
-96.21052,30.5667,Sigmodon hispidus
-95.733465,29.445721,Sigmodon hispidus
-94.233724,36.067634,Sigmodon hispidus
-100.54052,31.50566,Sigmodon hispidus
-100.024921,30.706674,Sigmodon hispidus
-101.368341,32.388103,Sigmodon hispidus
-101.466312,32.299623,Sigmodon hispidus
-96.979641,28.824252,Sigmodon hispidus
-100.985001,29.896668,Sigmodon hispidus
-99.598175,31.810825,Sigmodon hispidus
-99.76587,28.423588,Sigmodon hispidus
-100.24761,31.550558,Sigmodon hispidus
-95.69043,30.526085,Sigmodon hispidus
-100.01194,29.66917,Sigmodon hispidus
-94.871923,31.162636,Sigmodon hispidus
-109.05967,31.813833,Sigmodon hispidus
-92.75569,31.903458,Sigmodon hispidus
-92.984044,31.013724,Sigmodon hispidus
-94.753334,31.495,Sigmodon hispidus
-102.238344,33.471066,Sigmodon hispidus
-101.1251,34.470931,Sigmodon hispidus
-102.532542,33.567957,Sigmodon hispidus
-100.430695,32.953514,Sigmodon hispidus
-98.49739,27.681124,Sigmodon hispidus
-102.37338,33.55154,Sigmodon hispidus
-98.887024,31.600979,Sigmodon hispidus
-99.15827,31.536428,Sigmodon hispidus
-98.99847,31.764103,Sigmodon hispidus
-99.04004,32.074173,Sigmodon hispidus
-99.027616,31.591344,Sigmodon hispidus
-99.020579,31.858522,Sigmodon hispidus
-103.704394,29.712725,Sigmodon hispidus
-103.74905,29.87154,Sigmodon hispidus
-103.663568,29.79799,Sigmodon hispidus
-103.25246,29.808996,Sigmodon hispidus
-98.390087,26.176797,Sigmodon hispidus
-98.18099,26.396383,Sigmodon hispidus
-102.662424,32.711709,Sigmodon hispidus
-100.542647,32.709245,Sigmodon hispidus
-102.887405,32.5384,Sigmodon hispidus
-95.535167,33.805717,Sigmodon hispidus
-98.42867,30.475279,Sigmodon hispidus
-99.89686,32.756895,Sigmodon hispidus
-95.59511,29.383718,Sigmodon hispidus
-100.51232,31.12384,Sigmodon hispidus
-97.282727,31.607155,Sigmodon hispidus
-100.433815,31.668749,Sigmodon hispidus
-100.44912,31.453175,Sigmodon hispidus
-100.49663,31.357744,Sigmodon hispidus
-104.26162,30.005892,Sigmodon hispidus
