Longitude,Latitude,species
-97.582777,30.351593,Sus scrofa
-118.708056,35.006944,Sus scrofa
-96.806831,28.29854,Sus scrofa
-120.184186,35.397451,Sus scrofa
-121.73008,37.351818,Sus scrofa
-96.46926,32.095154,Sus scrofa
-99.89822,30.50601,Sus scrofa
-104.1514,30.93186,Sus scrofa
-99.35334,30.059952,Sus scrofa
-96.02699,28.725266,Sus scrofa
-98.596846,32.846777,Sus scrofa
-86.25013,35.750362,Sus scrofa
-98.43774,29.720688,Sus scrofa
-121.73531,36.487015,Sus scrofa
-120.696625,35.750813,Sus scrofa
-82.3988,40.6504,Sus scrofa
-82.5222,39.5797,Sus scrofa
-94.39416,33.499878,Sus scrofa
-84.375114,30.14036,Sus scrofa
-123.92582,40.706673,Sus scrofa
-98.08673,29.173883,Sus scrofa
-95.42276,39.288914,Sus scrofa
-84.37381,42.603535,Sus scrofa
-84.40455,30.037218,Sus scrofa
-121.0853,36.610703,Sus scrofa
-99.47996,30.19439,Sus scrofa
-123.44288,39.43239,Sus scrofa
-121.315575,36.24011,Sus scrofa
-97.64356,30.219906,Sus scrofa
-82.09572,39.323795,Sus scrofa
-157.90186,21.396013,Sus scrofa
-98.75583,34.67503,Sus scrofa
-108.829445,31.818333,Sus scrofa
-121.53964,36.328358,Sus scrofa
-81.86,27.988056,Sus scrofa
-97.06247,33.25771,Sus scrofa
-108.77801,31.610065,Sus scrofa
-106.84127,35.530197,Sus scrofa
-107.93415,34.94146,Sus scrofa
-98.814,32.039,Sus scrofa
-96.95755,28.47701,Sus scrofa
-108.756667,35.105,Sus scrofa
-84.9183,36.40215,Sus scrofa
-108.99711,31.518116,Sus scrofa
-108.80168,31.407497,Sus scrofa
-93.32074,35.508495,Sus scrofa
-82.162561,27.350039,Sus scrofa
-123.63785,39.36598,Sus scrofa
-80.767267,28.755192,Sus scrofa
-95.642387,33.70535,Sus scrofa
-96.023705,30.725985,Sus scrofa
-95.888405,31.929165,Sus scrofa
-96.52635,28.438162,Sus scrofa
-87.86115,41.120033,Sus scrofa
-97.03236,30.38316,Sus scrofa
-95.460109,32.631614,Sus scrofa
-89.781175,30.275195,Sus scrofa
-94.138775999999993,32.66094,Sus scrofa
-71.922158,44.534956,Sus scrofa
-97.706474,33.657784,Sus scrofa
-98.186478,30.475489,Sus scrofa
-97.087508,30.69377,Sus scrofa
-118.440956,34.40276,Sus scrofa
-94.02052,30.838457,Sus scrofa
-99.62042,33.30747,Sus scrofa
-94.69283,34.13734,Sus scrofa
-90.88904,39.625107,Sus scrofa
-81.49651,31.212746,Sus scrofa
-99.140319,30.047433,Sus scrofa
-98.714584,33.781998,Sus scrofa
-97.170275,33.025828,Sus scrofa
-121.648101,37.262155,Sus scrofa
-97.007981,32.553328,Sus scrofa
-122.22456,37.892456,Sus scrofa
-97.76153,28.783875,Sus scrofa
-121.993515,38.165975,Sus scrofa
-98.04293,30.844631,Sus scrofa
-95.73115,30.573412,Sus scrofa
-119.41975,34.950542,Sus scrofa
-95.05801,31.896147,Sus scrofa
-98.250329,29.100374,Sus scrofa
-94.972672,32.760536,Sus scrofa
-95.36126,31.778069,Sus scrofa
-96.589386,28.907986,Sus scrofa
-122.24891,38.275173,Sus scrofa
-95.21888,32.30815,Sus scrofa
-98.6441,33.89534,Sus scrofa
-96.097412,28.628528,Sus scrofa
-102.335785,32.754555,Sus scrofa
-95.3409,31.936497,Sus scrofa
-97.807945,30.161531,Sus scrofa
-123.900324,40.934296,Sus scrofa
-98.033862,30.515836,Sus scrofa
-156.371537,20.619955,Sus scrofa
-81.206749,28.412635,Sus scrofa
-95.6194,29.176588,Sus scrofa
-118.58642,35.255417,Sus scrofa
-98.555278,33.835602,Sus scrofa
-97.56097,32.554115,Sus scrofa
-121.74586,36.61146,Sus scrofa
-97.50348,27.600904,Sus scrofa
-96.62565,32.692688,Sus scrofa
-95.982465,29.342584,Sus scrofa
-95.499902,29.166903,Sus scrofa
-80.183655,34.195316,Sus scrofa
-75.91484,36.651894,Sus scrofa
