Longitude,Latitude,species
-119.488012,38.44494,Tamiasciurus douglasii
-123.753,46.1841,Tamiasciurus douglasii
-123.579269,44.507736,Tamiasciurus douglasii
-121.75515,44.40577,Tamiasciurus douglasii
-123.1417,49.301704,Tamiasciurus douglasii
-121.65047,41.01322,Tamiasciurus douglasii
-122.044458,47.846172,Tamiasciurus douglasii
-123.616783,46.559441,Tamiasciurus douglasii
-122.357216,45.483768,Tamiasciurus douglasii
-120.299723,38.282282,Tamiasciurus douglasii
-118.241615,36.58495,Tamiasciurus douglasii
-120.1066,38.952408,Tamiasciurus douglasii
-123.45263,46.086464,Tamiasciurus douglasii
-123.100707,47.215095,Tamiasciurus douglasii
-124.14711,41.067184,Tamiasciurus douglasii
-119.237415,37.228893,Tamiasciurus douglasii
-122.15299,47.957474,Tamiasciurus douglasii
-123.43422,38.70069,Tamiasciurus douglasii
-120.318586,41.788105,Tamiasciurus douglasii
-118.87756,36.64947,Tamiasciurus douglasii
-119.77734,37.99535,Tamiasciurus douglasii
-121.381688,44.072975,Tamiasciurus douglasii
-119.604753,37.508669,Tamiasciurus douglasii
-119.11273,37.7653,Tamiasciurus douglasii
-121.701203,48.606662,Tamiasciurus douglasii
-121.208825,40.217637,Tamiasciurus douglasii
-119.9257,38.610973,Tamiasciurus douglasii
-125.734397178941,50.4829837889309,Tamiasciurus douglasii
-124.83439,50.916393,Tamiasciurus douglasii
-123.75104,50.091404,Tamiasciurus douglasii
-121.50107,40.784678,Tamiasciurus douglasii
-122.77605,47.119663,Tamiasciurus douglasii
-121.8977,43.880707,Tamiasciurus douglasii
-119.42628,44.18543,Tamiasciurus douglasii
-120.20789,38.698906,Tamiasciurus douglasii
-124.383318,49.777555,Tamiasciurus douglasii
-118.87517,37.915836,Tamiasciurus douglasii
-118.78106,36.228832,Tamiasciurus douglasii
-118.959123,37.654701,Tamiasciurus douglasii
-120.712087,47.625116,Tamiasciurus douglasii
-124.085365,40.856487,Tamiasciurus douglasii
-121.688776,47.152369,Tamiasciurus douglasii
-119.850845,39.390948,Tamiasciurus douglasii
-121.31165,40.5556,Tamiasciurus douglasii
-122.802962,49.025309,Tamiasciurus douglasii
-122.884408,45.252957,Tamiasciurus douglasii
-121.7352,46.786022,Tamiasciurus douglasii
-119.53833,37.8651,Tamiasciurus douglasii
-122.631965,41.334157,Tamiasciurus douglasii
-122.86499,49.304165,Tamiasciurus douglasii
-121.680173,48.918921,Tamiasciurus douglasii
-124.08685,41.796925,Tamiasciurus douglasii
-120.268336,39.282067,Tamiasciurus douglasii
-121.177315,47.71802,Tamiasciurus douglasii
