Longitude,Latitude,species
-141.61,62.63,Tamiasciurus hudsonicus
-151.91,63.08,Tamiasciurus hudsonicus
-141.96,62.63,Tamiasciurus hudsonicus
-156.93,64.73,Tamiasciurus hudsonicus
-151.71,63.11,Tamiasciurus hudsonicus
-117.119213,45.288096,Tamiasciurus hudsonicus
-77.34109,44.278824,Tamiasciurus hudsonicus
-79.565348,44.148056,Tamiasciurus hudsonicus
-84.750938,47.047669,Tamiasciurus hudsonicus
-71.671416,41.915219,Tamiasciurus hudsonicus
-63.44732,44.65765,Tamiasciurus hudsonicus
-149.473114,61.575525,Tamiasciurus hudsonicus
-76.337709,45.437427,Tamiasciurus hudsonicus
-111.61853,40.580505,Tamiasciurus hudsonicus
-130.01,55.91,Tamiasciurus hudsonicus
-100.05565,48.999219,Tamiasciurus hudsonicus
-74.26241,44.448709,Tamiasciurus hudsonicus
-83.18634,35.513844,Tamiasciurus hudsonicus
-77.139911,41.78834,Tamiasciurus hudsonicus
-72.68117,45.414238,Tamiasciurus hudsonicus
-68.06107,44.337394,Tamiasciurus hudsonicus
-81.309685,40.980656,Tamiasciurus hudsonicus
-84.81161,47.724415,Tamiasciurus hudsonicus
-82.06242,41.118126,Tamiasciurus hudsonicus
-71.72891,44.101017,Tamiasciurus hudsonicus
-68.207716,44.362449,Tamiasciurus hudsonicus
-93.192774,43.183811,Tamiasciurus hudsonicus
-68.936771,46.061251,Tamiasciurus hudsonicus
-107.099884,37.274472,Tamiasciurus hudsonicus
-74.152737,45.426166,Tamiasciurus hudsonicus
-146.06009,65.053955,Tamiasciurus hudsonicus
-65.080086,45.668156,Tamiasciurus hudsonicus
-106.15111,41.08056,Tamiasciurus hudsonicus
-106.135299,41.323884,Tamiasciurus hudsonicus
-107.08059,41.034393,Tamiasciurus hudsonicus
-83.10837,40.57324,Tamiasciurus hudsonicus
-116.45353,48.331146,Tamiasciurus hudsonicus
-74.514395,45.115065,Tamiasciurus hudsonicus
-74.00167,41.87697,Tamiasciurus hudsonicus
-117.357931,47.925718,Tamiasciurus hudsonicus
-81.328993,46.075954,Tamiasciurus hudsonicus
-76.862197,43.937981,Tamiasciurus hudsonicus
-73.14467,44.7061,Tamiasciurus hudsonicus
-111.96846,41.411167,Tamiasciurus hudsonicus
-105.66705,40.289637,Tamiasciurus hudsonicus
-89.739976,45.184178,Tamiasciurus hudsonicus
-145.431,62.065,Tamiasciurus hudsonicus
-93.14827,44.46147,Tamiasciurus hudsonicus
-71.65837,44.644714,Tamiasciurus hudsonicus
-74.00597,45.988194,Tamiasciurus hudsonicus
-72.185648,41.75739,Tamiasciurus hudsonicus
-72.436914,44.965766,Tamiasciurus hudsonicus
-149.819527,61.070245,Tamiasciurus hudsonicus
-110.75,43.89,Tamiasciurus hudsonicus
-75.62645,40.86164,Tamiasciurus hudsonicus
