Longitude,Latitude,species
149.955339951,-35.527342344,Trichosurus caninus
152.95093,-26.61838,Trichosurus caninus
153.331616,-28.413622,Trichosurus caninus
152.288819,-27.516686,Trichosurus caninus
152.100506868,-28.934113986,Trichosurus caninus
150.1236999,-30.8276283,Trichosurus caninus
152.6141888311,-30.3457738875,Trichosurus caninus
152.824985,-29.877358,Trichosurus caninus
152.862329,-30.1995,Trichosurus caninus
153.1359816,-28.2308173,Trichosurus caninus
150.918008573,-34.30385435,Trichosurus caninus
153.044077,-29.074902,Trichosurus caninus
151.463595,-31.562795,Trichosurus caninus
152.69213,-29.01617,Trichosurus caninus
152.793389959,-31.26989996,Trichosurus caninus
152.107260022,-32.428909968,Trichosurus caninus
153.18391,-29.23077,Trichosurus caninus
152.590930033,-29.630040032,Trichosurus caninus
152.867908716234,-26.6725999106266,Trichosurus caninus
153.0751,-30.92512,Trichosurus caninus
152.782040024,-30.849200002,Trichosurus caninus
152.475635,-30.640528,Trichosurus caninus
152.26811,-29.61763,Trichosurus caninus
152.00409,-29.38105,Trichosurus caninus
152.18749,-28.80043,Trichosurus caninus
152.542559998,-30.550829981,Trichosurus caninus
152.023030026,-29.538100026,Trichosurus caninus
152.465759972,-30.985750006,Trichosurus caninus
150.3012,-33.7331,Trichosurus caninus
152.766667,-27.333333,Trichosurus caninus
152.933199711,-30.882003567,Trichosurus caninus
152.065563,-31.065345,Trichosurus caninus
152.363710158,-30.530918538,Trichosurus caninus
151.970464,-27.473509,Trichosurus caninus
152.803301,-31.365993,Trichosurus caninus
153.09945,-28.746359000000002,Trichosurus caninus
152.60946,-31.52598,Trichosurus caninus
152.257894337,-29.096214433,Trichosurus caninus
153.173833,-27.914221,Trichosurus caninus
153.120764,-29.728494,Trichosurus caninus
153.47114,-28.424865,Trichosurus caninus
153.284049,-29.166292,Trichosurus caninus
153.47856549,-28.91191665,Trichosurus caninus
150.473294,-33.473205,Trichosurus caninus
149.509322,-35.737133,Trichosurus caninus
149.825621104,-37.124136436,Trichosurus caninus
150.95958,-24.353668,Trichosurus caninus
151.04273800000001,-24.406752,Trichosurus caninus
153.002169339,-30.580181354,Trichosurus caninus
150.03728421,-33.26773621,Trichosurus caninus
149.662083172,-37.348329218,Trichosurus caninus
153.02951645,-30.27192642,Trichosurus caninus
151.954256,-32.300493,Trichosurus caninus
148.15194099000001,-35.61608488,Trichosurus caninus
152.095,-27.70262,Trichosurus caninus
149.577572,-37.26607,Trichosurus caninus
149.44785,-36.864308,Trichosurus caninus
152.00182004,-31.60168997,Trichosurus caninus
149.712746,-37.251828,Trichosurus caninus
149.55185500299999,-37.149104744,Trichosurus caninus
153.0544,-26.500418,Trichosurus caninus
152.772450037,-29.476850022,Trichosurus caninus
152.87804,-27.79524,Trichosurus caninus
151.72067638,-31.34050558,Trichosurus caninus
