Longitude,Latitude,species
-111.654350380657,40.6308192149273,Urocitellus armatus
-110.448616,44.806877,Urocitellus armatus
-110.82521,44.381878,Urocitellus armatus
-110.701183,44.973281,Urocitellus armatus
-111.589685,41.706621,Urocitellus armatus
-110.50289,44.695625,Urocitellus armatus
-109.8667,45.0167,Urocitellus armatus
-110.25879,44.746735,Urocitellus armatus
-109.99512,44.80912,Urocitellus armatus
-110.906287,44.478884,Urocitellus armatus
-111.07722,39.9576,Urocitellus armatus
-112.417728,42.723286,Urocitellus armatus
-110.735149,44.884215,Urocitellus armatus
-110.393495,44.901938,Urocitellus armatus
-109.355714,44.628652,Urocitellus armatus
-112.79659,44.852146,Urocitellus armatus
-111.66502,41.495686,Urocitellus armatus
-110.524595,42.676569,Urocitellus armatus
-110.65923,43.282963,Urocitellus armatus
-114.27629,42.17522,Urocitellus armatus
-110.642441,44.462085,Urocitellus armatus
-110.761391,43.48,Urocitellus armatus
-111.736536,38.532523,Urocitellus armatus
-110.41933,43.84908,Urocitellus armatus
-110.100677,44.919458,Urocitellus armatus
-110.93583,42.79167,Urocitellus armatus
-110.017044,43.262356,Urocitellus armatus
-109.58382,43.49378,Urocitellus armatus
-110.44278,43.36528,Urocitellus armatus
-111.693184,40.53633,Urocitellus armatus
-110.16667,41.06667,Urocitellus armatus
-110.746336,43.958413,Urocitellus armatus
-110.59164,43.911992,Urocitellus armatus
-111.515109,40.605868,Urocitellus armatus
-111.582534,41.289571,Urocitellus armatus
-108.43565,43.72087,Urocitellus armatus
-110.893190576235,40.6430640932668,Urocitellus armatus
-111.28054,40.67192,Urocitellus armatus
-111.1522,39.61673,Urocitellus armatus
-109.610828781622,44.9548362619439,Urocitellus armatus
-110.86719052762,39.8001475763589,Urocitellus armatus
-111.417305,41.820446,Urocitellus armatus
-113.044683,42.335168,Urocitellus armatus
-111.24023,41.627598,Urocitellus armatus
-111.81193,38.746826,Urocitellus armatus
-109.803382820528,43.2995984223091,Urocitellus armatus
-110.178329714176,43.8190111063597,Urocitellus armatus
-110.42983,40.28965,Urocitellus armatus
-110.40234,43.47944,Urocitellus armatus
-111.451225,41.946926,Urocitellus armatus
-109.40049,44.761578,Urocitellus armatus
-109.218284356009,44.7000306000711,Urocitellus armatus
-109.6088,43.08391,Urocitellus armatus
-109.860275,42.86667,Urocitellus armatus
-106.9435,40.806816,Urocitellus armatus
-111.63827,41.890553,Urocitellus armatus
-111.834179273602,41.7354084815633,Urocitellus armatus
-110.954988226464,42.0099049865373,Urocitellus armatus
-110.789955,42.205296,Urocitellus armatus
-111.1977,45.5916,Urocitellus armatus
-111.79391,45.4444,Urocitellus armatus
-111.73514,45.72966,Urocitellus armatus
-111.58054,40.389874,Urocitellus armatus
-110.030876,40.65175,Urocitellus armatus
-109.79958,40.90912,Urocitellus armatus
-109.990960151474,40.9465255160721,Urocitellus armatus
-110.999756,40.22552,Urocitellus armatus
-111.362564,40.08009,Urocitellus armatus
-111.27692,39.352673,Urocitellus armatus
-113.46062,41.948727,Urocitellus armatus
-111.85517,41.207138,Urocitellus armatus
-111.498055,41.46375,Urocitellus armatus
-111.045524263897,39.7178877903762,Urocitellus armatus
-110.549515,39.79289,Urocitellus armatus
-113.870476,41.966686,Urocitellus armatus
-111.21346,41.718647,Urocitellus armatus
-113.3974,45.02828,Urocitellus armatus
-110.5678,44.9803,Urocitellus armatus
-111.206359,40.179529,Urocitellus armatus
-111.590313,40.920878,Urocitellus armatus
-110.035286,44.478223,Urocitellus armatus
-110.647111,43.669063,Urocitellus armatus
-111.45,42.1,Urocitellus armatus
-111.24316,40.950077,Urocitellus armatus
-110.835622,43.582728,Urocitellus armatus
-110.23566,44.89431,Urocitellus armatus
-111.45905,39.1419,Urocitellus armatus
-111.540565,39.25446,Urocitellus armatus
-109.623178761583,44.1641719293149,Urocitellus armatus
-110.81673,43.218582,Urocitellus armatus
-110.970969645401,42.898694655678,Urocitellus armatus
-110.88388,41.82422,Urocitellus armatus
-110.52727,43.786537,Urocitellus armatus
-110.241792355863,43.1008674819835,Urocitellus armatus
-110.8162868424,45.2568260746807,Urocitellus armatus
-111.8944,45.6585,Urocitellus armatus
-110.680162,43.557419,Urocitellus armatus
-111.305,41.5216,Urocitellus armatus
-111.42942,39.31211,Urocitellus armatus
-111.29615,39.695717,Urocitellus armatus
-111.37601,39.836063,Urocitellus armatus
-111.11008,40.714592,Urocitellus armatus
-111.623474,41.601795,Urocitellus armatus
-111.510956,41.560818,Urocitellus armatus
-111.45326,40.183586,Urocitellus armatus
-111.68998,39.572388,Urocitellus armatus
-111.709515473782,39.1739428709237,Urocitellus armatus
-111.498,40.72902,Urocitellus armatus
-111.281715,41.820446,Urocitellus armatus
-111.600565202968,41.9898508480326,Urocitellus armatus
-110.83285,40.520256,Urocitellus armatus
-111.01686,40.578205,Urocitellus armatus
-111.85356,40.97486,Urocitellus armatus
-111.879561405893,41.0678612714714,Urocitellus armatus
-111.851558034009,40.844864693587,Urocitellus armatus
-110.696965820041,39.7746091012972,Urocitellus armatus
-110.87803,40.78709,Urocitellus armatus
-111.1597,39.49989,Urocitellus armatus
-111.40498,40.7921,Urocitellus armatus
-111.272528834865,39.5978883373446,Urocitellus armatus
-111.738956089148,40.9300642116187,Urocitellus armatus
-111.64390249539,40.8360162284909,Urocitellus armatus
-111.84203,38.64563,Urocitellus armatus
-111.39916,41.135025,Urocitellus armatus
-111.35557,40.898727,Urocitellus armatus
-112.0361,41.405987,Urocitellus armatus
-111.45062,41.36781,Urocitellus armatus
-111.812645,41.3056,Urocitellus armatus
-111.173597797032,40.6307024269718,Urocitellus armatus
-110.412506,39.82289,Urocitellus armatus
-111.11412,41.78026,Urocitellus armatus
-111.639912066849,39.9343002889181,Urocitellus armatus
-114.05063,41.989834,Urocitellus armatus
-112.456696290538,41.8620665228619,Urocitellus armatus
-113.883125,41.70928,Urocitellus armatus
-111.986015,38.562782,Urocitellus armatus
-113.994127198601,41.9100748820389,Urocitellus armatus
-111.1331,41.176666,Urocitellus armatus
-111.832509492508,41.8381811686744,Urocitellus armatus
-111.6163,38.458187,Urocitellus armatus
-112.002513960123,41.8354100299656,Urocitellus armatus
-111.67596,38.674862,Urocitellus armatus
-110.933345,41.264653,Urocitellus armatus
-111.405688,40.989355,Urocitellus armatus
-110.864807,44.627548,Urocitellus armatus
-110.663894,43.82711,Urocitellus armatus
-111.039846,40.129748,Urocitellus armatus
-110.741033,43.73535,Urocitellus armatus
-111.09901,44.656618,Urocitellus armatus
-111.263588,44.751284,Urocitellus armatus
-110.66748,44.106728,Urocitellus armatus
-111.159528,43.797054,Urocitellus armatus
-109.806154,41.545626,Urocitellus armatus
-111.215565,43.326707,Urocitellus armatus
-111.279183,40.306968,Urocitellus armatus
-113.304394,44.466197,Urocitellus armatus
-110.126014,43.583279,Urocitellus armatus
-110.725556,44.686013,Urocitellus armatus
-111.17742,40.399038,Urocitellus armatus
-111.550153,42.399673,Urocitellus armatus
-111.223435,42.334675,Urocitellus armatus
-113.198768,44.792727,Urocitellus armatus
-109.518648,40.124775,Urocitellus armatus
-111.750754538823,40.7716164580849,Urocitellus armatus
