Longitude,Latitude,species
-120.54804,51.43282,Urocitellus columbianus
-119.2962,49.509815,Urocitellus columbianus
-119.960246,47.071734,Urocitellus columbianus
-116.451744,44.421036,Urocitellus columbianus
-113.86932,49.132275,Urocitellus columbianus
-117.128609,45.281113,Urocitellus columbianus
-116.206276,51.18751,Urocitellus columbianus
-113.640518,47.437692,Urocitellus columbianus
-120.066111,51.841944,Urocitellus columbianus
-120.50616,49.242809,Urocitellus columbianus
-120.207525,49.056201,Urocitellus columbianus
-114.132385,49.344673,Urocitellus columbianus
-114.03516,48.441528,Urocitellus columbianus
-114.47578,50.20951,Urocitellus columbianus
-114.19659,49.45673,Urocitellus columbianus
-114.70079,50.42479,Urocitellus columbianus
-116.564189,51.525515,Urocitellus columbianus
-120.57495,50.476734,Urocitellus columbianus
-118.927002,50.874443,Urocitellus columbianus
-116.048584,51.344337,Urocitellus columbianus
-118.399658,51.815407,Urocitellus columbianus
-121.723022,50.859711,Urocitellus columbianus
-119.767456,49.350178,Urocitellus columbianus
-117.64229,49.31447,Urocitellus columbianus
-121.515197,53.068664,Urocitellus columbianus
-117.10383,48.965115,Urocitellus columbianus
-113.099613,45.486523,Urocitellus columbianus
-119.2771,49.272224,Urocitellus columbianus
-113.643674,45.641258,Urocitellus columbianus
-113.448705,48.48073,Urocitellus columbianus
-117.112015,47.91231,Urocitellus columbianus
-113.876832,48.618055,Urocitellus columbianus
-117.73185,48.461388,Urocitellus columbianus
-114.46046,48.119637,Urocitellus columbianus
-113.610314,48.810161,Urocitellus columbianus
-114.577854,46.634645,Urocitellus columbianus
-117.53177,47.790555,Urocitellus columbianus
-145.72694,61.159847,Urocitellus columbianus
-118.35,53.75,Urocitellus columbianus
-114.41667,50.53333,Urocitellus columbianus
-113.91667,49.23333,Urocitellus columbianus
-115.81667,49.36667,Urocitellus columbianus
-118.25,53.48333,Urocitellus columbianus
-119.5,54.88333,Urocitellus columbianus
-113.765788,43.647989,Urocitellus columbianus
-117.169747,49.738765,Urocitellus columbianus
-114.068214,43.72804,Urocitellus columbianus
-113.525848,48.716337,Urocitellus columbianus
-114.346556,48.936586,Urocitellus columbianus
-114.043455,46.837786,Urocitellus columbianus
-114.083336,49.183334,Urocitellus columbianus
-117.357296,49.952862,Urocitellus columbianus
-113.95,50.766667,Urocitellus columbianus
-116.25,51.5,Urocitellus columbianus
-120.03333,51.65,Urocitellus columbianus
-119.293087,48.799556,Urocitellus columbianus
-113.0137,46.947746,Urocitellus columbianus
-117.521853,51.301907,Urocitellus columbianus
-113.546467,47.129045,Urocitellus columbianus
-115.719957,51.179425,Urocitellus columbianus
-117.122741,48.244649,Urocitellus columbianus
-113.992355,48.56378,Urocitellus columbianus
-118.671913727833,46.0397595132624,Urocitellus columbianus
-114.8,49.583332,Urocitellus columbianus
-114.61667,49.36667,Urocitellus columbianus
-115.383333,49.5,Urocitellus columbianus
-114.21667,49.583332,Urocitellus columbianus
-114.466667,49,Urocitellus columbianus
-114.783333,50.866667,Urocitellus columbianus
-115.043917,51.02507,Urocitellus columbianus
-118.91229,48.64805,Urocitellus columbianus
-116.791095798426,47.8192696031413,Urocitellus columbianus
-117.1622,48.503699999064,Urocitellus columbianus
-118.819467445252,48.5583248559751,Urocitellus columbianus
-118.187225,48.731747,Urocitellus columbianus
-118.3414,45.97396,Urocitellus columbianus
-117.810793103768,46.1641663490273,Urocitellus columbianus
-118.52721,45.96196,Urocitellus columbianus
-116.315143959417,45.6391818096868,Urocitellus columbianus
-120.66356,48.727226,Urocitellus columbianus
-117.794565875679,46.2874708839945,Urocitellus columbianus
-117.840492071974,46.0616666193021,Urocitellus columbianus
-120.83563,49.058033,Urocitellus columbianus
-118.155001842163,46.1400634959551,Urocitellus columbianus
-118.43212,46.079876,Urocitellus columbianus
-118.3355975251,46.2994611308086,Urocitellus columbianus
-118.302977826917,44.5244730828882,Urocitellus columbianus
-117.53469,48.618824,Urocitellus columbianus
-116.78019,47.503872,Urocitellus columbianus
-118.552896865742,45.2637653150279,Urocitellus columbianus
-117.96958,45.17297,Urocitellus columbianus
-118.238795852088,45.6779653490786,Urocitellus columbianus
-114.05432,48.314697,Urocitellus columbianus
-118.0065,46.30366,Urocitellus columbianus
-114.08369,47.642902,Urocitellus columbianus
-115.27496,46.72264,Urocitellus columbianus
-109.941315,45.81306,Urocitellus columbianus
-114.172781,46.318767,Urocitellus columbianus
-118.62556,44.58333,Urocitellus columbianus
-118.9615,44.2555,Urocitellus columbianus
-118.56139,45.7675,Urocitellus columbianus
-118.42028,45.50667,Urocitellus columbianus
-109.225213,48.224408,Urocitellus columbianus
-115.68,44.6041999990568,Urocitellus columbianus
-117.9661,45.8715999990573,Urocitellus columbianus
-98.50168,34.95216,Urocitellus columbianus
-113.0364,45.2787999990568,Urocitellus columbianus
-114.1388,45.1269,Urocitellus columbianus
-114.38721,44.41388,Urocitellus columbianus
-112.88593,45.42082,Urocitellus columbianus
-113.57502,46.72373,Urocitellus columbianus
