Longitude,Latitude,species
-136.87,58.45,Ursus americanus
-136.16,59.05,Ursus americanus
-157.14,57.9,Ursus americanus
-156.93,64.73,Ursus americanus
-150.63,59.52,Ursus americanus
-150.33,59.52,Ursus americanus
-150.17,59.58,Ursus americanus
-150.037662,59.808301,Ursus americanus
-149.83,60.2,Ursus americanus
-149.756917,59.762407,Ursus americanus
-149.63,59.86,Ursus americanus
-149.61,60.18,Ursus americanus
-150.49,59.61,Ursus americanus
-150.27,59.66,Ursus americanus
-149.92,59.72,Ursus americanus
-149.44,59.95,Ursus americanus
-136.05,58.37,Ursus americanus
-89.15355,45.67007,Ursus americanus
-116.954625,50.146025,Ursus americanus
-96.40694,49.706757,Ursus americanus
-149.6353,61.238056,Ursus americanus
-74.668236,41.238876,Ursus americanus
-99.059255,49.755598,Ursus americanus
-81.827202,36.10313,Ursus americanus
-70.984448,44.083346,Ursus americanus
-64.999992,45.561605,Ursus americanus
-121.329576,53.263021,Ursus americanus
-91.539852,33.633219,Ursus americanus
-125.8994,49.15781,Ursus americanus
-126.468644,49.704389,Ursus americanus
-119.224995,34.452928,Ursus americanus
-94.292404,46.77633,Ursus americanus
-122.01347,45.820297,Ursus americanus
-81.40345,46.02066,Ursus americanus
-72.63048,42.945873,Ursus americanus
-106.34677,56.130367,Ursus americanus
-107.222443,39.712205,Ursus americanus
-83.713178,47.589303,Ursus americanus
-94.16716,46.336754,Ursus americanus
-64.55289,46.067142,Ursus americanus
-123.915556,47.865556,Ursus americanus
-106.34234,35.805283,Ursus americanus
-65.309956,45.687299,Ursus americanus
-115.24556,62.644722,Ursus americanus
-118.936016,36.55606,Ursus americanus
-90.67426,50.332848,Ursus americanus
-131.880205,56.178337,Ursus americanus
-113.076812,47.578541,Ursus americanus
-110.793247,43.74164,Ursus americanus
-74.183481,49.994026,Ursus americanus
-151.2263,59.591904,Ursus americanus
-73.371359,41.871235,Ursus americanus
-119.849269,38.415412,Ursus americanus
-104.79823,54.1737,Ursus americanus
-115.905075,51.266211,Ursus americanus
-85.890412,48.908992,Ursus americanus
-149.09885,61.15037,Ursus americanus
-78.195114,38.646446,Ursus americanus
-106.483218,39.620094,Ursus americanus
-71.366251,43.110759,Ursus americanus
-100.232,50.7335,Ursus americanus
-94.94114,47.186054,Ursus americanus
-110.602923,43.905888,Ursus americanus
-122.45267,42.134773,Ursus americanus
-76.54831,36.761099,Ursus americanus
-123.281531,42.888661,Ursus americanus
-123.746704,39.25331,Ursus americanus
-119.59299,39.95906,Ursus americanus
-100.060354,51.015206,Ursus americanus
-100.00923,50.81765,Ursus americanus
-113.45581,48.739437,Ursus americanus
-78.690796,40.244284,Ursus americanus
-92.020717,33.121867,Ursus americanus
-122.437675,38.547985,Ursus americanus
-91.46572,33.890713,Ursus americanus
-116.186005,51.321743,Ursus americanus
-150.10483,60.33197,Ursus americanus
-79.97782,37.403895,Ursus americanus
-78.122341,38.967988,Ursus americanus
-122.782671,53.889986,Ursus americanus
-118.85833,38.61178,Ursus americanus
-123.81824,40.117832,Ursus americanus
-83.400647,35.91766,Ursus americanus
-82.74507,36.925056,Ursus americanus
