Longitude,Latitude,species
-152.13,62.95,Ursus arctos
-151.95,63.08,Ursus arctos
-145.18,60.31,Ursus arctos
-144.57,62.5,Ursus arctos
-136.7,58.57,Ursus arctos
-156.93,64.73,Ursus arctos
-150.63,59.52,Ursus arctos
-150.39,59.59,Ursus arctos
-149.67,60.18,Ursus arctos
-164.14,66.41,Ursus arctos
-164.13,66.02,Ursus arctos
-164.07,66.23,Ursus arctos
-151.74,63.1,Ursus arctos
-153.03,59.88,Ursus arctos
-136.15,59,Ursus arctos
-150.24353,67.221405,Ursus arctos
-150.718002,63.447056,Ursus arctos
-115.05805,50.821735,Ursus arctos
-141,63,Ursus arctos
-125.52888,50.969482,Ursus arctos
-131.888122,56.169353,Ursus arctos
-150.80933,63.363953,Ursus arctos
-155.79166,58.55482,Ursus arctos
-165.92308,64.718466,Ursus arctos
-136.11751,58.879753,Ursus arctos
-136.61685,60.98534,Ursus arctos
-154.59,58.11,Ursus arctos
-136.96,59.01,Ursus arctos
-153.26667,57.46667,Ursus arctos
-123.144325,49.31563,Ursus arctos
-109.31603,44.406467,Ursus arctos
-149.83635,63.08699,Ursus arctos
-110.578384,43.87063,Ursus arctos
-149.40797,62.182175,Ursus arctos
-115.57075,51.023197,Ursus arctos
-116.58277,51.609577,Ursus arctos
-155.22157,58.339422,Ursus arctos
-110.644009,43.957515,Ursus arctos
-110.20722,44.71157,Ursus arctos
-110.62068,43.624523,Ursus arctos
-110.79092,44.797343,Ursus arctos
-155.315828,59.054917,Ursus arctos
-125.61874,51.125004,Ursus arctos
-149.153403,63.616109,Ursus arctos
-164.71347,65.85681,Ursus arctos
-154.693728,58.597529,Ursus arctos
-151.183333,61.7,Ursus arctos
-150.50266,60.33277,Ursus arctos
-133.98334,58.016666,Ursus arctos
-139.55,59.433334,Ursus arctos
-135.916667,58.383333,Ursus arctos
-133.58,57.75,Ursus arctos
-134.983333,58.833333,Ursus arctos
-139.233333,59.316667,Ursus arctos
-136,59.416667,Ursus arctos
-161.20174,68.93001,Ursus arctos
-145.083333,63.916667,Ursus arctos
-134.55,58.183334,Ursus arctos
-148.88,63.85,Ursus arctos
-135.33,60.83,Ursus arctos
-147.85,63.183334,Ursus arctos
-160.7875,63.869446,Ursus arctos
-164.43,64.56,Ursus arctos
-150.44345,62.435825,Ursus arctos
-140.11574,61.953682,Ursus arctos
-138.58577,61.113953,Ursus arctos
-155.6561,58.47315,Ursus arctos
-131.5495,68.7582,Ursus arctos
-154.88225,58.007286,Ursus arctos
-130.87311,55.486904,Ursus arctos
-150.42355,62.885372,Ursus arctos
-142,63,Ursus arctos
-149.493673,64.200841,Ursus arctos
-114.762573,50.921239,Ursus arctos
-136.27448,58.9304,Ursus arctos
-150.90552,63.02891,Ursus arctos
-116.19543,51.512264,Ursus arctos
-118.51667,50.4,Ursus arctos
-127.933333,56.4,Ursus arctos
-133.333333,62.233333,Ursus arctos
-132.36667,69.53333,Ursus arctos
-134.97276,58.743538,Ursus arctos
-153.97678,59.63175,Ursus arctos
-154.193115,58.342467,Ursus arctos
-154.84717,67.4922,Ursus arctos
-152.6,57.79889,Ursus arctos
-151.07748,67.04444,Ursus arctos
-110.712074,43.85756,Ursus arctos
-149.198696,63.710745,Ursus arctos
-154.075972,58.45966,Ursus arctos
-165.0833,64.9,Ursus arctos
-164.567,65.25,Ursus arctos
-135.60735,59.346638,Ursus arctos
-163.134,65.85,Ursus arctos
-141.051042,59.802578,Ursus arctos
-163.0933,65.033,Ursus arctos
-118.066666,52.86667,Ursus arctos
-116.2,51.4,Ursus arctos
-117.233333,52.25,Ursus arctos
-132,64.333336,Ursus arctos
-104.216667,64.133333,Ursus arctos
-128.38333,61.86667,Ursus arctos
-109.216667,64.133333,Ursus arctos
-117.333336,52.166668,Ursus arctos
-116.35,51.45,Ursus arctos
-115.546299,51.17791,Ursus arctos
-118.483333,52.883333,Ursus arctos
-118,53.233333,Ursus arctos
-138.2,59.16,Ursus arctos
-146,65.5,Ursus arctos
-131.5125,56.225,Ursus arctos
-135,59,Ursus arctos
-132,58,Ursus arctos
-139.4,59.61667,Ursus arctos
-140,60,Ursus arctos
-145.883333,60.483333,Ursus arctos
-139.73334,59.55,Ursus arctos
-138.93333,59.433334,Ursus arctos
-144.5,60.5,Ursus arctos
-145.833333,60.633333,Ursus arctos
-146,61,Ursus arctos
-138,59,Ursus arctos
-146,62,Ursus arctos
-143.511111,60.040833,Ursus arctos
-141.85,61.9,Ursus arctos
-145.75,60.55,Ursus arctos
-151.3,60.36667,Ursus arctos
-151.35,60.683333,Ursus arctos
-143,61,Ursus arctos
-141.66,61.75,Ursus arctos
-152.77,60.06,Ursus arctos
-148,62,Ursus arctos
-147.5,61.8,Ursus arctos
-147.88333,62.4,Ursus arctos
-145,62,Ursus arctos
-143.5359,61.347,Ursus arctos
-151,62,Ursus arctos
-144,61,Ursus arctos
-153,60,Ursus arctos
-141.9866,61.098,Ursus arctos
-145.96666,62.1,Ursus arctos
-145.183333,61.483333,Ursus arctos
-147.3,61.9,Ursus arctos
-150.9,61.9,Ursus arctos
-145.51,62.53,Ursus arctos
-147,62,Ursus arctos
-151.56,61.56,Ursus arctos
-147.08,61.69,Ursus arctos
-144.131,62.2135,Ursus arctos
-150,61,Ursus arctos
-149.05,61.38333,Ursus arctos
-151.46,62.48,Ursus arctos
-147.81,62.66,Ursus arctos
-150.1,62.31,Ursus arctos
-150.23334,62.61667,Ursus arctos
-160.88,55.5,Ursus arctos
-150.066667,62.1,Ursus arctos
-150.65,62.35,Ursus arctos
-152.333333,61.1,Ursus arctos
-152.91,62.16,Ursus arctos
-160,56,Ursus arctos
-160.0569,55.8183,Ursus arctos
-162.616667,55.283333,Ursus arctos
-159,56,Ursus arctos
-159.1476,55.912,Ursus arctos
-163,55,Ursus arctos
-162.8313,55.2037,Ursus arctos
-160.25,56.01,Ursus arctos
-158,57,Ursus arctos
-157.11,56.8,Ursus arctos
-159.6,56.48,Ursus arctos
-158.58,56.73,Ursus arctos
-157.93,56.6,Ursus arctos
-160.01,56.18,Ursus arctos
-162.58333,55.4,Ursus arctos
-160.228,55.8096,Ursus arctos
-158.98,56.45,Ursus arctos
-157.033333,57.5,Ursus arctos
-157,57,Ursus arctos
-158.7,56.433333,Ursus arctos
-158.47,56.85,Ursus arctos
-155.95,57.85,Ursus arctos
-158.9135,56.3593,Ursus arctos
-158.85,56.27,Ursus arctos
-157,59,Ursus arctos
-157.36667,57.216667,Ursus arctos
-155.516667,57.85,Ursus arctos
-157,58,Ursus arctos
-156.11,57.58,Ursus arctos
-155,59,Ursus arctos
-158.401,57.221,Ursus arctos
-155.0266,59.536,Ursus arctos
-156.6,58.683333,Ursus arctos
-154.68333,59.35,Ursus arctos
-154.21,59.71,Ursus arctos
-157.86,57.11,Ursus arctos
-156.00203,57.999313,Ursus arctos
-154,60,Ursus arctos
-158,61,Ursus arctos
-153.766667,56.85,Ursus arctos
-155.35,60.35,Ursus arctos
-152.883333,57.866667,Ursus arctos
-153.1066,60.3975,Ursus arctos
-152.68,57.41,Ursus arctos
-152.75,57.5,Ursus arctos
-153.45,57.683333,Ursus arctos
-153.983333,57.35,Ursus arctos
-152.933333,57.516667,Ursus arctos
-152.35,57.66,Ursus arctos
-153.75,57.55,Ursus arctos
-154.08,57.43,Ursus arctos
-154.1,57.233333,Ursus arctos
-154.01666,57.11667,Ursus arctos
-153.08,62.21,Ursus arctos
-153.533333,57.783333,Ursus arctos
-142,62,Ursus arctos
-153.3,61.86667,Ursus arctos
-148.21,68.05,Ursus arctos
-156.06667,62.983334,Ursus arctos
-150,65,Ursus arctos
-145,64,Ursus arctos
-145.75,62.433333,Ursus arctos
-143.58333,62.7,Ursus arctos
-157,62,Ursus arctos
-148,64,Ursus arctos
-152,68,Ursus arctos
-143.35,62.96,Ursus arctos
-142.4,63.55,Ursus arctos
-149.1,64.55,Ursus arctos
-148.18,67.61,Ursus arctos
-147.55,64.9,Ursus arctos
-147.9,63.033333,Ursus arctos
-145.483333,63.033333,Ursus arctos
-145.85,63.03,Ursus arctos
-145,65,Ursus arctos
-150,63,Ursus arctos
-155,68,Ursus arctos
-154,62,Ursus arctos
-156,68,Ursus arctos
-148.06,63.3,Ursus arctos
-148.48,67.56,Ursus arctos
-150,64,Ursus arctos
-153,68,Ursus arctos
-153,67,Ursus arctos
-160,63.8,Ursus arctos
-152.41,67.73,Ursus arctos
-161,68,Ursus arctos
-143,63,Ursus arctos
-146.5,69.38,Ursus arctos
-152.13333,69.36667,Ursus arctos
-147,68,Ursus arctos
-153,63,Ursus arctos
-146,64,Ursus arctos
-147,64,Ursus arctos
-153.36,68.14,Ursus arctos
-148,68,Ursus arctos
-154,66,Ursus arctos
-147,63,Ursus arctos
-144.866667,65.566667,Ursus arctos
-154.1,67.85,Ursus arctos
-148.16,62.66,Ursus arctos
-148.41,70.2,Ursus arctos
-146.88333,69.683334,Ursus arctos
-148.5,64.1,Ursus arctos
-146.0625,65.052778,Ursus arctos
-144.016667,69.1,Ursus arctos
-146.25,64.83,Ursus arctos
-153.25,57.75,Ursus arctos
-155.686,69.654,Ursus arctos
-152.587226937575,67.8192757191646,Ursus arctos
-152.207980790173,67.5448266393681,Ursus arctos
-153.212218160883,68.4724555747703,Ursus arctos
-162.571457,55.190796,Ursus arctos
-162.35,67.916667,Ursus arctos
-147.385170584802,62.6391445662227,Ursus arctos
-148.731652238976,62.3722845874021,Ursus arctos
-146.009528591076,60.6603505457335,Ursus arctos
-165.632669385662,64.7271582078789,Ursus arctos
-146.350400683662,61.1303538501536,Ursus arctos
-154.26557167478,57.1321108671679,Ursus arctos
-110.833336,43.516666,Ursus arctos
-134.87083,58.62417,Ursus arctos
-133.96352,58.46386,Ursus arctos
-157.565465,56.928083,Ursus arctos
-148.682924,69.934558,Ursus arctos
-154.249018458624,59.1243574380576,Ursus arctos
-154.61666,62.13333,Ursus arctos
-133.72519,61.727406,Ursus arctos
-119.69103,48.550972,Ursus arctos
-145.2764,66.56439,Ursus arctos
-164.05522,67.6928,Ursus arctos
-152.686250336748,67.9871788038676,Ursus arctos
-149.338,61.567,Ursus arctos
-145.173,65.551,Ursus arctos
-147.027,63.733,Ursus arctos
-149.231,67.419,Ursus arctos
-155.48,67.87,Ursus arctos
-149.343,63.085,Ursus arctos
-157.037,58.881,Ursus arctos
-147.292,63.942,Ursus arctos
-154.051,67.455,Ursus arctos
-148.824,69.153,Ursus arctos
-149.281,61.328,Ursus arctos
-143.226,64.563,Ursus arctos
-147.357,67.5,Ursus arctos
-153.80713,62.497433,Ursus arctos
-150.05,60.483334,Ursus arctos
-143.2974,64.10147,Ursus arctos
-149.74739,67.72498,Ursus arctos
-151.75,59.816667,Ursus arctos
-151.68333,59.966667,Ursus arctos
-145.329599714708,61.9701759944158,Ursus arctos
-149.36218,61.457993,Ursus arctos
-135.95833,59.683334,Ursus arctos
-135.9,59.225,Ursus arctos
-135.9,59.325,Ursus arctos
-135.54167,59.1,Ursus arctos
-136.26666,59.4,Ursus arctos
-135.36667,59.158333,Ursus arctos
-136.75,59.35,Ursus arctos
-135.63333,59.183334,Ursus arctos
-133.71666,57.891666,Ursus arctos
-133.716667,58.433333,Ursus arctos
-133.71666,58.141666,Ursus arctos
-132.925,57.5,Ursus arctos
-135.81667,58.275,Ursus arctos
-136.166667,59.541667,Ursus arctos
-134.75,58.533333,Ursus arctos
-151.75,68.125,Ursus arctos
-149.252137,62.527443,Ursus arctos
-153.718051,60.566476,Ursus arctos
-144.234322,63.038049,Ursus arctos
-149.01555,66.16538,Ursus arctos
-145.54,61.48,Ursus arctos
-152.154366,62.406821,Ursus arctos
-149.63972,63.218887,Ursus arctos
-148.536455,67.403669,Ursus arctos
-145.33333,61.166668,Ursus arctos
-151.181111,61.958611,Ursus arctos
-146.98357,62.529987,Ursus arctos
-158.301389,56.679444,Ursus arctos
-150.060904,61.724352,Ursus arctos
-158.66278,56.808887,Ursus arctos
-144.008333,62.7,Ursus arctos
-139.76004,59.903446,Ursus arctos
-157.064353,58.488737,Ursus arctos
-145.52441,65.485794,Ursus arctos
-146.67992,64.890366,Ursus arctos
-148.5618,63.627342,Ursus arctos
-151.139835,61.070534,Ursus arctos
-143.62389,70.13194,Ursus arctos
-151.78278,61.947777,Ursus arctos
-145.65504,63.800949,Ursus arctos
-145.781927,64.144396,Ursus arctos
-150.552,70.217,Ursus arctos
-150.496,60.5319999991927,Ursus arctos
-150.796,60.218,Ursus arctos
-153.207,59.844,Ursus arctos
-150.752611,60.516667,Ursus arctos
-150.706,60.718,Ursus arctos
-151.554,60.042,Ursus arctos
-145.195,60.4529999991914,Ursus arctos
-150.824,59.9139999991824,Ursus arctos
-152.067,60.952,Ursus arctos
-150.069,61.843,Ursus arctos
-150.08,61.348,Ursus arctos
-149.415,60.167,Ursus arctos
-158.99,60.484,Ursus arctos
-151.053611,60.067778,Ursus arctos
-150.482,60.059,Ursus arctos
-160.549,55.853,Ursus arctos
-151.106,60.2049999991872,Ursus arctos
-149.461,60.4989999991922,Ursus arctos
-160.932,58.8859999991661,Ursus arctos
-149.686,60.3909999991903,Ursus arctos
-149.339444,60.262778,Ursus arctos
-150.634,60.426999999191,Ursus arctos
-156.774796,58.673088,Ursus arctos
-156.501,59.064,Ursus arctos
-149.292,60.545999999193,Ursus arctos
-151.135,60.621,Ursus arctos
-150.952,60.8269999991978,Ursus arctos
-159.803,58.8199999991651,Ursus arctos
-151.379,59.8079999991807,Ursus arctos
-166.24634,65.92193,Ursus arctos
-151.872341,67.243808,Ursus arctos
-159.4745,58.810417,Ursus arctos
-161.301778,58.763306,Ursus arctos
-159.164361,58.536556,Ursus arctos
-151.69667,59.71389,Ursus arctos
-144.0528,69.90731,Ursus arctos
-148.837,63.371,Ursus arctos
-156.421,57.665,Ursus arctos
-152.814,57.76,Ursus arctos
-156.146,59.02,Ursus arctos
-163.413,64.831,Ursus arctos
-145.573,65.009,Ursus arctos
-146.704,65.343,Ursus arctos
-146.467,64.759,Ursus arctos
-152.033,61.958,Ursus arctos
-150.995,63.542,Ursus arctos
-150.934,70.149,Ursus arctos
-142.4,68.415,Ursus arctos
