Longitude,Latitude,species
-138,69.1167,Ursus maritimus
-140.8578,69.6323,Ursus maritimus
-120.953,76.785,Ursus maritimus
-143.47769,70.130264,Ursus maritimus
-94.32659,58.650955,Ursus maritimus
-171.754455,63.610396,Ursus maritimus
-64.024864,59.694084,Ursus maritimus
-84.25,63.583,Ursus maritimus
-83.3868,74.8266,Ursus maritimus
-94.23,74.63,Ursus maritimus
-99,74.966944,Ursus maritimus
-98.5,75,Ursus maritimus
-98.073611,75.373611,Ursus maritimus
-125.38438,48.849686,Ursus maritimus
-99.41,74.93,Ursus maritimus
-93.139725,58.57139,Ursus maritimus
-92.383333,75.366667,Ursus maritimus
-94.05,61.11667,Ursus maritimus
-69.666664,60.033333,Ursus maritimus
-69.85,62.833333,Ursus maritimus
-94.833336,74.683334,Ursus maritimus
-84.13333,76.51667,Ursus maritimus
-83.23333,76.583336,Ursus maritimus
-83.056944,64.127778,Ursus maritimus
-80.5,77.25,Ursus maritimus
-64.8,63.15,Ursus maritimus
-82.26667,76.39445,Ursus maritimus
-87.75,77.38333,Ursus maritimus
-96.083336,74.816666,Ursus maritimus
-82.633333,63.866667,Ursus maritimus
-81.166664,77.28333,Ursus maritimus
-79.666664,77.26667,Ursus maritimus
-116.58972,71.39833,Ursus maritimus
-90,72,Ursus maritimus
-77.283333,60.033333,Ursus maritimus
-70.45417,69.852776,Ursus maritimus
-101.95,72.41,Ursus maritimus
-76,79.133333,Ursus maritimus
-96.13333,74.96667,Ursus maritimus
-93.97422,58.796757,Ursus maritimus
-119.1333,77.0333,Ursus maritimus
-144.1333,69.833,Ursus maritimus
-143.1785,69.9524,Ursus maritimus
-160.99,70.31,Ursus maritimus
-160.797,70.384,Ursus maritimus
-155.5,70.8333,Ursus maritimus
-143,69.8333,Ursus maritimus
-150.07,70.33,Ursus maritimus
-144.5833,69.8167,Ursus maritimus
-144.4667,69.9333,Ursus maritimus
-144.38,69.698,Ursus maritimus
-167.6667,65.5,Ursus maritimus
-164.2333,68.9333,Ursus maritimus
-141.4071,69.5335,Ursus maritimus
-162,70.1333,Ursus maritimus
-140.15,69.6,Ursus maritimus
-151.87,70.41,Ursus maritimus
-149.3333,70.1,Ursus maritimus
-141.0346,69.528,Ursus maritimus
-167.706,65.768,Ursus maritimus
-145.9077,70.1248,Ursus maritimus
-146.0663,69.8288,Ursus maritimus
-147.0272,69.9673,Ursus maritimus
-139.8333,68.9667,Ursus maritimus
-147.1982,70.1107,Ursus maritimus
-116.5833,73.7,Ursus maritimus
-160.037,70.501,Ursus maritimus
-120.5833,72.15,Ursus maritimus
-145.1028,69.9065,Ursus maritimus
-139.7,69.4667,Ursus maritimus
-124.3333,74.3167,Ursus maritimus
-159.778,70.451,Ursus maritimus
-163.85,69.0333,Ursus maritimus
-141.7903,69.5574,Ursus maritimus
-161.0167,69.6833,Ursus maritimus
-166.2833,68.5,Ursus maritimus
-151.7299,70.5327,Ursus maritimus
-150.5564,70.4294,Ursus maritimus
-146.8656,70.1512,Ursus maritimus
-144.8696,69.8039,Ursus maritimus
-151.5043,70.316,Ursus maritimus
-146.344,69.9145,Ursus maritimus
-145.6945,70.0558,Ursus maritimus
-138.2509,69.1911,Ursus maritimus
-137.0253,68.8873,Ursus maritimus
-143.3613,69.3637,Ursus maritimus
-153.989,70.823,Ursus maritimus
-147.8143,70.2437,Ursus maritimus
-152.283,70.802,Ursus maritimus
-158.1766,70.8141,Ursus maritimus
-146.001,69.951,Ursus maritimus
-141.4087,69.2729,Ursus maritimus
-155.7226,71.1566,Ursus maritimus
-142.1039,69.6904,Ursus maritimus
-141.3878,69.4274,Ursus maritimus
-165.805,68.849,Ursus maritimus
-149.1279,70.4033,Ursus maritimus
-161.9496,70.2554,Ursus maritimus
-144.814,69.916,Ursus maritimus
-171.7333,63.75,Ursus maritimus
-170.426,63.578,Ursus maritimus
-159.0408,70.447,Ursus maritimus
-121.75,74.1667,Ursus maritimus
-143.6667,69.65,Ursus maritimus
-157.0333,71.1667,Ursus maritimus
-142.4,69.9167,Ursus maritimus
-143.9921,70.0668,Ursus maritimus
-142.6056,69.5863,Ursus maritimus
-140.5833,69.6,Ursus maritimus
-147.3245,70.1907,Ursus maritimus
-154.9792,70.8568,Ursus maritimus
-94.799835,59.257355,Ursus maritimus
-93.610218,58.603016,Ursus maritimus
-94.091991,58.683579,Ursus maritimus
-164.541667,67.975,Ursus maritimus
-163.03178,64.54263,Ursus maritimus
-85.2,55.266667,Ursus maritimus
-88.15,56.483334,Ursus maritimus
-82.5,63.767,Ursus maritimus
-65.75,66.083,Ursus maritimus
-84,68,Ursus maritimus
-93.81286,58.653127,Ursus maritimus
-93.96341,58.606566,Ursus maritimus
-91.323984,74.73044,Ursus maritimus
-68.51667,63.75,Ursus maritimus
-105.052778,69.113889,Ursus maritimus
-117.725833,70.651667,Ursus maritimus
-96.03333,64.316666,Ursus maritimus
-87,77.13333,Ursus maritimus
-79,53.833333,Ursus maritimus
-92.4,70.15,Ursus maritimus
-123.802778,71.533611,Ursus maritimus
-77.78333,55.266666,Ursus maritimus
-78.86389,72.915276,Ursus maritimus
-64.71528,66.14445,Ursus maritimus
-92.305833,57.001667,Ursus maritimus
-133.034722,69.454167,Ursus maritimus
-122.78611,71.10028,Ursus maritimus
-83.933334,65.05,Ursus maritimus
-85,63.579167,Ursus maritimus
-84.666664,64.333336,Ursus maritimus
-125.24333,71.98361,Ursus maritimus
-97.416664,69.166664,Ursus maritimus
-64.5,66.5,Ursus maritimus
-65.9,67.116667,Ursus maritimus
-73,66.71667,Ursus maritimus
-94.35,60.85,Ursus maritimus
-164.53800388692,67.7254625054319,Ursus maritimus
-170.17894,63.22303,Ursus maritimus
-156.8,70.9,Ursus maritimus
-162.35,70.05,Ursus maritimus
-165,65.5,Ursus maritimus
-82.07,63.68,Ursus maritimus
