Longitude,Latitude,species
-141.67,62.65,Vulpes vulpes
-144.35,62.06,Vulpes vulpes
-143.58,61.51,Vulpes vulpes
-142.58,61.11,Vulpes vulpes
-141.94,62.64,Vulpes vulpes
-141.85,61.11,Vulpes vulpes
-141.25,59.98,Vulpes vulpes
-135.85,58.95,Vulpes vulpes
-156.93,64.73,Vulpes vulpes
-135.93,58.55,Vulpes vulpes
-76.02052,44.491993,Vulpes vulpes
-99.971115,50.627544,Vulpes vulpes
-108.08641,38.753,Vulpes vulpes
-111.33911,44.57121,Vulpes vulpes
-100.51177,31.528173,Vulpes vulpes
-88.76174,48.42145,Vulpes vulpes
-79.50509,40.714127,Vulpes vulpes
-104.84941,38.123295,Vulpes vulpes
-71.41006,44.21684,Vulpes vulpes
-64.799934,45.4623,Vulpes vulpes
-81.86855,40.463135,Vulpes vulpes
-110.63684,44.713047,Vulpes vulpes
-74.86742,40.564095,Vulpes vulpes
-116.24663,43.771088,Vulpes vulpes
-76.32215,45.27756,Vulpes vulpes
-72.703606,42.892494,Vulpes vulpes
-100.37057,50.051517,Vulpes vulpes
-88.66604,37.380558,Vulpes vulpes
-77.56422,38.80477,Vulpes vulpes
-106.853,38.5382,Vulpes vulpes
-107.7785,38.157696,Vulpes vulpes
-102.86911,49.912952,Vulpes vulpes
-92.416664,40.733334,Vulpes vulpes
-85.2,55.266666,Vulpes vulpes
-95.407616,36.5727,Vulpes vulpes
-113.51486,50.50906,Vulpes vulpes
-88.93551,37.397266,Vulpes vulpes
-77.469220000000007,43.01327,Vulpes vulpes
-87.412575,30.3497,Vulpes vulpes
-75.34269,45.517315,Vulpes vulpes
-84.919945,49.761234,Vulpes vulpes
-110.52957,50.010326,Vulpes vulpes
-79.10072,42.60223,Vulpes vulpes
-72.533905,42.32494,Vulpes vulpes
-150.80933,63.363953,Vulpes vulpes
-121.60653,36.66897,Vulpes vulpes
-165.21136,64.78751,Vulpes vulpes
-79.87331,40.580097,Vulpes vulpes
-78.66528,36.705055,Vulpes vulpes
-92.436516,47.309956,Vulpes vulpes
-73.03321,43.709366,Vulpes vulpes
-73.21438,44.277393000000004,Vulpes vulpes
-70.92395,43.16925,Vulpes vulpes
-94.16496,58.76841,Vulpes vulpes
-88.79071,30.39214,Vulpes vulpes
-73.61426,43.3834,Vulpes vulpes
-107.87309,37.1639,Vulpes vulpes
-76.489,38.961166,Vulpes vulpes
-81.90696,36.026398,Vulpes vulpes
-72.68065,44.438976,Vulpes vulpes
-64.991516,45.570145,Vulpes vulpes
-105.290565,39.92925,Vulpes vulpes
-72.50981,43.137856,Vulpes vulpes
-86.463776,33.780956,Vulpes vulpes
-114.03766,48.59571,Vulpes vulpes
-107.28123,39.192677,Vulpes vulpes
-78.52166,44.678154,Vulpes vulpes
-82.54584,41.3676,Vulpes vulpes
-164.74495,64.47415,Vulpes vulpes
-72.50193,43.807697,Vulpes vulpes
-110.622025,43.81496,Vulpes vulpes
-75.41699,39.08577,Vulpes vulpes
-150.23755,63.45427,Vulpes vulpes
-73.37494,44.0956,Vulpes vulpes
-95.749565,29.545387,Vulpes vulpes
-102.56967,36.650047,Vulpes vulpes
-81.427895,40.073112,Vulpes vulpes
-95.21279,56.357845,Vulpes vulpes
-88.99056,40.57214,Vulpes vulpes
-75.094,42.799324,Vulpes vulpes
-96.629616,40.84226,Vulpes vulpes
-99.23195,48.768864,Vulpes vulpes
-130.00777,57.85367,Vulpes vulpes
-76.53776,44.22825,Vulpes vulpes
-73.266975,44.534573,Vulpes vulpes
-122.73297,49.100098,Vulpes vulpes
-119.693565,50.775215,Vulpes vulpes
-95.25278,49.74545,Vulpes vulpes
-110.772575,43.47382,Vulpes vulpes
-74.454704,40.235233,Vulpes vulpes
-92.76164,45.17181,Vulpes vulpes
-114.03015,47.318295,Vulpes vulpes
-122.47615,37.80883,Vulpes vulpes
-73.0165,44.1515,Vulpes vulpes
-73.13012,44.7392,Vulpes vulpes
-82.28,40.23,Vulpes vulpes
-96.72854,40.262074,Vulpes vulpes
-76.55301,44.54974,Vulpes vulpes
-119.08131,35.43913,Vulpes vulpes
-71.26222,44.284515,Vulpes vulpes
-77.69383,40.818787,Vulpes vulpes
-82.49,39.25,Vulpes vulpes
-77.30422,43.92424,Vulpes vulpes
-73.1,46.05,Vulpes vulpes
-59.166668,54.066666,Vulpes vulpes
-132.28334,69.25,Vulpes vulpes
-125.38438,48.849686,Vulpes vulpes
-82.927795,42.34545,Vulpes vulpes
-106.06491,39.362804,Vulpes vulpes
-111.485886,44.745193,Vulpes vulpes
-95.799416,45.426422,Vulpes vulpes
-78.47266,44.506187,Vulpes vulpes
-75.64993,39.866913,Vulpes vulpes
-114.09536,46.83399,Vulpes vulpes
-114.14043,47.676525,Vulpes vulpes
-92.44653,38.94626,Vulpes vulpes
-75.788536,40.28852,Vulpes vulpes
-114.91441,44.29191,Vulpes vulpes
-80.21354,43.537876,Vulpes vulpes
-119.73,34.965557,Vulpes vulpes
-76.79062,38.888905,Vulpes vulpes
-113.99831,62.555458,Vulpes vulpes
-72.46114,44.34087,Vulpes vulpes
-151.1926,63.114803,Vulpes vulpes
-165.36469,64.544075,Vulpes vulpes
-72.322075,41.09779,Vulpes vulpes
-82.26247,45.74989,Vulpes vulpes
-78.36799,37.54958,Vulpes vulpes
-114.458755,51.126644,Vulpes vulpes
-72.944725,43.64363,Vulpes vulpes
-79.91286,43.47002,Vulpes vulpes
-77.6414,38.9757,Vulpes vulpes
-79.54648,37.778133,Vulpes vulpes
-89.55141,37.324795,Vulpes vulpes
-101.52149,31.868006,Vulpes vulpes
-101.5139,31.372894,Vulpes vulpes
-122.49677,37.49814,Vulpes vulpes
-83.7768,44.5607,Vulpes vulpes
-79.616486,43.843735,Vulpes vulpes
-78.30782,37.2548,Vulpes vulpes
-81.02416,35.11092,Vulpes vulpes
-66.77378,45.940266,Vulpes vulpes
-78.55358,45.56489,Vulpes vulpes
-93.167854,45.389843,Vulpes vulpes
-80.45652,42.576206,Vulpes vulpes
-72.53876,43.006214,Vulpes vulpes
-97.734375,44.590466,Vulpes vulpes
-88.01849,36.75559,Vulpes vulpes
-88.70556,35.880833,Vulpes vulpes
-114.29375,48.768208,Vulpes vulpes
-88.300385,36.325397,Vulpes vulpes
-87.97535,36.576862,Vulpes vulpes
-81.63298,33.550014,Vulpes vulpes
-87.7239,35.8334,Vulpes vulpes
-89.58861,35.24389,Vulpes vulpes
-90.02236,35.360237,Vulpes vulpes
-84.110695,36.11677,Vulpes vulpes
-88.06417,44.17722,Vulpes vulpes
-60.031445,46.041428,Vulpes vulpes
-77.34654,37.65781,Vulpes vulpes
-111.83258,40.419064,Vulpes vulpes
-89.42497,43.016792,Vulpes vulpes
-72.29736,42.52248,Vulpes vulpes
-80.9261,35.35366,Vulpes vulpes
-96.69162,40.757015,Vulpes vulpes
-73.02698,43.483654,Vulpes vulpes
-102.12375,31.965544,Vulpes vulpes
-75.7613,45.53903,Vulpes vulpes
-80.284325,45.54965,Vulpes vulpes
-101.88217,38.015118,Vulpes vulpes
-134.72397,60.58817,Vulpes vulpes
-110.310234,44.938187,Vulpes vulpes
-105.49876,39.841545000000004,Vulpes vulpes
-82.87023,38.463165,Vulpes vulpes
-82.606346,29.676413,Vulpes vulpes
-77.416985,39.078724,Vulpes vulpes
-83.83998,41.55673,Vulpes vulpes
-105.385284,39.652554,Vulpes vulpes
-94.40522,30.894863,Vulpes vulpes
-94.39429,50.83658,Vulpes vulpes
-81.11374,40.814022,Vulpes vulpes
-89.210945,43.07126,Vulpes vulpes
-106.07094,39.640064,Vulpes vulpes
-84.298485,46.536858,Vulpes vulpes
-149.17899,63.710945,Vulpes vulpes
-76.64831,38.056824,Vulpes vulpes
-79.996735,43.289032,Vulpes vulpes
-77.61974,39.348362,Vulpes vulpes
-106.9898,38.96107,Vulpes vulpes
-91.65809,42.075687,Vulpes vulpes
-72.154915,41.68786,Vulpes vulpes
-97.779884,31.13017,Vulpes vulpes
-100.47919,31.412802,Vulpes vulpes
-100.101746,32.178158,Vulpes vulpes
-99.03882,31.587324,Vulpes vulpes
-100.64296,31.350422,Vulpes vulpes
-101.56764,31.283718,Vulpes vulpes
-101.16324,30.92444,Vulpes vulpes
-99.165,32.300266,Vulpes vulpes
-101.40421,30.717531,Vulpes vulpes
-99.94694,31.73806,Vulpes vulpes
-99.98271,31.845112,Vulpes vulpes
-101.30583,32.223827,Vulpes vulpes
-100.7765,33.834293,Vulpes vulpes
-101.02556,31.77528,Vulpes vulpes
-100.47247,31.854404,Vulpes vulpes
-100.72392,31.69655,Vulpes vulpes
-80.57286,41.846653,Vulpes vulpes
-101.28644,31.579187,Vulpes vulpes
-101.35999,31.96646,Vulpes vulpes
-100.249626,31.710876,Vulpes vulpes
-100.80348,30.859842,Vulpes vulpes
-100.38533,30.675066,Vulpes vulpes
-101.13403,31.904963,Vulpes vulpes
-101.48375,31.98291,Vulpes vulpes
-100.261955,29.97895,Vulpes vulpes
-110.83417,44.649696,Vulpes vulpes
-106.012825,39.47209,Vulpes vulpes
-80.19113,45.348484,Vulpes vulpes
-84.23925,43.6082,Vulpes vulpes
-82.37658,27.701082,Vulpes vulpes
-88.81961,48.33112,Vulpes vulpes
-77.69822,43.99615,Vulpes vulpes
-77.81632,41.944824,Vulpes vulpes
-91.476776,47.64688,Vulpes vulpes
-75.40648,39.17831,Vulpes vulpes
-76.343994,44.2924,Vulpes vulpes
-146.12366,69.58516,Vulpes vulpes
-81.87762,42.706264,Vulpes vulpes
-80.31038,45.388927,Vulpes vulpes
-114.17602,48.11447,Vulpes vulpes
-75.173164,38.60739,Vulpes vulpes
-100.708984,49.68271,Vulpes vulpes
-72.37589,43.786224,Vulpes vulpes
-76.06549,44.138386,Vulpes vulpes
-92.34368,34.569366,Vulpes vulpes
-70.00815,41.875282,Vulpes vulpes
-70.84409,42.63046,Vulpes vulpes
-118.79366,34.398327,Vulpes vulpes
-60.616905,46.265972,Vulpes vulpes
-110.72313,43.681156,Vulpes vulpes
-83.916504,41.63829,Vulpes vulpes
-85.63387,34.384365,Vulpes vulpes
-93.72405,36.012547,Vulpes vulpes
-93.5482,39.778587,Vulpes vulpes
-91.9307,34.277695,Vulpes vulpes
-94.25619,36.337826,Vulpes vulpes
-120.80063,38.177986,Vulpes vulpes
-79.36217,44.67534,Vulpes vulpes
-93.61811,42.01617,Vulpes vulpes
-78.670364,39.258495,Vulpes vulpes
-72.85357,43.84929,Vulpes vulpes
-79.70198,40.65713,Vulpes vulpes
-127.48535,54.726208,Vulpes vulpes
-72.45116,45.27601,Vulpes vulpes
-129.83731,58.22368,Vulpes vulpes
-90.946594,41.434875,Vulpes vulpes
-90.85131,41.58851,Vulpes vulpes
-138.51605,64.08284,Vulpes vulpes
-80.48864,37.188274,Vulpes vulpes
-71.57452,42.611202,Vulpes vulpes
-81.803474,41.046146,Vulpes vulpes
-73.10041,41.174976,Vulpes vulpes
-80.39266,45.59786,Vulpes vulpes
-110.63653,44.94229,Vulpes vulpes
-76.141365,38.44533,Vulpes vulpes
-96.33687,29.595411,Vulpes vulpes
-70.8437,43.09309,Vulpes vulpes
-76.22337,39.035805,Vulpes vulpes
-89.99324,34.874268,Vulpes vulpes
-90.11378,34.948177,Vulpes vulpes
-76.28389,39.38405,Vulpes vulpes
-80.7801,35.46478,Vulpes vulpes
-97.467255,35.19194,Vulpes vulpes
