Species,Long,Lat,Source
Acinonyx jubatus,20.321913,-26.018916,gbif
Acinonyx jubatus,22.495282,-27.369643,gbif
Acinonyx jubatus,28.291952,-25.941293,gbif
Acinonyx jubatus,37.625,0.625,gbif
Acinonyx jubatus,28.219268,-25.995209,gbif
Acinonyx jubatus,16.850018,-18.721346,gbif
Acinonyx jubatus,35.047011,-1.415816,gbif
Acinonyx jubatus,16.847287,-18.903568,gbif
Acinonyx jubatus,35.106798,-1.391167,gbif
Acinonyx jubatus,35.217879,-1.487728,gbif
Acinonyx jubatus,31.642403,-24.870049,gbif
Acinonyx jubatus,27.44951,-24.33406,gbif
Acinonyx jubatus,16.732298,-18.953627,gbif
Acinonyx jubatus,29.078201,-22.038968,gbif
Acinonyx jubatus,34.887035,-1.38484,gbif
Acinonyx jubatus,20.595021,-25.355804,gbif
Acinonyx jubatus,20.592748,-25.532752,gbif
Acinonyx jubatus,34.81747,-2.671396,gbif
Acinonyx jubatus,35.066643,-2.612736,gbif
Acinonyx jubatus,20.358051,-25.822887,gbif
Acinonyx jubatus,20.715027,-25.476467,gbif
Acinonyx jubatus,38.1639,-0.1173,gbif
Acinonyx jubatus,1.81865,11.399807,gbif
Acinonyx jubatus,1.829338,11.398357,gbif
Acinonyx jubatus,35.31464,-1.523173,gbif
Acinonyx jubatus,1.433045,11.214263,gbif
Acinonyx jubatus,1.524268,11.299099,gbif
Acinonyx jubatus,23.836778,-21.524593,gbif
Acinonyx jubatus,27.041442,-25.670228,gbif
Acinonyx jubatus,35.152437,-1.556518,gbif
Acinonyx jubatus,24.188332,-21.963411,gbif
Acinonyx jubatus,24.118855,-22.035016,gbif
Acinonyx jubatus,23.957327,-21.551017,gbif
Acinonyx jubatus,16.39756,-18.988437,gbif
Acinonyx jubatus,15.041287,-22.374999,gbif
Acinonyx jubatus,31.458037,-25.470515,gbif
Acinonyx jubatus,34.949486,-2.54856,gbif
Acinonyx jubatus,35.330255,-1.116441,gbif
Acinonyx jubatus,36.584923,-1.801694,gbif
Acinonyx jubatus,35.114359,-1.490938,gbif
Acinonyx jubatus,32.168016,-27.621727,gbif
Acinonyx jubatus,32.067507,-27.702556,gbif
Acinonyx jubatus,32.049145,-27.782917,gbif
Acinonyx jubatus,32.169818,-27.793495,gbif
Acinonyx jubatus,35.087325,-1.471481,gbif
Acinonyx jubatus,35.013637,-1.505048,gbif
Acinonyx jubatus,35.084232,-1.578166,gbif
Acinonyx jubatus,35.228835,-1.47124,gbif
Acinonyx jubatus,35.237081,-1.401286,gbif
Acinonyx jubatus,16.254997,-19.068406,gbif
Acinonyx jubatus,31.86666,-24.454743,gbif
Acinonyx jubatus,35.175021,-1.558228,gbif
Acinonyx jubatus,35.055213,-2.640874,gbif
Acinonyx jubatus,35.266782,-1.463717,gbif
Acinonyx jubatus,35.293434,-1.564757,gbif
Acinonyx jubatus,31.806425,-25.123194,gbif
Acinonyx jubatus,34.639815,-2.030231,gbif
Acinonyx jubatus,25.440874,-32.057768,gbif
Acinonyx jubatus,36.727369,0.255424,gbif
Acinonyx jubatus,36.84349,0.347019,gbif
Acinonyx jubatus,36.795986,0.21562,gbif
Acinonyx jubatus,32.214708,-27.891818,gbif
Acinonyx jubatus,35.47306,-1.348281,gbif
Acinonyx jubatus,34.92504,-2.407064,gbif
Acinonyx jubatus,36.665649,0.325718,gbif
Acinonyx jubatus,27.432835,-19.017486,gbif
Acinonyx jubatus,35.26534,-1.408212,gbif
Acinonyx jubatus,36.898954,0.364071,gbif
Acinonyx jubatus,37.717646,0.56049,gbif
Acinonyx jubatus,32.347752,-27.652088,gbif
Acinonyx jubatus,35.016672,-1.526577,gbif
Acinonyx jubatus,24.166434,-19.125856,gbif
Acinonyx jubatus,37.494461,0.513693,gbif
Acinonyx jubatus,37.428101,0.590939,gbif
Acinonyx jubatus,31.451528,-24.123532,gbif
Acinonyx jubatus,35.331406,-1.584071,gbif
Acinonyx jubatus,35.326389,-1.424207,gbif
Acinonyx jubatus,35.360709,-1.513662,gbif
Acinonyx jubatus,15.874978,-21.273817,gbif
Acinonyx jubatus,34.989967,-2.045663,gbif
Acinonyx jubatus,34.229149,-2.124327,gbif
Acinonyx jubatus,23.279499,-19.020207,gbif
Acinonyx jubatus,34.86314,-2.765775,gbif
Acinonyx jubatus,35.202942,-1.573594,gbif
Acinonyx jubatus,35.142994,-1.493003,gbif
Acinonyx jubatus,35.004793,-1.494331,gbif
Acinonyx jubatus,35.184595,-1.495291,gbif
Acinonyx jubatus,38.667258,-3.309601,gbif
Acinonyx jubatus,25.451068,-32.266644,gbif
Acinonyx jubatus,36.861486,0.179705,gbif
Acinonyx jubatus,20.581361,-26.026507,gbif
Acinonyx jubatus,35.024291,-1.56312,gbif
Acinonyx jubatus,37.254037,-2.666438,gbif
Acinonyx jubatus,37.317028,-2.731064,gbif
Acinonyx jubatus,35.117801,-1.02142,gbif
Acinonyx jubatus,35.355281,-1.193637,gbif
Acinonyx jubatus,35.346805,-1.014394,gbif
Acinonyx jubatus,34.92657,-2.467409,gbif
Acinonyx jubatus,35.389676,-1.162148,gbif
